id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/10/value,qualifier/12/value,keyPass,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2452467131,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-08-28T14:35:05.491Z,2022-08-28T16:46:09Z,3740114923,130,2,3740278259,197,284,3740114927,194,e615cmv1tfzu84f0z8mwi5711,3740114917,30,"1lgrnaje6y7un5dzzll84p91, 5soi8e2hlk77rlsbsl76hg3xl, eh70fwampgdyfv3hu25o2qx, 5mx86rwy0u4xi1b5kqin4lhx, e615cmv1tfzu84f0z8mwi5711, 57s7gfvt5btbfzm600wn7df55, 4eezya3lwcwur6c8s6rl0rzvu, c29mprqv2ulztd22b6uckczx1, 9y7202khwzb48ea7im646m11x, 2biwwlvzgsu5kmyw5w1adpmtx, dhtb9gizk25k1u3h0b7xgy4tl, 76r2yw3wtql61qh5l0yumdn85, 6wpnjdlg2p8f19y3gjpz1su6t, aza9jho12wrfa3oczxoj670mh, 3bm08rp9rgzh6cjhk0picxs6h, 9m2qujt0h0zrd0n1akjqjo0r9, amcwh6w0brmkttg4uc5qm6z9w, 5zoz3mjooujpv0wdcphyrztd6, a7bs2dkwmy1cjryql6z3n9kut, 12qc3dkodeb8ykg6pc0kqf2l1, 7c2qwyzh82a45s25zmdahrd91, eiqcjlj9kmitoj8g50vaglawa",3740114929,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740114925,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740114919,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740114921,59,"13, 8, 24, 6, 3, 4, 21, 10, 22, 7, 17, 1, 2, 5, 11, 14, 15, 16, 19, 20, 23, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452470027,2,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-08-28T14:38:20.760Z,2022-08-28T19:54:01Z,3740130631,194,9see13i1f0n1ju4uhs8sijutx,3740130627,130,2,3740275033,197,1579,3740130623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740130621,30,"vota9gwygxp3wc998tl7ldxx, 5lzbyj5i0cotpry4gneap8c89, qg0ok4244nmslpvxnoj6zn8q, 3f673373jylbr4ir0bklci40l, cue88fm1v1ysfuwhql68czydx, 9see13i1f0n1ju4uhs8sijutx, eiqt71z69beq7akuhot0foset, 5gorfhj7uwpomrhlso1krxrkl, 52e2ogoex674bz6pcwluapdxx, b64p21hmhsqgrn6n04mk00zpx, 5l6e9nd0defapk1w2ucndowr9, 8lg4tqh5bepeexbhghyr7pze2, 1f2t5vsayiiluw330yiw4ft1x, ckne0j1fs5cxufyicjbygdi39, aso41hpuq5oh825n83boc5x0q, dkv5svrbfiq996qchro44dfpx, 32sds4yk7ch30mng0gyzhdk9h, 5mj2vxkh3pmkbwj139mp93n4l, e8t77ifx5ddju8ihbgu5iy8lw, 1pim2m8qrj4gqjovepl1dlmhg, 5qkgkfk0hys1vu2d2p4da0x78, 5zyvj7s681tgg9bec02za6nhm, b9uidnhsk87uav22iftb4osgk",3740130633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740130625,59,"13, 21, 4, 8, 6, 2, 11, 18, 19, 10, 9, 14, 1, 7, 16, 20, 23, 27, 28, 29, 30, 31, 32",3740130629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498407,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-08-28T15:30:52.837Z,2022-08-28T15:30:58Z,3740283329,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498397,3,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-08-28T15:30:52.837Z,2022-08-28T21:37:22Z,3740283281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498447,4,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,49.9,50.3,2022-08-28T15:30:52.877Z,2022-08-28T23:56:25Z,3740283495,140,31.2,3740283503,279,S,3740283499,212,20.6,3740283501,213,2.8,3740283497,141,59.7,3742155137,178,,3740283493,56,Back,,,,52e2ogoex674bz6pcwluapdxx,Borja Mayoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498451,5,1,1,0,3,1n1j0wsl763lq7ee1k0c11c02,1,31.2,59.7,2022-08-28T15:30:56.048Z,2022-08-28T23:56:52Z,3740283549,1,,3740283539,56,Center,3740283545,212,46.6,3740283541,140,70.4,3740283543,141,27.5,3742155939,178,,3740283547,213,5.8,3740283537,155,,cue88fm1v1ysfuwhql68czydx,Domingos Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498477,6,1,1,0,5,1n1j0wsl763lq7ee1k0c11c02,0,70.4,27.5,2022-08-28T15:30:58.546Z,2022-08-28T23:57:24Z,3740283719,213,0.5,3740283713,141,49.4,3740283707,56,Center,3740283705,3,,3740283717,212,29.5,3742156769,388,,3740283709,140,94.6,,,,b64p21hmhsqgrn6n04mk00zpx,E. Ünal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498455,3,52,1,0,7,74mcjsm72vr3l9pw2i4qfjchj,1,8.1,46.9,2022-08-28T15:31:00.627Z,2022-08-28T23:57:33Z,3741058417,378,,3742156993,388,,,,,,,,,,,,,,,,,,,,1lgrnaje6y7un5dzzll84p91,G. Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498709,4,1,1,0,10,74mcjsm72vr3l9pw2i4qfjchj,1,8.4,46.1,2022-08-28T15:31:03.758Z,2022-08-28T23:57:48Z,3740284887,213,5.5,3740284865,123,,3740284871,56,Back,3740284883,212,15.3,3740284875,140,18.9,3742157369,178,,3740284879,141,30.6,,,,1lgrnaje6y7un5dzzll84p91,G. Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498763,5,1,1,0,30,74mcjsm72vr3l9pw2i4qfjchj,1,46.2,48.7,2022-08-28T15:31:23.238Z,2022-08-28T23:57:56Z,3740285171,212,18.9,3742157539,178,,3740285167,140,42.8,3740285169,141,76.0,3740285165,56,Back,3740285173,213,1.8,,,,,,,e615cmv1tfzu84f0z8mwi5711,Raúl Albiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498907,6,1,1,0,35,74mcjsm72vr3l9pw2i4qfjchj,1,44.6,70,2022-08-28T15:31:27.948Z,2022-08-28T23:58:03Z,3742157821,178,,3740285905,212,15.3,3740285903,141,53.9,3740285895,56,Back,3740285899,140,34.4,3740285907,213,3.9,,,,,,,57s7gfvt5btbfzm600wn7df55,Pau Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498959,7,1,1,0,47,74mcjsm72vr3l9pw2i4qfjchj,1,44,47.9,2022-08-28T15:31:39.897Z,2022-08-28T23:58:11Z,3740286189,212,21.6,3740286191,213,1.6,3742158039,178,,3740286185,140,43.2,3740286183,56,Back,3740286187,141,79.7,,,,,,,e615cmv1tfzu84f0z8mwi5711,Raúl Albiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452499007,8,1,1,0,49,74mcjsm72vr3l9pw2i4qfjchj,1,43.5,81.2,2022-08-28T15:31:42.647Z,2022-08-28T23:58:19Z,3740286377,213,0.3,3740286369,56,Left,3740286373,141,93.3,3740286371,140,69.5,3742158187,178,,3740286375,212,28.5,,,,,,,57s7gfvt5btbfzm600wn7df55,Pau Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452499061,9,1,1,0,51,74mcjsm72vr3l9pw2i4qfjchj,1,69.9,91.7,2022-08-28T15:31:44.528Z,2022-08-28T23:58:33Z,3740286661,212,7.8,3740286657,140,73.9,3740286663,213,5.3,3740286655,56,Left,3740286659,141,82.1,3742158481,178,,,,,,,,eh70fwampgdyfv3hu25o2qx,Pedraza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
