id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/15/value,assist,qualifier/17/value
2466671543,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2022-10-02T17:13:00.943Z,2022-10-02T18:56:39Z,3815667175,130,4,3815667181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815667173,59,"13, 2, 23, 18, 22, 4, 19, 8, 9, 21, 20, 30, 3, 5, 6, 7, 11, 12, 15, 16, 24, 38",3815667171,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3815667185,194,c1mm3hdfcs78obhxmhailzidx,3815973689,197,239,3815667167,30,"38bp85766w04a0nuulq5fiig9, 7oykphzczagr975xsqt70s89h, 6q69l3ppqfqbryjubcrujfi6t, aipyotc87m5bdvmvizd5n69k9, 6fzbp94hf19ysotdassrqdc5x, 6w5wyari2p4bh2zzy2x2f6hg5, i48mf81fxn2af1xxjzfi8gr9, cdcbi6xmy0uts703489e0acb9, c1mm3hdfcs78obhxmhailzidx, broq8imimhtlejtffissquy5m, b4witgokm49tidm1a83qcvbop, 4jxlkq0x33agt01vjlou0yk4q, 8wvkrrbqqthuwda8twg03yuax, eihwzqtt27l2l8iu990h68edx, 7o4nc6jwsi3quvnwinstqwyj9, 54h69199gtsavspwblux98dsl, 127eg3g8ig8j7obxtyc2tl8t1, en2c7z1raqmcwee78297pbnu2, 1i9wi65k2foqwudeqiyih87hl, 5nluxvc0wi0u1d5zcy7be5rkl, eufpzdp76oumhybvscmu76vo5, 3x9pony0ji48524tpodmf0lxw",3815667189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466695237,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-10-02T17:49:05.439Z,2022-10-03T04:05:21Z,3815801619,194,6dx2fxufm98xtdobuwppis34l,3815801613,59,"1, 2, 3, 6, 4, 5, 16, 7, 18, 8, 12, 10, 11, 13, 14, 15, 17, 19, 20, 22, 23, 25",3815801615,130,7,3815801621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815801609,30,"amjegysk3et638l4od103c7o5, akjusy9dt1qd2fjhttviek6ol, 8ij122duxc65thlj8flk2xdjp, d3pdr28q2n295ldry2lc1uklx, 7ms6l8qho3p4jm1soleldqvv9, 6dx2fxufm98xtdobuwppis34l, 5t2ngljfiapcn98qlnbifg53p, f4gpe0pxov8sea9e0fs24h8q2, 4l2rgx65vzgrrxorbc1edq8yd, 3o41frgi9jxrms6rvc6ml1plh, 96cbv23es0gucmd2v0qvk3iwa, e5d9nvrs4l1kvcosvnrb2mor9, 2zcha0sd7axiu2s2c0bccz2s5, 8ktlzedieskw7pjsgatlac4q1, 9xbo6c8uq29ueuyinngjjiaj9, 1vupjbihmf0b4gzjskmrmptqt, 946z96r5q70ryslp3hlhafnx1, eqw6fu3no9qxejk17tqgeey5m, d34tmogp5h4rwuo3pcxtwp0fe, bpf2fcb73l96fwspo72shmkiy, 94jrxsnf1ta2u65ommyge7bo5, 15no5m0njma23gf0ygu9agt05",3815801617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815801611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3815924793,197,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727451,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2022-10-02T19:01:00.649Z,2022-10-03T09:18:10Z,3815982927,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727443,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-10-02T19:01:00.649Z,2022-10-02T19:01:00Z,3815982895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727475,3,1,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,50.5,50.3,2022-10-02T19:01:00.743Z,2022-10-03T09:51:31Z,3815983037,279,S,3815983027,56,Back,3817171323,178,,3815983031,141,59.3,3815983029,140,38.2,3815983033,212,14.3,3815983035,213,2.7,,,,3o41frgi9jxrms6rvc6ml1plh,D. Brašanac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727487,4,1,1,0,3,2l0ldgiwsgb8d6y3z0sfgjzyj,0,39.2,59.3,2022-10-02T19:01:04.408Z,2022-10-03T09:51:40Z,3815983081,140,71.3,3815983087,213,5.7,3815983079,56,Center,3815983085,212,41.7,3815983083,141,23.1,3815983089,1,,3817172009,178,,3815983077,155,,6dx2fxufm98xtdobuwppis34l,David García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727515,3,1,1,0,6,3kq9cckrnlogidldtdie2fkbl,1,30.8,78.2,2022-10-02T19:01:06.656Z,2022-10-03T09:51:46Z,3815983257,212,13.4,3815983249,56,Back,3815983253,140,22.3,3815983247,3,,3815983259,213,4.0,3817172417,388,,3815983255,141,63.5,,,,cdcbi6xmy0uts703489e0acb9,T. Kroos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727523,4,1,1,0,8,3kq9cckrnlogidldtdie2fkbl,0,22.3,63.5,2022-10-02T19:01:08.859Z,2022-10-03T09:51:52Z,3815983313,56,Left,3815983319,212,45.0,3815983323,1,,3815983315,140,60.3,3815983317,141,94.0,3817172873,178,,3815983321,213,0.5,3815983311,157,,6fzbp94hf19ysotdassrqdc5x,A. Rüdiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727535,5,1,1,0,12,2l0ldgiwsgb8d6y3z0sfgjzyj,1,42.4,7.9,2022-10-02T19:01:13.110Z,2022-10-03T09:52:01Z,3817173545,178,,3815983389,56,Right,3815983395,212,15.5,3815983393,141,19.2,3815983387,3,,3815983391,140,55.2,3815983397,213,0.5,,,,7ms6l8qho3p4jm1soleldqvv9,Unai García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466727553,6,1,1,0,14,2l0ldgiwsgb8d6y3z0sfgjzyj,1,55.2,19.2,2022-10-02T19:01:14.859Z,2022-10-03T09:52:09Z,3815983481,3,,3817174135,388,,3815983491,141,7.2,3815983487,56,Right,3815983493,212,8.2,3815983489,140,55.8,3815983495,213,4.8,,,,f4gpe0pxov8sea9e0fs24h8q2,Moncayola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
