id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2530455983,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-04-08T17:50:26.233Z,2023-04-08T18:59:12Z,4173376813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173376811,130,4,4173376809,59,"1, 17, 6, 18, 22, 4, 11, 19, 9, 21, 20, 2, 3, 5, 7, 8, 10, 12, 13, 15, 16, 24, 26",4173720081,197,239,4173376805,30,"6crmq7vzqts58wg196q48sc7p, bf2pf3hs8gcvub4ivlve12ymt, 7o4nc6jwsi3quvnwinstqwyj9, aipyotc87m5bdvmvizd5n69k9, 6fzbp94hf19ysotdassrqdc5x, 6w5wyari2p4bh2zzy2x2f6hg5, 127eg3g8ig8j7obxtyc2tl8t1, i48mf81fxn2af1xxjzfi8gr9, c1mm3hdfcs78obhxmhailzidx, broq8imimhtlejtffissquy5m, b4witgokm49tidm1a83qcvbop, 7oykphzczagr975xsqt70s89h, 8wvkrrbqqthuwda8twg03yuax, eihwzqtt27l2l8iu990h68edx, 54h69199gtsavspwblux98dsl, cdcbi6xmy0uts703489e0acb9, diod1hv5hv7v7z7mfleev1txx, en2c7z1raqmcwee78297pbnu2, 38bp85766w04a0nuulq5fiig9, 1i9wi65k2foqwudeqiyih87hl, 5nluxvc0wi0u1d5zcy7be5rkl, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a",4173376817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173376807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4173376815,194,c1mm3hdfcs78obhxmhailzidx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530457557,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-04-08T17:52:29.486Z,2023-04-08T19:10:03Z,4173385567,59,"1, 8, 24, 10, 23, 4, 39, 16, 17, 11, 21, 2, 5, 12, 14, 18, 22, 28, 35, 40",4173385571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173385573,194,c29mprqv2ulztd22b6uckczx1,4173714197,197,284,4173385563,30,"76r2yw3wtql61qh5l0yumdn85, 5soi8e2hlk77rlsbsl76hg3xl, eh70fwampgdyfv3hu25o2qx, c29mprqv2ulztd22b6uckczx1, 7c2qwyzh82a45s25zmdahrd91, 57s7gfvt5btbfzm600wn7df55, 20ebw399jhbq0i5x2eacrrs6i, 5zoz3mjooujpv0wdcphyrztd6, dhtb9gizk25k1u3h0b7xgy4tl, 3bm08rp9rgzh6cjhk0picxs6h, 4eezya3lwcwur6c8s6rl0rzvu, 6wpnjdlg2p8f19y3gjpz1su6t, aza9jho12wrfa3oczxoj670mh, dfjph36vcwfj5cevut4x3vf11, 9m2qujt0h0zrd0n1akjqjo0r9, a3w1uczgmswm3cwk4vmvoglhx, 9y7202khwzb48ea7im646m11x, 5fgi2rxom2g67vi5djb9ztzze, eiqcjlj9kmitoj8g50vaglawa, 7kyxr0ntcthtbohvozw93v52i",4173385577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173385569,130,4,4173385565,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521449,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-04-08T19:02:07.442Z,2023-04-08T19:02:07Z,4173728417,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521465,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-04-08T19:02:07.442Z,2023-04-08T22:55:09Z,4173728493,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521491,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,50,50,2023-04-08T19:02:07.452Z,2023-04-09T06:55:45Z,4175482057,178,,4173728643,279,S,4173728639,212,5.3,4173728641,213,3.0,4173728635,140,45.0,4173728633,56,Back,4173728637,141,50.8,,,,127eg3g8ig8j7obxtyc2tl8t1,Marco Asensio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521497,4,1,1,0,1,3kq9cckrnlogidldtdie2fkbl,1,45,50.8,2023-04-08T19:02:09.286Z,2023-04-09T06:56:09Z,4173728697,212,9.1,4173728691,56,Center,4173728693,140,53.6,4175482173,178,,4173728695,141,52.8,4173728699,213,0.1,,,,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521507,5,1,1,0,2,3kq9cckrnlogidldtdie2fkbl,1,53.6,52.8,2023-04-08T19:02:09.866Z,2023-04-09T06:56:15Z,4173728763,56,Back,4175483003,178,,4173728771,213,3.4,4173728767,141,50.3,4173728765,140,46.6,4173728769,212,7.5,,,,,,,127eg3g8ig8j7obxtyc2tl8t1,Marco Asensio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521521,6,1,1,0,3,3kq9cckrnlogidldtdie2fkbl,1,46.6,50.3,2023-04-08T19:02:10.655Z,2023-04-09T06:56:28Z,4173728823,141,66.7,4173728821,140,46.7,4173728827,213,1.6,4173728825,212,11.2,4175483289,178,,4173728819,56,Back,,,,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521543,7,1,1,0,4,3kq9cckrnlogidldtdie2fkbl,0,44.9,66.6,2023-04-08T19:02:11.737Z,2023-04-09T06:56:32Z,4173728945,213,5.7,4173728937,56,Center,4173728935,155,,4175483379,178,,4173728941,141,38.6,4173728939,140,70.4,4173728943,212,32.9,4174294475,1,,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530521551,3,61,1,0,6,74mcjsm72vr3l9pw2i4qfjchj,1,28.3,63.9,2023-04-08T19:02:13.737Z,2023-04-09T06:56:40Z,4173728989,56,Back,4175483573,178,,4175483571,21,,,,,,,,,,,,,,,,,eh70fwampgdyfv3hu25o2qx,Pedraza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
