id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,keyPass,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2509396655,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-02-18T18:06:12.593Z,2023-02-18T20:03:17Z,4041600039,197,239,4041072255,59,"1, 6, 4, 12, 3, 22, 10, 19, 21, 15, 20, 2, 5, 7, 11, 13, 16, 17, 26, 31, 39",4041072265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041072267,194,7o4nc6jwsi3quvnwinstqwyj9,4041072269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041072259,130,4,4041072245,30,"6crmq7vzqts58wg196q48sc7p, 7o4nc6jwsi3quvnwinstqwyj9, 6w5wyari2p4bh2zzy2x2f6hg5, en2c7z1raqmcwee78297pbnu2, 8wvkrrbqqthuwda8twg03yuax, 6fzbp94hf19ysotdassrqdc5x, diod1hv5hv7v7z7mfleev1txx, i48mf81fxn2af1xxjzfi8gr9, broq8imimhtlejtffissquy5m, 1i9wi65k2foqwudeqiyih87hl, b4witgokm49tidm1a83qcvbop, 7oykphzczagr975xsqt70s89h, eihwzqtt27l2l8iu990h68edx, 54h69199gtsavspwblux98dsl, 127eg3g8ig8j7obxtyc2tl8t1, 38bp85766w04a0nuulq5fiig9, 5nluxvc0wi0u1d5zcy7be5rkl, bf2pf3hs8gcvub4ivlve12ymt, 8blr43wb2ergbbialws9irq0a, 1riebanoqbl7brs1bm3lkgxlg, osme4gegtnhlldt4lsqf56ac",4041072249,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509437603,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-02-18T18:50:49.076Z,2023-02-18T20:02:44Z,4041293255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4041293259,194,6dx2fxufm98xtdobuwppis34l,4041293227,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4041293221,30,"amjegysk3et638l4od103c7o5, f4gpe0pxov8sea9e0fs24h8q2, d34tmogp5h4rwuo3pcxtwp0fe, d3pdr28q2n295ldry2lc1uklx, 7ms6l8qho3p4jm1soleldqvv9, 6dx2fxufm98xtdobuwppis34l, 9xbo6c8uq29ueuyinngjjiaj9, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, 3o41frgi9jxrms6rvc6ml1plh, 96cbv23es0gucmd2v0qvk3iwa, 2zcha0sd7axiu2s2c0bccz2s5, 4l2rgx65vzgrrxorbc1edq8yd, eqw6fu3no9qxejk17tqgeey5m, bpf2fcb73l96fwspo72shmkiy, 94jrxsnf1ta2u65ommyge7bo5, 15no5m0njma23gf0ygu9agt05, 1wezo3pjdktc0iqaxze3uh2sq, ao3iplhzj0tiu5uhte7vq7m96",4041586819,197,278,4041293243,130,8,4041293263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041293233,59,"1, 7, 20, 6, 4, 5, 14, 16, 17, 8, 12, 11, 18, 19, 22, 23, 25, 34, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494051,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-02-18T20:01:50.502Z,2023-02-19T08:07:31Z,4041596495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494047,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-02-18T20:01:50.502Z,2023-02-18T20:01:50Z,4041596439,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494063,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,50,50,2023-02-18T20:01:50.515Z,2023-02-19T08:24:30Z,4042832677,178,,4041596599,212,3.3,4041596597,141,51.8,4041596595,140,52.9,4041596603,279,S,4041596601,213,0.4,4041596593,56,Center,,,,diod1hv5hv7v7z7mfleev1txx,L. Modrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494071,4,1,1,0,1,3kq9cckrnlogidldtdie2fkbl,1,53.8,45.7,2023-02-18T20:01:51.961Z,2023-02-19T08:24:38Z,4042832839,178,,4041596661,212,28.4,4041596659,141,4.1,4041596657,140,55.6,4041596655,56,Right,4041596665,213,4.8,,,,,,,broq8imimhtlejtffissquy5m,Rodrygo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494091,5,1,1,0,4,3kq9cckrnlogidldtdie2fkbl,1,52.7,4.3,2023-02-18T20:01:54.967Z,2023-02-19T08:24:52Z,4042833049,178,,4041596775,141,31.8,4041596779,213,2.5,4041596777,212,30.9,4041596771,56,Back,4041596773,140,29.3,,,,,,,1i9wi65k2foqwudeqiyih87hl,F. Valverde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494115,6,1,1,0,6,3kq9cckrnlogidldtdie2fkbl,1,29.4,31.5,2023-02-18T20:01:57.080Z,2023-02-19T08:24:56Z,4041596893,56,Center,4042833101,178,,4041596901,213,0.2,4041596895,140,75.0,4041596891,155,,4041596899,212,48.8,4041596897,141,45.4,4041596903,1,,8wvkrrbqqthuwda8twg03yuax,Éder Militão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494117,7,61,1,0,9,3kq9cckrnlogidldtdie2fkbl,0,75,45.4,2023-02-18T20:02:00.226Z,2023-02-19T08:25:02Z,4041596909,56,Center,4042833223,178,,,,,,,,,,,,,,,,,,,,broq8imimhtlejtffissquy5m,Rodrygo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494123,3,49,1,0,11,2l0ldgiwsgb8d6y3z0sfgjzyj,1,29.9,41.5,2023-02-18T20:02:01.557Z,2023-02-19T08:25:07Z,,,,,,,,,,,,,,,,,,,,,,,,,f4gpe0pxov8sea9e0fs24h8q2,Moncayola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494141,4,1,1,0,13,2l0ldgiwsgb8d6y3z0sfgjzyj,0,33.4,51.3,2023-02-18T20:02:03.568Z,2023-02-19T08:25:11Z,4042833393,178,,4041597069,213,1.0,4041597067,212,40.8,4041597059,56,Left,4041597055,155,,4041597065,141,100.0,4041597063,140,55.1,4041597071,1,,f4gpe0pxov8sea9e0fs24h8q2,Moncayola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494145,5,5,1,0,15,2l0ldgiwsgb8d6y3z0sfgjzyj,0,54,101.2,2023-02-18T20:02:05.716Z,2023-02-19T08:25:16Z,4041597171,233,8,4041597087,347,,4041597085,56,Left,,,,,,,,,,,,,,,,f4gpe0pxov8sea9e0fs24h8q2,Moncayola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494157,8,5,1,0,15,3kq9cckrnlogidldtdie2fkbl,1,46,-1.2,2023-02-18T20:02:05.716Z,2023-02-19T08:25:16Z,4041597157,233,5,4041597147,347,,4041597145,56,Back,,,,,,,,,,,,,,,,broq8imimhtlejtffissquy5m,Rodrygo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494225,9,1,1,0,27,3kq9cckrnlogidldtdie2fkbl,1,53.6,0,2023-02-18T20:02:18.363Z,2023-02-19T08:25:21Z,4041597533,141,4.1,4041597535,212,6.0,4041597527,107,,4041597529,56,Right,4041597537,213,0.7,4041597531,140,58.1,,,,,,,7o4nc6jwsi3quvnwinstqwyj9,Nacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
