id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/17/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2495992445,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-01-08T16:18:43.324Z,2023-01-08T17:33:03Z,3970648089,194,9see13i1f0n1ju4uhs8sijutx,3970648091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970648087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970648081,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970648079,30,"vota9gwygxp3wc998tl7ldxx, 1p6ccbu8hzugj05qtea21rw7p, 5lzbyj5i0cotpry4gneap8c89, 2o3bka7gokfjkej1f600ovbo5, cue88fm1v1ysfuwhql68czydx, 9see13i1f0n1ju4uhs8sijutx, eiqt71z69beq7akuhot0foset, aso41hpuq5oh825n83boc5x0q, 52e2ogoex674bz6pcwluapdxx, b64p21hmhsqgrn6n04mk00zpx, ch1lxxbn01at4jmkafy4uevh1, 1f2t5vsayiiluw330yiw4ft1x, 2zgcbp9g85uxudxadiw3twmvp, qg0ok4244nmslpvxnoj6zn8q, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, 5l6e9nd0defapk1w2ucndowr9, bvbebtykj45j3luvemk8yc4ph, 8lg4tqh5bepeexbhghyr7pze2, entqiwoor6dhwqcg5s82krfth, dkv5svrbfiq996qchro44dfpx, 32sds4yk7ch30mng0gyzhdk9h, 5mj2vxkh3pmkbwj139mp93n4l",3970648083,59,"13, 22, 21, 15, 6, 2, 11, 16, 19, 10, 5, 1, 3, 4, 7, 8, 9, 12, 14, 17, 20, 23, 27",3970807455,197,1579,3970648085,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495994607,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-01-08T16:25:01.095Z,2023-01-08T21:38:02Z,3970660169,30,"c9cp6fxbxyc2a3kfotkompxx, 2mg2n8e1d83gbeykfwzz0fumt, djal5dsafpnhip4lu0ait94np, 65osnocfqxv6mmpb69hm446ad, 2lwjtphx3bkjty9sds520l1ey, 6vvwhgic29fekmmj2cg62ytp1, 8n4f10q0l2wjhhfdkpp8kfzdh, 8ycvfctf7c3yljnbtltsogkph, 7exng93jyar5is4fa64r9bhzp, 4bbqmasyopxoymo4umcxd4e09, depu0zp8jqcyv0jzf5r9yums5, bahph7009sc73jl6s2bramn6d, 5c4ku1hmhy6l9dq8a5jp1qf9x, 7atmb373dynu9s9gnl613ox5h, 4sojot9t32l4a6fm3e39xkcfd, rlgrvvibryod2g92hqc97ii2, 6gtfe9aysdrcht4v2rluu0ley, 2xjp2fx9b8afvq2ua1usuhrai, 9nwkxgbl8t933pzu60ye4xxxw, 944mc5icxdleh4kvaamvpa9zo, alz3emnuh5bnaa64oia9pgsq2, 35i9zcb2szve0ydjga9qnj384, 40ziepwp1q7543uo2hxr30e1g",3970660181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970660179,194,2mg2n8e1d83gbeykfwzz0fumt,3970812743,197,260,3970660173,59,"13, 16, 19, 20, 14, 6, 21, 8, 17, 15, 10, 1, 7, 11, 12, 22, 27, 28, 29, 31, 34, 43, 44",3970660175,130,19,3970660177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970660171,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496022905,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-01-08T17:30:50.884Z,2023-01-09T02:33:18Z,3970814177,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496023123,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-01-08T17:30:50.884Z,2023-01-08T17:31:21Z,3970815395,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496024769,15,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,49.8,50.1,2023-01-08T17:30:50.976Z,2023-01-09T05:27:53Z,3971443369,178,,3970824787,141,53.3,3970824785,140,35.2,3970824783,56,Back,3970824789,212,15.5,3970824793,279,S,3970824791,213,3.0,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496025607,23,1,1,0,2,1n1j0wsl763lq7ee1k0c11c02,0,35.2,56.3,2023-01-08T17:30:53.708Z,2023-01-09T05:28:22Z,3970829291,1,,3970829277,155,,3970829289,213,0.4,3970829283,140,75.1,3971443483,178,,3970829285,141,80.0,3970829287,212,44.9,3970829281,56,Left,cue88fm1v1ysfuwhql68czydx,Domingos Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496022935,3,49,1,0,6,10eyb18v5puw4ez03ocaug09m,1,21.6,18.7,2023-01-08T17:30:57.322Z,2023-01-09T05:28:28Z,,,,,,,,,,,,,,,,,,,,,,,,,8ycvfctf7c3yljnbtltsogkph,Joan Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496022955,4,1,1,0,6,10eyb18v5puw4ez03ocaug09m,1,21.6,18.7,2023-01-08T17:30:57.387Z,2023-01-09T05:28:38Z,3970814481,56,Back,3971443557,178,,3970814489,213,0.6,3970814487,212,13.2,3970814483,140,31.7,3970814485,141,30.2,,,,,,,8ycvfctf7c3yljnbtltsogkph,Joan Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496022957,5,61,1,0,7,10eyb18v5puw4ez03ocaug09m,1,31.7,30.2,2023-01-08T17:30:58.666Z,2023-01-09T05:28:51Z,3971443635,388,,3970814499,56,Back,,,,,,,,,,,,,,,,,,,4bbqmasyopxoymo4umcxd4e09,Y. En-Nesyri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496022985,6,1,1,0,10,10eyb18v5puw4ez03ocaug09m,1,33.6,55.8,2023-01-08T17:31:01.220Z,2023-01-09T05:29:05Z,3970814633,213,2.9,3970814627,140,28.0,3971443697,178,,3970814631,212,6.1,3970814625,56,Back,3970814629,141,58.2,,,,,,,7exng93jyar5is4fa64r9bhzp,E. Lamela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
