id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2473923827,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-10-18T17:50:56.600Z,2022-10-18T19:03:48Z,3854235807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854235809,194,bi8nrmyaxsgbhixw921fzvm5l,3854235801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3854235805,130,8,3854235799,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 1ho7koiegfhsuevuum2meibu2, lp63o37czdwete0smmu62k89, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, 8onruhr4es313aq52xsl7nxlh, 8oc3lpz3xttrnwxk1fnnv7owl, 9zgqiq6ksmits5apgsfk2yyfp, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, b5rea5r4h8bclpenau2au142x, 1p5trokpmvi15fii87mrawkb9, a045sz2acqbfgyq9puwsu8sx6, 9xwog4v0ij8m1vs7doi52li39, amt4voyjzhnvr55t08hzlw50q, u04ao1ldrjjesgqq52o7ghqt, 533095rnz0k8mxqe6gzn0mfo5, c3rreq5bz6smx1ynf9zsune1h, e50ehbl0rdfs4ms26jtz1pic4, 1bdnkqbxm2u5ror7ipig5m73e",3854235811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854519427,197,257,3854235803,59,"1, 20, 3, 21, 16, 5, 7, 23, 9, 22, 18, 2, 4, 6, 10, 11, 13, 15, 17, 19, 24, 28, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473924319,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-10-18T17:52:49.381Z,2022-10-18T18:55:39Z,3854238479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854238471,30,"cfhk5255hz4wbs2zsrq219a6t, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, 59234as8h70fejyfm7492np3p, av5g4nr853anks78vl6jh4s7p, 548jzfl9higq44w9bgqvcjh05, 3ga7qj3h3dbmqucxmaxhmrjdh, 58qeglyxdi7y8ttg8sddv8set, 46kq5653o302ebz4o5yzsss0l, 716n1970vi9rvw5b4w9qmjfth, ejcyvgclry4g5pc2rtptifphx, 4z60ztggqxzfbp8w9ijoqefop, 9rm3r46uzxlmuqnp0jo4danhm, 6fdvv4zs5pl6qj7pp6tsp5iad, 40h47dhimsmeiury61w1ourx1, 20m7tijt8jnedjd4x87olmaqd, am5gj5qg3gjtyhvwfnj8sjz6d, d3kuh0z8x9e9ywc7g4agv1yxg, 2i7l7343hvxwlzytr57th52sq, 3krfyio6dlb6gkoggsmqwkj6c",3854238475,59,"1, 16, 23, 20, 15, 2, 5, 4, 19, 8, 11, 7, 9, 10, 17, 21, 22, 30, 33, 51",3854238483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854238477,130,2,3854238481,194,av5g4nr853anks78vl6jh4s7p,3854519911,197,244,3854238473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979175,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-10-18T19:00:09.440Z,2022-10-19T09:30:46Z,3854540291,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979201,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-10-18T19:00:09.440Z,2022-10-18T19:00:12Z,3854540431,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979207,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,49.9,50,2022-10-18T19:00:09.491Z,2022-10-19T09:52:37Z,3854540459,56,Back,3854540469,279,S,3854540465,212,14.9,3854540461,140,35.8,3854540463,141,52.1,3854540467,213,3.0,3855522697,178,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979225,4,1,1,0,1,4ku8o6uf87yd8iecdalipo6wd,1,35.5,52.1,2022-10-18T19:00:10.922Z,2022-10-19T09:52:57Z,3854540593,213,4.8,3854540589,141,26.8,3854540585,56,Back,3855522795,178,,3854540591,212,17.3,3854540587,140,37.2,,,,,,,58qeglyxdi7y8ttg8sddv8set,G. Kondogbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979265,5,1,1,0,3,4ku8o6uf87yd8iecdalipo6wd,1,37.1,26.9,2022-10-18T19:00:12.571Z,2022-10-19T09:53:02Z,3854540747,140,43.4,3854540753,213,5.1,3854540751,212,16.0,3854540745,56,Back,3855523205,178,,3854540749,141,5.5,,,,,,,59234as8h70fejyfm7492np3p,A. Witsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979267,6,3,1,0,5,4ku8o6uf87yd8iecdalipo6wd,0,40.8,6.2,2022-10-18T19:00:14.694Z,2022-10-19T09:53:31Z,3854540759,286,,3854540757,56,Back,3855523271,178,,3854542307,233,3,3855401169,464,,,,,,,,,,,ieu0x9fy8hpqyztdjg8bgpnt,N. Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979283,3,7,1,0,5,3budh3j9xivsid3ptm8ptpy4k,0,59.2,93.8,2022-10-18T19:00:14.780Z,2022-10-19T09:53:34Z,3854540857,56,Left,3854540981,233,6,3854540861,285,,3855401191,385,,3855523885,178,,,,,,,,,,,8eh38t4oyyt728co362f6uqqd,Álvaro García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473979329,7,1,1,0,6,4ku8o6uf87yd8iecdalipo6wd,1,36.3,3.7,2022-10-18T19:00:16.410Z,2022-10-19T09:53:43Z,3854541163,56,Back,3854541167,141,13.9,3854541171,213,2.8,3854541165,140,16.2,3854541169,212,22.2,3855524065,178,,,,,,,,ieu0x9fy8hpqyztdjg8bgpnt,N. Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
