id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/9/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,keyPass,qualifier/15/value,qualifier/11/value,qualifier/17/value,qualifier/18/value
2457831649,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-09-10T10:52:13.562Z,2022-09-10T12:51:17Z,3768715627,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 8onruhr4es313aq52xsl7nxlh, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, b5rea5r4h8bclpenau2au142x, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 8eh38t4oyyt728co362f6uqqd, lp63o37czdwete0smmu62k89, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 8oc3lpz3xttrnwxk1fnnv7owl, 1p5trokpmvi15fii87mrawkb9, a045sz2acqbfgyq9puwsu8sx6, amt4voyjzhnvr55t08hzlw50q, u04ao1ldrjjesgqq52o7ghqt, 1ho7koiegfhsuevuum2meibu2, 9zgqiq6ksmits5apgsfk2yyfp, c3rreq5bz6smx1ynf9zsune1h, 176vudax6t7930w3zcaw0vj3e",3768715633,130,8,3768715629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3768884837,197,257,3768715639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3768715637,194,676ehh6cwla4o9igey7qr1uqd,3768715631,59,"1, 20, 3, 23, 19, 5, 7, 6, 34, 8, 18, 16, 2, 4, 9, 10, 11, 15, 17, 21, 22, 24, 30",3768715635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457833253,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-09-10T10:59:37.139Z,2022-09-10T12:17:04Z,3768722763,59,"25, 2, 14, 17, 5, 12, 11, 6, 19, 4, 16, 3, 9, 13, 15, 18, 20, 21, 22, 24, 29, 33, 42",3768722771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3768722759,30,"20o2dr1mdk18xhxmkujzgak89, 8vmrboswsfyb5bfoq07s6susp, 5b1q9bpe23j98eoy4fwi7ld5h, 1bnn3tokzwvl4vvw34yxsq9gq, 96w1jlcwuci7kqqfskfsp6191, eucssbf7wamb41y1gixfodivp, 9z3aqwq5swt9qklwnzuhqcogl, e7del0ovpcpntqdgh8idxok4p, 7yieh5r0uzk6d6x9o060c2bfu, b2e12l3s3dxgyr8d2rk5qb9ey, 7yngrviue4iji7w0f9ql07j6x, f1e3gi3dx3er2vz7loriw6e39, 5qgc6zjc38a5xjl35gs7h3vu1, bqrz2xmu25taby17bl7cycjqh, csqsdjsa4leo6z86qphjuectm, 9dc4qkvh0vk5kwymibji00kp, wlqj34ev5mucxtfx6j4tr9at, d6kzekcwqw0q8fq6wt6rmyusq, eiz5j566h4fq4wro1t9lfuw2x, 5uig03vbbv71f0q31cp3vfbv9, 66fshzi5f86wt1lwa4kdhiooa, 6o76owze8y78ue9sb49g8kyz8, 3k61fng6gn6nunocqsd0taqcp",3768722767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3768722765,130,8,3768722761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3768949041,197,16848,3768722769,194,5b1q9bpe23j98eoy4fwi7ld5h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866943,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-09-10T12:00:07.528Z,2022-09-10T20:21:02Z,3768888359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866935,2,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-09-10T12:00:07.528Z,2022-09-10T12:00:07Z,3768888353,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866965,3,1,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,50.1,50,2022-09-10T12:00:07.547Z,2022-09-10T20:37:57Z,3768888409,141,56.9,3768888411,212,18.6,3768888415,279,S,3768888405,56,Back,3768888407,140,33.0,3768888413,213,2.9,3771093197,178,,,,,7yieh5r0uzk6d6x9o060c2bfu,Hugo Duro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866971,4,1,1,0,2,ba5e91hjacvma2sjvixn00pjo,1,34,54.5,2022-09-10T12:00:10.147Z,2022-09-10T20:38:00Z,3768888513,212,52.2,3771093335,178,,3768888509,140,71.3,3768888507,56,Right,3768888517,1,,3768888511,141,3.7,3768888505,155,,3768888515,213,5.6,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866975,5,1,1,0,5,ba5e91hjacvma2sjvixn00pjo,0,71.2,3.7,2022-09-10T12:00:12.737Z,2022-09-10T20:38:07Z,3768888531,212,17.9,3768888523,3,,3768888529,141,28.2,3768888533,213,1.2,3768888525,56,Center,3768888527,140,77.5,3771093699,178,,,,,8vmrboswsfyb5bfoq07s6susp,Thierry Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866981,3,49,1,0,6,3budh3j9xivsid3ptm8ptpy4k,1,20.6,75,2022-09-10T12:00:14.188Z,2022-09-10T20:38:12Z,,,,,,,,,,,,,,,,,,,,,,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866989,4,1,1,0,6,3budh3j9xivsid3ptm8ptpy4k,1,20.6,75,2022-09-10T12:00:14.327Z,2022-09-10T20:38:18Z,3768888631,1,,3768888605,140,56.7,3768888625,213,5.8,3768888611,141,47.9,3768888583,157,,3768888619,212,42.1,3771094243,178,,3768888599,56,Center,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866999,5,1,1,0,10,3budh3j9xivsid3ptm8ptpy4k,1,56.5,47.9,2022-09-10T12:00:17.607Z,2022-09-10T20:38:40Z,3768888709,212,24.8,3768888701,3,,3768888711,213,1.8,3768888705,140,51.4,3768888707,141,83.5,3771095451,178,,3768888703,56,Left,,,,1bdnkqbxm2u5ror7ipig5m73e,Sergio Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
