id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2469649347,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-10-09T13:10:40.207Z,2022-10-09T14:15:51Z,3831571287,194,2qauzcv74cd8uqfv2ibl52ymt,3831571289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831571283,130,2,3831571277,30,"el98wqtf7w1ap9ei2bxqwtx3p, 87d9nk7nzy4blezcur66rz1ed, 2qauzcv74cd8uqfv2ibl52ymt, aabvyjqpd63os1yzthx8ej6c5, 6pfbtlfphouu35kbwjiavwgyd, 8nbnru9t2qxaotxw0hiaocdt5, cn3ocv5r0d0un0no4wlxl5y39, 9c2cfavuofg0yz3307nkgi0ut, 3r9gdse50kyeq9ya1o3ul0e6t, wwdfv8zkkgplnpbz12pv8frp, bpvxqbiu11k4ivohi3798kxxx, 9wozklkj2p3a83j51p27a59ed, 2rn90c44nbr991vxlj2nmwxqt, 7s0xu9z5egw0sjf8qibdwa6s5, 3ia1z3fooszynz9a81dn17oid, cfm1cx3wneiqljgyv0tthp0ph, 92b22xcwri3rokbvu09htjhwq, a8ws0c0qiekoeqib6xxet0ixh, 8wh06x3xb8duroz673s3c43x1, 9rm0qaumcii8d9zqxkh9nq4lx, 6ub3gmmh58vvk9yk3f0osmp5h, d2z22er0uqxu3w3h3ta36wh61, 4zve4017u2i3zvxlnjruv25t5",3831571281,59,"1, 2, 22, 24, 23, 32, 11, 4, 18, 7, 10, 3, 6, 8, 9, 13, 14, 15, 16, 17, 19, 21, 36",3831943101,197,1511,3831571285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831571279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469653063,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-10-09T13:13:18.687Z,2022-10-09T14:18:24Z,3831949411,197,16591,3831590535,130,8,3831590531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831590541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831590539,194,7xmaybxu4zd5k338bi3drkxcl,3831590533,59,"13, 5, 14, 10, 24, 4, 22, 12, 9, 20, 21, 1, 2, 6, 7, 8, 16, 19, 25, 26, 28",3831590537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831590529,30,"6wfwy94p5bm0zv3aku0urfq39, 2rqxh5mex336ci45jaw428y5l, 3nchjse4ej0qhilo395td7u1h, 7xmaybxu4zd5k338bi3drkxcl, eyhvr45vc1n690dxobcthmndh, 6810qbng9pfg1bztczv11grmd, 6msjsxuolz1yhmongz6swkno5, adi6l78sdvet408eho4fi4xk9, d67qj0sakwrfzbscleo4dbget, 8qvqdjw1d58mw7420lpmk7bah, cspjsye2x9pmnvdxjmghwnyi2, 5f8kjgsaabn2li5r7bvpebbsa, 8rm2kkceowwtj3p0k6g7id0mi, 74wjzeja92l4q8fpy1bkmcsfd, e5qp6dh1prc55llew51zpy1gp, 91te5xuankrla4g3s7as3htxx, bjzhwuehd7jzlbh04129h2w9h, 30jru4rizkqobfinh8o2jw92h, agd2nhvdhp18dg1weape5olpl, 7h0b81yjiiu356rycsakgd0yc, 6gy8t82tqi12q2odz974xcbh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720353,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-10-09T14:16:10.601Z,2022-10-10T02:06:31Z,3831945469,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720339,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-10-09T14:16:10.601Z,2022-10-09T14:16:10Z,3831945419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720423,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,50,50,2022-10-09T14:16:10.714Z,2022-10-10T03:29:16Z,3831945879,213,2.7,3831945873,141,57.5,3831945881,279,S,3831945869,140,39.8,3831945877,212,11.9,3834399569,178,,3831945865,56,Back,,,,8qvqdjw1d58mw7420lpmk7bah,Edu Expósito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720537,4,1,1,0,3,c8llrezkm3b3op4afrou6b487,0,40.1,57.2,2022-10-09T14:16:13.609Z,2022-10-10T03:29:19Z,3831946529,213,5.7,3831946523,140,81.8,3834399597,178,,3831946527,212,54.2,3831946533,1,,3831946519,155,,3831946525,141,10.3,3831946521,56,Right,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720519,3,44,1,0,5,82q9159y2u7mkfn3z6hy75r4o,1,25.3,87.4,2022-10-09T14:16:16.500Z,2022-10-10T09:04:04Z,3831946725,233,5,3831946435,56,Back,3831946437,285,,,,,,,,,,,,,,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720555,5,44,1,0,5,c8llrezkm3b3op4afrou6b487,0,74.7,12.6,2022-10-09T14:16:16.501Z,2022-10-10T03:29:37Z,3831946859,233,3,3831946613,56,Right,3831946617,286,,,,,,,,,,,,,,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720583,4,1,1,0,5,82q9159y2u7mkfn3z6hy75r4o,1,32.4,85.1,2022-10-09T14:16:16.542Z,2022-10-10T09:04:04Z,3831946799,213,3.6,3831946793,140,15.5,3834399889,388,,3831946797,212,20.2,3831946789,3,,3831946795,141,70.8,3831946791,56,Back,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469720601,5,44,1,0,8,82q9159y2u7mkfn3z6hy75r4o,1,15.8,72.5,2022-10-09T14:16:19.213Z,2022-10-10T09:04:04Z,3831978437,233,6,3831946897,56,Back,3831946899,285,,,,,,,,,,,,,,,,,8nbnru9t2qxaotxw0hiaocdt5,Víctor Chust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
