id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2483674999,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-11-09T19:09:35.182Z,2022-11-09T20:24:55Z,3905643871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3905643877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905643873,59,"13, 16, 23, 5, 15, 18, 14, 20, 19, 8, 21, 1, 3, 6, 9, 10, 11, 17, 22, 29, 30, 31",3905643875,130,2,3905643879,194,2yt9oajv9dkbju8tgy1g2nmqd,3905944097,197,17281,3905643881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905643869,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, 3ga7qj3h3dbmqucxmaxhmrjdh, av5g4nr853anks78vl6jh4s7p, f30avgacyfz88ppw9mh8v57md, amxunh6enoc99r07cp7qt621h, 59234as8h70fejyfm7492np3p, 46kq5653o302ebz4o5yzsss0l, 716n1970vi9rvw5b4w9qmjfth, 20m7tijt8jnedjd4x87olmaqd, cfhk5255hz4wbs2zsrq219a6t, b6gclblu9lz3sstpla966ik7p, b9kfek16otvdorssn0wzkb36d, 9rm3r46uzxlmuqnp0jo4danhm, 6fdvv4zs5pl6qj7pp6tsp5iad, ejcyvgclry4g5pc2rtptifphx, 40h47dhimsmeiury61w1ourx1, am5gj5qg3gjtyhvwfnj8sjz6d, c90gk99jn34wxtlad784hpnv8, d3kuh0z8x9e9ywc7g4agv1yxg, d0di86falsvqnl1c4ev98my5m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483676789,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-11-09T19:12:26.447Z,2022-11-09T20:24:52Z,3905652439,130,11,3905652441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905943883,197,348,3905652433,30,"6ekdnbnk56xlxforb5owt3dn9, 9n447dc5s8na89g3ovx9zvbv9, 9ej7t1srxjcxe5p627eumn6d, 3n66mcws9belxbv3pu5uwhfu2, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 2td3iejdken4orcduqrdutrhm, 7ubtan6a51o79w469zawrqqqd, 3pwr7lqvo4o08c4nvzqpuue39, baax58gbtxlbuj3duulpms4q1, 8b3igmuipfhfzm39ack89de96, dtuwn06lnvxugaj637i553r2t, esk1w6ycz34w1r3te22shohrd, cjtqtr93yjd3ee7tslzi1bd9l, 3h58t56r9if0oh4qd3gz1wfrp, 2wdjbfzaiokiawrbn5wzsx61h, 6v5jjz9ryqacsd8vovugvlsyd, 4sz26vstr6b7b110eri7f42jt, 4uuvyzac4sd4ysjpv9eng1d5h, bfphipc0ydemnv7p3kib5r7qh, ec26i7ddimq76bit2zz8fbsnp, 3j66drshfcoje5wb7gjybi9qt, 5qh2kdatvb03o8oiqvkaaxje2",3905652435,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3905652443,194,9dewnn65ylruq567thg7ebqhh,3905652445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905652437,59,"1, 20, 18, 6, 21, 24, 10, 4, 7, 12, 19, 2, 3, 5, 8, 9, 11, 13, 16, 17, 22, 23, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483740805,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-11-09T20:31:08.948Z,2022-11-09T20:31:09Z,3905970421,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483740823,3,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-11-09T20:31:08.948Z,2022-11-10T03:39:14Z,3905970511,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483740877,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,50,49.5,2022-11-09T20:31:08.951Z,2022-11-10T06:06:14Z,3905970763,279,S,3905970753,141,39.4,3905970755,212,23.0,3906612093,178,,3905970751,140,29.1,3905970749,56,Back,3905970759,213,3.4,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483740909,4,1,1,0,3,4ku8o6uf87yd8iecdalipo6wd,1,34.1,35,2022-11-09T20:31:12.118Z,2022-11-10T06:06:21Z,3906612139,178,,3905970959,141,32.5,3905970953,155,,3905970963,213,6.2,3905970955,56,Center,3905970957,140,62.4,3905970961,212,29.8,,,,av5g4nr853anks78vl6jh4s7p,S. Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483741063,9,44,1,0,5,4ku8o6uf87yd8iecdalipo6wd,1,63.4,29.5,2022-11-09T20:31:14.706Z,2022-11-10T09:08:59Z,3905973273,233,4,3905971805,56,Center,3905971807,286,,,,,,,,,,,,,,,,,amxunh6enoc99r07cp7qt621h,Marcos Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483740913,4,44,1,0,5,50x1m4u58lffhq6v6ga1hbxmy,0,36.6,70.5,2022-11-09T20:31:14.707Z,2022-11-10T06:06:26Z,3905973277,233,9,3905970989,285,,3905970987,56,Back,,,,,,,,,,,,,,,,7ubtan6a51o79w469zawrqqqd,Ruíz de Galarreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483740929,5,1,1,0,5,4ku8o6uf87yd8iecdalipo6wd,0,63,31.8,2022-11-09T20:31:14.803Z,2022-11-10T09:09:00Z,3905971055,3,,3905971067,213,1.0,3905971063,141,46.4,3905971065,212,11.6,3905971061,140,68.7,3905971057,168,,3906612221,388,,3905971059,56,Center,amxunh6enoc99r07cp7qt621h,Marcos Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483740985,5,1,1,0,7,50x1m4u58lffhq6v6ga1hbxmy,0,31.8,53.8,2022-11-09T20:31:16.333Z,2022-11-10T06:06:36Z,3905971355,212,13.9,3905971353,141,36.9,3905971347,3,,3905971351,140,39.2,3905971357,213,5.3,3906612257,388,,3905971349,56,Back,,,,baax58gbtxlbuj3duulpms4q1,I. Baba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
