id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/18/value
2455217939,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2022-09-03T17:42:18.031Z,2022-09-03T19:05:59Z,3754798719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3755078943,197,260,3754798721,194,depu0zp8jqcyv0jzf5r9yums5,3754798723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754798715,59,"13, 2, 19, 6, 20, 14, 8, 10, 15, 17, 22, 1, 3, 5, 7, 12, 16, 18, 21, 24, 29, 30, 31",3754798711,30,"c9cp6fxbxyc2a3kfotkompxx, 1y74tse0vpdxanxf152cc8jjd, djal5dsafpnhip4lu0ait94np, 6vvwhgic29fekmmj2cg62ytp1, 65osnocfqxv6mmpb69hm446ad, 2lwjtphx3bkjty9sds520l1ey, 8ycvfctf7c3yljnbtltsogkph, depu0zp8jqcyv0jzf5r9yums5, 4bbqmasyopxoymo4umcxd4e09, 7exng93jyar5is4fa64r9bhzp, 45s1v9805id09m5zkcylueod1, bahph7009sc73jl6s2bramn6d, asweknp9d99safr6p9va75h3p, bpprd2haoafk6y0rjans4iytx, 5c4ku1hmhy6l9dq8a5jp1qf9x, 4sojot9t32l4a6fm3e39xkcfd, 2mg2n8e1d83gbeykfwzz0fumt, 4gqnyyx3i92fayq6cxvekqwut, 8n4f10q0l2wjhhfdkpp8kfzdh, 8tlfkcnlf3dq1katqazub1i39, 9nwkxgbl8t933pzu60ye4xxxw, 6jq376l673aizjxxhhos2j52i, 944mc5icxdleh4kvaamvpa9zo",3754798717,130,4,3754798713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455219569,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-09-03T17:44:00.596Z,2022-09-03T19:02:12Z,3754807231,194,calrbl0kagr6zgnw2l8k626s5,3755078063,197,16016,3754807223,130,4,3754807215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3754807213,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, calrbl0kagr6zgnw2l8k626s5, awsod0zmnrukk21d4882ji7e1, 4ggz7e009bq3yltc9o6mifbah, eb3ci3a120om80v80mobsus8a, 4ftlhtels58lyzfluwofzwxuy, afxjicw89683nlpms9yy5x51x, 2wl6h1rlrfnn2mr65vuo3t815, ckaqxlw257qzj8vjdumvwbaad, 9mfk2ditwuoto5dfthng9j2t, 308krssmz6irpfntht1ka78tm, 2szgrzcosfeifh664tgt3mfvt, b37h0rc96jh4e34x6iru2plud, 1av9mmv19jwvc4xdr0p9owyxh, c8ni4ccx44u8fd8lk5vtpk8gl, 4o6f3mnd39fx700o3jvj0wct1, 4ct72ovumvt09au6gpulwpjv9, 4q6kuikopbgls8y2rwqiu415h, ezviixcyaaj162saxs2yl27s9, 4mxx1oxkiexm0ha34utcmb17t, 4ffmlhvbjvfjjnhr0byktvt62",3754807219,59,"1, 23, 28, 5, 4, 24, 30, 8, 9, 22, 7, 3, 10, 11, 14, 15, 16, 18, 19, 20, 21, 26, 36",3754807233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754807227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273745,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2022-09-03T19:00:56.672Z,2022-09-04T09:49:57Z,3755098315,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273705,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-09-03T19:00:56.672Z,2022-09-03T19:00:56Z,3755098145,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273729,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2022-09-03T19:00:56.983Z,2022-09-04T10:02:49Z,3755098275,213,3.1,3757128927,178,,3755098267,140,35.7,3755098271,212,15.1,3755098277,279,S,3755098265,56,Back,3755098269,141,51.6,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273767,4,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,41.3,64,2022-09-03T19:00:59.953Z,2022-09-04T10:02:57Z,3755098435,212,19.5,3755098437,213,1.6,3755098431,140,40.6,3755098429,56,Back,3755098433,141,92.6,3757129113,178,,,,,,,,calrbl0kagr6zgnw2l8k626s5,Sergio Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273863,5,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,40.6,92.9,2022-09-03T19:01:02.433Z,2022-09-04T10:03:05Z,3755098927,56,Back,3755098937,141,72.6,3755098943,213,4.0,3757129251,178,,3755098941,212,17.6,3755098933,140,30.2,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273889,6,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,0,41.1,64.9,2022-09-03T19:01:09.784Z,2022-09-04T10:03:15Z,3755099103,213,5.4,3755099097,140,73.3,3757129511,178,,3755099093,155,,3755099101,212,50.7,3755099105,1,,3755099099,141,9.4,3755099095,56,Right,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273883,3,8,1,0,15,10eyb18v5puw4ez03ocaug09m,1,25.6,87.8,2022-09-03T19:01:12.566Z,2022-09-04T10:03:21Z,3756895423,385,,3757129653,388,,3755099061,56,Back,3755099111,15,,,,,,,,,,,,,,djal5dsafpnhip4lu0ait94np,M. Acuña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273909,4,5,1,0,17,10eyb18v5puw4ez03ocaug09m,0,33,101.6,2022-09-03T19:01:14.033Z,2022-09-04T10:03:30Z,3755099205,56,Back,3755099209,347,,3755099587,233,7,,,,,,,,,,,,,,,,djal5dsafpnhip4lu0ait94np,M. Acuña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455273977,7,5,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,67,-1.6,2022-09-03T19:01:14.033Z,2022-09-04T10:03:30Z,3755099527,56,Right,3755099547,233,4,3755099529,347,,,,,,,,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
