id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2472382537,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-10-15T17:52:27.376Z,2022-10-15T18:58:05Z,3846137115,59,"1, 18, 15, 6, 5, 4, 11, 8, 9, 10, 7, 2, 3, 12, 13, 14, 16, 19, 20, 21, 22, 24, 31",3846414499,197,12043,3846137113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3846137121,194,81png9xvfr224o03vaksp6aqd,3846137117,130,8,3846137123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846137119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846137111,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, v7isqpxiursyjhj5rmhyhjv9, 83n1qv6ypl625aolzjeqifv11, uzzq2p3s1qnb3wv1pee3mcph, cd5napttmwk5o9gxw3cbb4ted, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, ddvvwqxpsqqboupi3gx1ijhed, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 9d5h5wxf44qu4fw3jk2pgis16, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472384949,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-10-15T17:56:05.267Z,2022-10-15T19:12:06Z,3846150385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846150373,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, b9kfek16otvdorssn0wzkb36d, av5g4nr853anks78vl6jh4s7p, 548jzfl9higq44w9bgqvcjh05, 3ga7qj3h3dbmqucxmaxhmrjdh, 58qeglyxdi7y8ttg8sddv8set, 716n1970vi9rvw5b4w9qmjfth, 46kq5653o302ebz4o5yzsss0l, ejcyvgclry4g5pc2rtptifphx, cfhk5255hz4wbs2zsrq219a6t, 4z60ztggqxzfbp8w9ijoqefop, 9rm3r46uzxlmuqnp0jo4danhm, 6fdvv4zs5pl6qj7pp6tsp5iad, 40h47dhimsmeiury61w1ourx1, 59234as8h70fejyfm7492np3p, 20m7tijt8jnedjd4x87olmaqd, am5gj5qg3gjtyhvwfnj8sjz6d, d3kuh0z8x9e9ywc7g4agv1yxg",3846150379,130,2,3846150375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3846150381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846419533,197,17281,3846150377,59,"13, 16, 23, 6, 15, 2, 5, 4, 8, 19, 11, 1, 7, 9, 10, 17, 20, 21, 22, 30",3846150383,194,b9kfek16otvdorssn0wzkb36d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433615,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-10-15T19:00:35.185Z,2022-10-15T19:00:36Z,3846422729,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433623,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-10-15T19:00:35.185Z,2022-10-16T03:11:00Z,3846422761,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433629,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,50.2,49.6,2022-10-15T19:00:35.283Z,2022-10-16T03:43:15Z,3846422807,279,S,3847623379,178,,3846422801,141,43.7,3846422805,213,3.3,3846422799,140,29.7,3846422797,56,Back,3846422803,212,21.9,,,,46kq5653o302ebz4o5yzsss0l,Álvaro Morata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433681,4,1,1,0,3,4ku8o6uf87yd8iecdalipo6wd,0,29.8,37.7,2022-10-15T19:00:38.960Z,2022-10-16T03:43:25Z,3846423121,141,78.3,3847623613,178,,3846423127,1,,3846423115,155,,3846423119,140,76.5,3846423123,212,56.3,3846423117,56,Center,3846423125,213,0.5,548jzfl9higq44w9bgqvcjh05,J. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433701,3,44,1,0,6,3czravw89omgc9o4s0w3l1bg5,1,22.8,20.8,2022-10-15T19:00:41.918Z,2022-10-16T10:55:51Z,3846423249,56,Back,3846423269,233,5,3846423251,285,,,,,,,,,,,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433687,5,44,1,0,6,4ku8o6uf87yd8iecdalipo6wd,0,77.2,79.2,2022-10-15T19:00:41.919Z,2022-10-16T03:43:34Z,3846423179,56,Left,3846423279,233,3,3846423181,286,,,,,,,,,,,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433711,4,1,1,0,6,3czravw89omgc9o4s0w3l1bg5,0,23.6,23.5,2022-10-15T19:00:41.970Z,2022-10-16T10:55:51Z,3846423325,141,13.9,3846423319,3,,3846423323,140,43.5,3846423327,212,21.9,3846423329,213,6.0,3847623937,388,,3846423321,56,Back,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472433725,6,1,1,0,9,4ku8o6uf87yd8iecdalipo6wd,1,56.1,87.2,2022-10-15T19:00:45.148Z,2022-10-16T03:43:56Z,3846423441,212,11.0,3846423435,56,Left,3846423433,3,,3846423437,140,65.0,3847624359,388,,3846423443,213,0.5,3846423439,141,95.6,,,,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
