id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,assist,qualifier/18/value
2498075761,6,1,1,0,20,82q9159y2u7mkfn3z6hy75r4o,1,38,82.4,2023-01-16T20:02:44.361Z,2023-01-17T07:31:16Z,3981638207,213,0.8,3981963121,178,,3981638205,212,14.8,3981638199,56,Back,3981638203,141,97.5,3981638201,140,48.1,,,,,,,aabvyjqpd63os1yzthx8ej6c5,Fede San Emeterio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075789,7,1,1,0,24,82q9159y2u7mkfn3z6hy75r4o,1,50.8,97.5,2023-01-16T20:02:47.579Z,2023-01-17T07:31:21Z,3981638369,212,15.3,3981638363,56,Back,3981638365,140,36.2,3981963125,178,,3981638371,213,3.2,3981638367,141,96.6,,,,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075803,8,1,1,0,30,82q9159y2u7mkfn3z6hy75r4o,1,38.2,62.9,2023-01-16T20:02:54.215Z,2023-01-17T07:31:25Z,3981638433,141,34.0,3981638431,140,31.2,3981638435,212,21.0,3981638429,56,Back,3981963147,178,,3981638437,213,4.4,,,,,,,9c2cfavuofg0yz3307nkgi0ut,Rubén Alcaraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075831,9,1,1,0,33,82q9159y2u7mkfn3z6hy75r4o,1,32.6,34.2,2023-01-16T20:02:57.389Z,2023-01-17T07:31:30Z,3981638567,212,29.7,3981638563,140,35.7,3981638561,56,Back,3981638565,141,77.6,3981963171,178,,3981638569,213,1.5,,,,,,,6pfbtlfphouu35kbwjiavwgyd,Luis Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075841,10,1,1,0,39,82q9159y2u7mkfn3z6hy75r4o,1,46.5,75.4,2023-01-16T20:03:02.944Z,2023-01-17T07:32:44Z,3981638635,212,14.8,3981638633,141,79.1,3981638631,140,60.4,3981638629,56,Left,3981638637,213,0.2,3981963399,178,,,,,,,,9wozklkj2p3a83j51p27a59ed,Fali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075859,11,1,1,0,40,82q9159y2u7mkfn3z6hy75r4o,1,60.4,79.1,2023-01-16T20:03:03.890Z,2023-01-17T07:32:51Z,3981638737,212,13.7,3981963433,178,,3981638725,56,Left,3981638731,140,52.7,3981638733,141,95.3,3981638739,213,2.2,,,,,,,92b22xcwri3rokbvu09htjhwq,B. Ocampo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075861,12,1,1,0,42,82q9159y2u7mkfn3z6hy75r4o,1,52.7,95.3,2023-01-16T20:03:06.130Z,2023-01-17T07:32:55Z,3981638749,140,42.1,3981963453,178,,3981638757,213,3.9,3981638747,56,Back,3981638753,141,79.0,3981638755,212,15.7,,,,,,,7s0xu9z5egw0sjf8qibdwa6s5,Álex Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075875,13,1,1,0,45,82q9159y2u7mkfn3z6hy75r4o,1,34.9,69.3,2023-01-16T20:03:09.314Z,2023-01-17T07:32:59Z,3981638807,141,57.1,3981963475,178,,3981638805,140,34.9,3981638803,56,Back,3981638811,213,4.7,3981638809,212,8.3,,,,,,,9wozklkj2p3a83j51p27a59ed,Fali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075887,14,1,1,0,48,82q9159y2u7mkfn3z6hy75r4o,0,36.2,44.5,2023-01-16T20:03:11.883Z,2023-01-17T07:33:03Z,3981638887,212,53.7,3981638879,155,,3981963499,178,,3981638885,141,42.2,3981638883,140,87.3,3981638881,56,Center,3981638889,213,6.3,3981638891,1,,9c2cfavuofg0yz3307nkgi0ut,Rubén Alcaraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075889,6,52,1,0,51,4yg9ttzw0m51048doksv8uq5r,1,12.8,58.4,2023-01-16T20:03:15.051Z,2023-01-17T07:33:10Z,3981963525,178,,3981810705,377,,,,,,,,,,,,,,,,,,,,36bg0k385i4wwarffp6ak1syd,Edgar Badia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
