id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497642935,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-01-15T11:48:45.195Z,2023-01-15T15:05:23Z,3979336041,30,"vota9gwygxp3wc998tl7ldxx, 1p6ccbu8hzugj05qtea21rw7p, 5l6e9nd0defapk1w2ucndowr9, 2o3bka7gokfjkej1f600ovbo5, cue88fm1v1ysfuwhql68czydx, 9see13i1f0n1ju4uhs8sijutx, eiqt71z69beq7akuhot0foset, ch1lxxbn01at4jmkafy4uevh1, b64p21hmhsqgrn6n04mk00zpx, 52e2ogoex674bz6pcwluapdxx, aso41hpuq5oh825n83boc5x0q, bh4a2zneilpvi1t7etuhkfl61, 1f2t5vsayiiluw330yiw4ft1x, 2zgcbp9g85uxudxadiw3twmvp, qg0ok4244nmslpvxnoj6zn8q, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, 8lg4tqh5bepeexbhghyr7pze2, entqiwoor6dhwqcg5s82krfth, dkv5svrbfiq996qchro44dfpx, 5lzbyj5i0cotpry4gneap8c89, 32sds4yk7ch30mng0gyzhdk9h, 5mj2vxkh3pmkbwj139mp93n4l",3979336051,194,9see13i1f0n1ju4uhs8sijutx,3979336043,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979495433,197,1579,3979336047,130,10,3979336045,59,"13, 22, 9, 15, 6, 2, 11, 5, 10, 19, 16, 24, 1, 3, 4, 7, 8, 14, 17, 20, 21, 23, 27",3979336049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979336053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497644025,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-01-15T11:50:52.532Z,2023-01-15T13:14:42Z,3979411123,197,16505,3979341743,59,"25, 22, 2, 4, 23, 5, 12, 10, 9, 17, 7, 1, 16, 19, 20, 21, 24, 26, 27, 35",3979341747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979341749,194,7xmaybxu4zd5k338bi3drkxcl,3979341745,130,17,3979341739,30,"agd2nhvdhp18dg1weape5olpl, 6msjsxuolz1yhmongz6swkno5, 8rm2kkceowwtj3p0k6g7id0mi, 6810qbng9pfg1bztczv11grmd, cbhdq57m8kxdeqjf42z0i3rop, 2rqxh5mex336ci45jaw428y5l, adi6l78sdvet408eho4fi4xk9, 7xmaybxu4zd5k338bi3drkxcl, d67qj0sakwrfzbscleo4dbget, 92pz9nafg5h4qeqpiw3011ihh, e5qp6dh1prc55llew51zpy1gp, 5f8kjgsaabn2li5r7bvpebbsa, bjzhwuehd7jzlbh04129h2w9h, 30jru4rizkqobfinh8o2jw92h, 8qvqdjw1d58mw7420lpmk7bah, cspjsye2x9pmnvdxjmghwnyi2, eyhvr45vc1n690dxobcthmndh, 7h0b81yjiiu356rycsakgd0yc, 4ypoy27moehhbiaf3o1bntht6, 4rhyoyjupe9nhrni7r9vyxre",3979341741,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979341751,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674073,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-01-15T13:01:53.370Z,2023-01-15T13:01:57Z,3979502193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674067,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-01-15T13:01:53.370Z,2023-01-15T19:22:19Z,3979502159,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674105,3,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,50,50,2023-01-15T13:01:53.402Z,2023-01-16T06:40:48Z,3979502385,140,36.6,3979502389,212,23.9,3979502391,213,2.2,3981034687,178,,3979502383,56,Back,3979502387,141,78.5,3979502393,279,S,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674133,4,1,1,0,6,1n1j0wsl763lq7ee1k0c11c02,1,41.7,76.2,2023-01-15T13:02:00.296Z,2023-01-16T06:41:05Z,3979502561,213,4.3,3979502553,56,Back,3979502557,141,51.0,3979502559,212,18.9,3979502555,140,34.2,3981034859,178,,,,,,,,2o3bka7gokfjkej1f600ovbo5,O. Alderete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674145,5,1,1,0,12,1n1j0wsl763lq7ee1k0c11c02,1,32.1,65.5,2023-01-15T13:02:05.526Z,2023-01-16T06:41:14Z,3981034939,178,,3979502631,213,1.3,3979502623,56,Back,3979502627,141,93.6,3979502629,212,19.6,3979502625,140,36.2,,,,,,,cue88fm1v1ysfuwhql68czydx,Domingos Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674171,6,1,1,0,14,1n1j0wsl763lq7ee1k0c11c02,1,39.4,93.4,2023-01-15T13:02:08.138Z,2023-01-16T06:41:21Z,3979502767,56,Back,3979502773,212,10.8,3979502775,213,5.7,3981035013,178,,3979502769,140,48.0,3979502771,141,84.7,,,,,,,2o3bka7gokfjkej1f600ovbo5,O. Alderete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674179,7,1,1,0,15,1n1j0wsl763lq7ee1k0c11c02,1,48,84.7,2023-01-15T13:02:09.133Z,2023-01-16T06:41:28Z,3979502829,213,3.4,3979502825,141,80.8,3981035093,178,,3979502821,140,38.9,3979502827,212,9.9,3979502817,56,Back,,,,,,,52e2ogoex674bz6pcwluapdxx,Borja Mayoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497674187,8,1,1,0,17,1n1j0wsl763lq7ee1k0c11c02,1,38.9,80.8,2023-01-15T13:02:10.797Z,2023-01-16T06:41:37Z,3979502881,56,Back,3979502889,212,12.6,3979502883,140,46.6,3979502887,141,66.6,3979502891,213,5.4,3981035193,178,,,,,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
