id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,keyPass,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/18/value
2513391589,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-02-27T18:41:21.863Z,2023-02-27T20:02:26Z,4062309343,197,284,4062171231,30,"76r2yw3wtql61qh5l0yumdn85, 5soi8e2hlk77rlsbsl76hg3xl, a3w1uczgmswm3cwk4vmvoglhx, c29mprqv2ulztd22b6uckczx1, e615cmv1tfzu84f0z8mwi5711, 57s7gfvt5btbfzm600wn7df55, 3bm08rp9rgzh6cjhk0picxs6h, 20ebw399jhbq0i5x2eacrrs6i, 9y7202khwzb48ea7im646m11x, 5mx86rwy0u4xi1b5kqin4lhx, 4eezya3lwcwur6c8s6rl0rzvu, aza9jho12wrfa3oczxoj670mh, 2biwwlvzgsu5kmyw5w1adpmtx, dfjph36vcwfj5cevut4x3vf11, 5zoz3mjooujpv0wdcphyrztd6, 7c2qwyzh82a45s25zmdahrd91, eh70fwampgdyfv3hu25o2qx, 32uxh37qc6ebx1z4h8qvuvdnt, 7kyxr0ntcthtbohvozw93v52i, 6czrkkx1jvcl1r41h24s450k4",4062171239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062171241,194,e615cmv1tfzu84f0z8mwi5711,4062171233,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4062171243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062171235,59,"1, 8, 18, 10, 3, 4, 11, 39, 22, 6, 21, 5, 7, 12, 16, 23, 24, 31, 40, 43",4062171237,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513392283,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-02-27T18:43:35.271Z,2023-02-27T20:04:54Z,4062174925,194,9see13i1f0n1ju4uhs8sijutx,4062174919,59,"13, 2, 4, 18, 6, 15, 9, 5, 10, 20, 19, 1, 7, 8, 11, 14, 16, 17, 21, 22, 23, 24, 27",4062309447,197,1579,4062174927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062174923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062174917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4062174921,130,8,4062174915,30,"vota9gwygxp3wc998tl7ldxx, 9see13i1f0n1ju4uhs8sijutx, qg0ok4244nmslpvxnoj6zn8q, 5gorfhj7uwpomrhlso1krxrkl, cue88fm1v1ysfuwhql68czydx, 2o3bka7gokfjkej1f600ovbo5, 5l6e9nd0defapk1w2ucndowr9, ch1lxxbn01at4jmkafy4uevh1, b64p21hmhsqgrn6n04mk00zpx, dkv5svrbfiq996qchro44dfpx, 52e2ogoex674bz6pcwluapdxx, 1f2t5vsayiiluw330yiw4ft1x, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, eiqt71z69beq7akuhot0foset, 8lg4tqh5bepeexbhghyr7pze2, aso41hpuq5oh825n83boc5x0q, entqiwoor6dhwqcg5s82krfth, 5lzbyj5i0cotpry4gneap8c89, 1p6ccbu8hzugj05qtea21rw7p, 32sds4yk7ch30mng0gyzhdk9h, bh4a2zneilpvi1t7etuhkfl61, 5mj2vxkh3pmkbwj139mp93n4l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418137,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-02-27T20:00:14.190Z,2023-02-27T20:00:17Z,4062314619,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418131,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-02-27T20:00:14.190Z,2023-02-28T04:14:29Z,4062314599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418157,3,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,50,50,2023-02-27T20:00:14.226Z,2023-02-28T06:03:28Z,4062314705,279,S,4062314697,140,30.2,4062922201,178,,4062314695,56,Back,4062314703,213,2.8,4062314699,141,62.3,4062314701,212,22.4,,,,52e2ogoex674bz6pcwluapdxx,Borja Mayoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418161,4,1,1,0,3,1n1j0wsl763lq7ee1k0c11c02,0,30.2,62.3,2023-02-27T20:00:17.209Z,2023-02-28T06:03:37Z,4062922291,178,,4062314715,141,29.3,4062314717,212,50.8,4062314721,1,,4062314713,140,73.6,4062635911,157,,4062314711,56,Center,4062314719,213,5.8,2o3bka7gokfjkej1f600ovbo5,O. Alderete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418171,3,44,1,0,5,74mcjsm72vr3l9pw2i4qfjchj,1,30.9,68.8,2023-02-27T20:00:20.041Z,2023-02-28T07:08:40Z,4062314801,233,5,4062314763,56,Back,4062314765,285,,,,,,,,,,,,,,,,,5mx86rwy0u4xi1b5kqin4lhx,É. Capoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418173,5,44,1,0,5,1n1j0wsl763lq7ee1k0c11c02,0,69.1,31.2,2023-02-27T20:00:20.042Z,2023-02-28T06:03:40Z,4062314805,233,3,4062314779,56,Center,4062314781,286,,,,,,,,,,,,,,,,,b64p21hmhsqgrn6n04mk00zpx,E. Ünal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418175,4,1,1,0,5,74mcjsm72vr3l9pw2i4qfjchj,1,27.6,74.9,2023-02-27T20:00:20.109Z,2023-02-28T07:08:41Z,4062314789,141,53.6,4062314793,213,5.0,4062314785,56,Back,4062314787,140,31.0,4062314791,212,14.9,4062922405,388,,4062314783,3,,,,,5mx86rwy0u4xi1b5kqin4lhx,É. Capoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513418179,5,1,1,0,7,74mcjsm72vr3l9pw2i4qfjchj,1,31,53.6,2023-02-27T20:00:21.829Z,2023-02-28T06:04:14Z,4062314837,213,2.4,4062314827,3,,4062314835,212,9.9,4062314833,141,63.6,4062922629,178,,4062314831,140,24.2,4062314829,56,Back,,,,20ebw399jhbq0i5x2eacrrs6i,Ramón Terrats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
