id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2482334493,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-11-06T11:52:19.379Z,2022-11-06T13:23:38Z,3898655079,197,244,3898655077,194,2yt9oajv9dkbju8tgy1g2nmqd,3898655081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898655071,59,"13, 16, 23, 5, 15, 2, 14, 4, 19, 8, 21, 1, 3, 7, 9, 10, 11, 18, 20, 22, 30, 31",3898655069,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898655073,130,2,3898655075,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898655067,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, 3ga7qj3h3dbmqucxmaxhmrjdh, av5g4nr853anks78vl6jh4s7p, 548jzfl9higq44w9bgqvcjh05, amxunh6enoc99r07cp7qt621h, 58qeglyxdi7y8ttg8sddv8set, 46kq5653o302ebz4o5yzsss0l, 716n1970vi9rvw5b4w9qmjfth, 20m7tijt8jnedjd4x87olmaqd, cfhk5255hz4wbs2zsrq219a6t, b6gclblu9lz3sstpla966ik7p, 4z60ztggqxzfbp8w9ijoqefop, 9rm3r46uzxlmuqnp0jo4danhm, 6fdvv4zs5pl6qj7pp6tsp5iad, ejcyvgclry4g5pc2rtptifphx, f30avgacyfz88ppw9mh8v57md, 59234as8h70fejyfm7492np3p, am5gj5qg3gjtyhvwfnj8sjz6d, d3kuh0z8x9e9ywc7g4agv1yxg, d0di86falsvqnl1c4ev98my5m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482335281,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-11-06T11:53:49.199Z,2022-11-06T18:41:01Z,3898658285,194,7xmaybxu4zd5k338bi3drkxcl,3898658277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898658289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898658281,130,8,3898658279,59,"13, 2, 14, 12, 5, 4, 22, 8, 9, 10, 17, 1, 6, 7, 16, 19, 20, 21, 24, 25, 26, 28",3898658283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898658287,197,270,3898658275,30,"6wfwy94p5bm0zv3aku0urfq39, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, adi6l78sdvet408eho4fi4xk9, 2rqxh5mex336ci45jaw428y5l, 6810qbng9pfg1bztczv11grmd, 6msjsxuolz1yhmongz6swkno5, 91te5xuankrla4g3s7as3htxx, d67qj0sakwrfzbscleo4dbget, 7xmaybxu4zd5k338bi3drkxcl, 92pz9nafg5h4qeqpiw3011ihh, 5f8kjgsaabn2li5r7bvpebbsa, 74wjzeja92l4q8fpy1bkmcsfd, e5qp6dh1prc55llew51zpy1gp, bjzhwuehd7jzlbh04129h2w9h, 30jru4rizkqobfinh8o2jw92h, 8qvqdjw1d58mw7420lpmk7bah, cspjsye2x9pmnvdxjmghwnyi2, eyhvr45vc1n690dxobcthmndh, agd2nhvdhp18dg1weape5olpl, 7h0b81yjiiu356rycsakgd0yc, 6gy8t82tqi12q2odz974xcbh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382641,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-11-06T13:01:56.797Z,2022-11-06T13:02:01Z,3898895401,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382633,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-11-06T13:01:56.797Z,2022-11-07T03:51:00Z,3898895371,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382713,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,49.9,49.6,2022-11-06T13:01:56.807Z,2022-11-07T06:07:43Z,3898895755,140,40.2,3901761777,178,,3898895759,212,12.0,3898895753,56,Back,3898895757,141,40.3,3898895763,279,S,3898895761,213,3.7,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382731,4,1,1,0,4,c8llrezkm3b3op4afrou6b487,1,40.2,40.3,2022-11-06T13:02:01.173Z,2022-11-07T06:07:55Z,3898895853,155,,3898895861,212,42.2,3898895857,140,69.0,3901761947,178,,3898895863,213,0.8,3898895855,56,Left,3898895865,1,,3898895859,141,83.6,91te5xuankrla4g3s7as3htxx,K. Bare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382757,5,1,1,0,7,c8llrezkm3b3op4afrou6b487,1,69,83.6,2022-11-06T13:02:04.724Z,2022-11-07T06:08:07Z,3898895963,141,95.6,3898895961,140,73.4,3898895967,213,1.1,3898895959,56,Left,3898895965,212,9.4,3901762087,178,,,,,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382773,6,1,1,0,8,c8llrezkm3b3op4afrou6b487,1,73.4,95.6,2022-11-06T13:02:05.349Z,2022-11-07T06:08:18Z,3901762189,178,,3898896069,141,91.4,3898896065,56,Left,3898896071,212,10.5,3898896073,213,3.4,3898896067,140,63.8,,,,,,,92pz9nafg5h4qeqpiw3011ihh,M. Braithwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382821,7,1,1,0,11,c8llrezkm3b3op4afrou6b487,1,62.8,93.2,2022-11-06T13:02:08.110Z,2022-11-07T06:08:32Z,3898896335,212,14.5,3898896327,155,,3898896333,141,95.1,3898896331,140,76.6,3901762369,178,,3898896337,213,0.1,3898896329,56,Left,,,,3nchjse4ej0qhilo395td7u1h,Brian Oliván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482382827,8,50,1,0,12,c8llrezkm3b3op4afrou6b487,1,73.8,89,2022-11-06T13:02:09.456Z,2022-11-07T06:08:46Z,3898896367,286,,3898896419,233,3,3898896365,56,Left,,,,,,,,,,,,,,,,92pz9nafg5h4qeqpiw3011ihh,M. Braithwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
