id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,keyPass,qualifier/12/value,qualifier/16/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2465884155,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-10-01T17:46:39.409Z,2022-10-01T19:00:34Z,3811431869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811773387,197,16016,3811431855,30,"2e55g4q93y382cg7h0yk5rtud, bzgh5psb1janz9y3btpswngbu, 4o6f3mnd39fx700o3jvj0wct1, calrbl0kagr6zgnw2l8k626s5, 9mfk2ditwuoto5dfthng9j2t, 1av9mmv19jwvc4xdr0p9owyxh, 4ct72ovumvt09au6gpulwpjv9, eb3ci3a120om80v80mobsus8a, afxjicw89683nlpms9yy5x51x, ckaqxlw257qzj8vjdumvwbaad, 308krssmz6irpfntht1ka78tm, 4ftlhtels58lyzfluwofzwxuy, 2szgrzcosfeifh664tgt3mfvt, 9i7lb16qty1t21bnc5h7skclx, 4q6kuikopbgls8y2rwqiu415h, 2wl6h1rlrfnn2mr65vuo3t815, 4ggz7e009bq3yltc9o6mifbah, 4mxx1oxkiexm0ha34utcmb17t, 3hht0os2uzu234yq550i3fbe2, 5kodjbsarkql4vhs126p2vhwq, 4ffmlhvbjvfjjnhr0byktvt62",3811431867,130,4,3811431871,194,calrbl0kagr6zgnw2l8k626s5,3811431859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3811431863,59,"1, 28, 18, 5, 3, 15, 19, 30, 9, 7, 10, 8, 11, 17, 20, 22, 24, 26, 29, 32, 36",3811431873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465886155,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-10-01T17:48:50.465Z,2022-10-01T19:15:45Z,3811442659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811442655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811774633,197,348,3811442657,194,9dewnn65ylruq567thg7ebqhh,3811442651,59,"1, 15, 18, 6, 21, 24, 10, 4, 7, 12, 19, 2, 3, 5, 8, 9, 11, 14, 16, 20, 22, 23, 31",3811442653,130,11,3811442647,30,"6ekdnbnk56xlxforb5owt3dn9, 22dchchxwrsty67ultrs61qz9, 9ej7t1srxjcxe5p627eumn6d, 3n66mcws9belxbv3pu5uwhfu2, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 2td3iejdken4orcduqrdutrhm, 7ubtan6a51o79w469zawrqqqd, 3pwr7lqvo4o08c4nvzqpuue39, baax58gbtxlbuj3duulpms4q1, 8b3igmuipfhfzm39ack89de96, dtuwn06lnvxugaj637i553r2t, esk1w6ycz34w1r3te22shohrd, cjtqtr93yjd3ee7tslzi1bd9l, 3h58t56r9if0oh4qd3gz1wfrp, 2wdjbfzaiokiawrbn5wzsx61h, 6v5jjz9ryqacsd8vovugvlsyd, 9e7b5cm66oxf26fmp33yuppsl, 4uuvyzac4sd4ysjpv9eng1d5h, 9n447dc5s8na89g3ovx9zvbv9, ec26i7ddimq76bit2zz8fbsnp, 3j66drshfcoje5wb7gjybi9qt, 5qh2kdatvb03o8oiqvkaaxje2",3811442649,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946671,2,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-10-01T19:00:08.845Z,2022-10-02T04:31:58Z,3811779051,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946691,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-10-01T19:00:08.845Z,2022-10-01T19:00:12Z,3811779143,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946739,3,1,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,49.9,50,2022-10-01T19:00:08.895Z,2022-10-02T04:54:54Z,3813371325,178,,3811779369,279,S,3811779365,212,13.2,3811779363,141,55.5,3811779367,213,2.9,3811779359,56,Back,3811779361,140,37.8,,,,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946749,4,1,1,0,2,50x1m4u58lffhq6v6ga1hbxmy,1,37.8,56.7,2022-10-01T19:00:10.947Z,2022-10-02T04:54:58Z,3813371449,178,,3811779411,56,Back,3811779417,212,22.1,3811779413,140,29.8,3811779415,141,86.8,3811779419,213,2.0,,,,,,,7ubtan6a51o79w469zawrqqqd,Ruíz de Galarreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946773,5,1,1,0,5,50x1m4u58lffhq6v6ga1hbxmy,0,29.7,89.6,2022-10-01T19:00:13.904Z,2022-10-02T04:55:49Z,3811779615,1,,3811779607,140,81.6,3813372509,178,,3811779603,155,,3811779605,56,Center,3811779611,212,55.5,3811779609,141,74.1,3811779613,213,6.1,3n66mcws9belxbv3pu5uwhfu2,Copete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946787,3,44,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,19.4,25.4,2022-10-01T19:00:16.902Z,2022-10-02T09:39:38Z,3811779685,233,6,3811779665,56,Back,3811779667,285,,,,,,,,,,,,,,,,,9mfk2ditwuoto5dfthng9j2t,Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946783,6,44,1,0,8,50x1m4u58lffhq6v6ga1hbxmy,0,80.6,74.6,2022-10-01T19:00:16.903Z,2022-10-02T04:56:02Z,3811779727,233,3,3811779643,56,Center,3811779645,286,,,,,,,,,,,,,,,,,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946793,4,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,20.2,25,2022-10-01T19:00:17Z,2022-10-02T09:39:38Z,3811779705,56,Back,3813373083,388,,3811779711,212,7.9,3811779709,141,30.4,3811779713,213,0.5,3811779707,140,26.9,3811779703,3,,,,,9mfk2ditwuoto5dfthng9j2t,Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
