id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2521722959,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-03-18T16:24:14.517Z,2023-03-18T17:39:40Z,4106238175,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106238173,30,"bglk6tokkpgjltpzljp1p345x, 8rm2kkceowwtj3p0k6g7id0mi, 6810qbng9pfg1bztczv11grmd, 7xmaybxu4zd5k338bi3drkxcl, cbhdq57m8kxdeqjf42z0i3rop, eyhvr45vc1n690dxobcthmndh, 4ypoy27moehhbiaf3o1bntht6, adi6l78sdvet408eho4fi4xk9, d67qj0sakwrfzbscleo4dbget, 28psc296gj3umo59qqha8jil1, 92pz9nafg5h4qeqpiw3011ihh, 5f8kjgsaabn2li5r7bvpebbsa, 2rqxh5mex336ci45jaw428y5l, e5qp6dh1prc55llew51zpy1gp, 32fnehcyqzc55h6auev06odwq, bjzhwuehd7jzlbh04129h2w9h, 30jru4rizkqobfinh8o2jw92h, 8qvqdjw1d58mw7420lpmk7bah, cspjsye2x9pmnvdxjmghwnyi2, 6msjsxuolz1yhmongz6swkno5, agd2nhvdhp18dg1weape5olpl",4106238185,194,7xmaybxu4zd5k338bi3drkxcl,4106238179,130,8,4106238177,59,"13, 2, 4, 10, 23, 24, 27, 12, 9, 6, 17, 1, 5, 7, 15, 16, 19, 20, 21, 22, 25",4106674107,197,16591,4106238187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106238181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521732409,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-03-18T16:29:11.014Z,2023-03-18T17:31:46Z,4106288477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106288463,59,"13, 2, 17, 24, 15, 4, 7, 8, 22, 10, 23, 9, 11, 14, 18, 19, 20, 21, 25, 26, 31, 36, 37",4106288457,30,"59ndqnsvggsoek170rdqyd1w5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, 37b6tzaexinmfadvi4you5wmi, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, at2bp41y9n3nd1phr2e3wrcnp, cs2yx3hiqjsb4i5ul2r5kmdat, 1lym8zscp7l8icay2cya7cauh, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, 9g4devlvymukexrvfgkipd6tx, 2ge9oa66xgsefhhpvuboua76x, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, adwkydlkclg8u72rxh51lvkyd, 5c46t1feyeb4vdqz1cifb4yd, 3sy16pz110zmyq073ao24l1ck, bmcz7nkdpxopn3g89dekqa8a2, bv6u6k40izwaoyzyahynyfqax, c60m17adgxbewkrzizwtzd91w",4106288473,194,7k2alak95p1u2ysftwwiaqsid,4106674447,197,17362,4106288469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106288467,130,2,4106288459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805551,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-03-18T17:31:37.505Z,2023-03-19T01:42:31Z,4106682269,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805569,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-03-18T17:31:37.505Z,2023-03-18T17:31:38Z,4106682337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805629,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,49.9,49.5,2023-03-18T17:31:37.566Z,2023-03-19T01:49:46Z,4108372689,178,,4106682679,213,3.0,4106682677,212,10.9,4106682671,56,Back,4106682681,279,S,4106682675,141,52.2,4106682673,140,39.7,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805659,4,1,1,0,2,c8llrezkm3b3op4afrou6b487,1,34.2,45.8,2023-03-18T17:31:39.653Z,2023-03-19T01:49:50Z,4106682865,140,33.2,4106682863,56,Back,4106682871,213,4.7,4106682867,141,19.1,4108372893,178,,4106682869,212,18.2,,,,,,,28psc296gj3umo59qqha8jil1,Denis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805669,5,1,1,0,5,c8llrezkm3b3op4afrou6b487,1,32.8,16.7,2023-03-18T17:31:43.199Z,2023-03-19T01:49:54Z,4106682951,141,58.8,4106682949,140,27.5,4106682955,213,1.8,4106682953,212,29.2,4108373057,178,,4106682947,56,Back,,,,,,,8rm2kkceowwtj3p0k6g7id0mi,Óscar Gil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805685,6,1,1,0,8,c8llrezkm3b3op4afrou6b487,1,27,60.6,2023-03-18T17:31:45.988Z,2023-03-19T01:49:58Z,4106683049,212,20.1,4106683047,141,88.1,4108373285,178,,4106683051,213,1.2,4106683043,56,Back,4106683045,140,34.1,,,,,,,eyhvr45vc1n690dxobcthmndh,Sergi Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805701,7,1,1,0,10,c8llrezkm3b3op4afrou6b487,1,33.9,88.1,2023-03-18T17:31:47.744Z,2023-03-19T01:50:02Z,4108373429,178,,4106683115,56,Back,4106683121,212,15.9,4106683119,141,66.7,4106683117,140,27.9,4106683123,213,4.3,,,,,,,6810qbng9pfg1bztczv11grmd,L. Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805725,8,1,1,0,12,c8llrezkm3b3op4afrou6b487,1,27.7,64.6,2023-03-18T17:31:50.335Z,2023-03-19T01:50:05Z,4106683263,141,20.3,4106683259,140,29.3,4106683267,212,30.2,4106683269,213,4.8,4108373585,178,,4106683257,56,Back,,,,,,,eyhvr45vc1n690dxobcthmndh,Sergi Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805843,9,1,1,0,15,c8llrezkm3b3op4afrou6b487,1,29.3,20.9,2023-03-18T17:31:52.548Z,2023-03-19T01:50:10Z,4106683813,56,Back,4106683815,140,18.7,4106683821,213,2.1,4108373775,178,,4106683817,141,48.5,4106683819,212,21.8,,,,,,,cbhdq57m8kxdeqjf42z0i3rop,C. Montes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805889,10,1,1,0,22,c8llrezkm3b3op4afrou6b487,1,31.5,50.9,2023-03-18T17:32:00.318Z,2023-03-19T01:50:15Z,4106684111,140,32.3,4106684117,213,4.7,4106684109,56,Back,4108374115,178,,4106684115,212,28.4,4106684113,141,9.2,,,,,,,eyhvr45vc1n690dxobcthmndh,Sergi Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
