id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2511868083,12,1,1,0,37,50x1m4u58lffhq6v6ga1hbxmy,1,35.8,34.8,2023-02-25T13:01:42.783Z,2023-02-25T21:01:34Z,4054123003,56,Back,4056958133,178,,4054123007,141,53.1,4054123001,3,,4054123009,212,13.0,4054123011,213,1.9,4054123005,140,32.3,,,,7ubtan6a51o79w469zawrqqqd,Ruíz de Galarreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868093,13,1,1,0,39,50x1m4u58lffhq6v6ga1hbxmy,1,32.1,61.1,2023-02-25T13:01:45.238Z,2023-02-25T21:01:51Z,4056958809,178,,4054123059,141,79.3,4054123057,140,34.2,4054123061,212,12.6,4054123055,56,Back,4054123063,213,1.4,,,,,,,dtuwn06lnvxugaj637i553r2t,M. Nastasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868119,14,1,1,0,41,50x1m4u58lffhq6v6ga1hbxmy,1,34.2,79.3,2023-02-25T13:01:46.902Z,2023-02-25T21:02:01Z,4054123211,56,Back,4056959121,178,,4054123219,213,4.3,4054123217,212,9.8,4054123213,140,30.1,4054123215,141,66.4,,,,,,,9ej7t1srxjcxe5p627eumn6d,Jaume Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868151,15,1,1,0,43,50x1m4u58lffhq6v6ga1hbxmy,1,29.8,66.4,2023-02-25T13:01:49.155Z,2023-02-25T21:02:06Z,4054123405,56,Back,4054123411,212,14.7,4056959313,178,,4054123415,213,4.1,4054123409,141,49.3,4054123407,140,21.2,,,,,,,dtuwn06lnvxugaj637i553r2t,M. Nastasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868183,16,1,1,0,46,50x1m4u58lffhq6v6ga1hbxmy,1,21.2,49.3,2023-02-25T13:01:51.748Z,2023-02-25T21:02:11Z,4056959625,178,,4054123577,140,20.8,4054123579,141,24.3,4054123581,212,17.0,4054123575,56,Back,4054123583,213,4.7,,,,,,,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868189,17,1,1,0,49,50x1m4u58lffhq6v6ga1hbxmy,1,20.9,25.2,2023-02-25T13:01:54.429Z,2023-02-25T21:02:18Z,4054123605,212,9.5,4056959949,178,,4054123607,213,1.0,4054123601,140,25.6,4054123599,56,Back,4054123603,141,37.1,,,,,,,9t88fceutc2x108ga0qkzkafp,M. Valjent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868199,18,1,1,0,50,50x1m4u58lffhq6v6ga1hbxmy,1,25.6,37.1,2023-02-25T13:01:55.573Z,2023-02-25T21:02:23Z,4054123685,56,Back,4054123691,212,12.4,4054123687,140,19.9,4054123689,141,21.2,4056960119,178,,4054123693,213,4.2,,,,,,,7ubtan6a51o79w469zawrqqqd,Ruíz de Galarreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868255,19,1,1,0,52,50x1m4u58lffhq6v6ga1hbxmy,1,21.5,22.8,2023-02-25T13:01:58.046Z,2023-02-25T21:02:28Z,4054123955,213,1.7,4056960401,178,,4054123947,56,Back,4054123949,140,20.1,4054123953,212,11.4,4054123951,141,39.4,,,,,,,9t88fceutc2x108ga0qkzkafp,M. Valjent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868301,20,1,1,0,56,50x1m4u58lffhq6v6ga1hbxmy,1,22.4,62.6,2023-02-25T13:02:02.246Z,2023-02-25T21:02:34Z,4054124153,213,1.9,4054124145,56,Back,4054124151,212,15.3,4054124147,140,17.8,4056960805,178,,4054124149,141,83.9,,,,,,,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868361,21,1,1,0,59,50x1m4u58lffhq6v6ga1hbxmy,1,17.5,83.9,2023-02-25T13:02:05.214Z,2023-02-25T21:02:39Z,4054124463,213,4.2,4054124461,212,29.2,4056961069,178,,4054124451,56,Back,4054124457,141,47.3,4054124453,140,2.9,,,,,,,dtuwn06lnvxugaj637i553r2t,M. Nastasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
