id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2460594179,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-09-16T17:49:17.370Z,2022-09-16T18:57:44Z,3783429695,194,b6rbjpzuq9vo9kdil1tlyl2ad,3783429689,59,"25, 27, 12, 17, 24, 5, 8, 4, 9, 11, 10, 1, 3, 6, 7, 14, 15, 16, 18, 19, 20, 21, 23",3783429693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783429697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783429687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783736357,197,273,3783429685,30,"5vyiq10fusxvrx4tajz9lmg9h, dka9aakcyyvh98m2uhkvs6qz8, 7v5zw48zp3pxd39q1i2qmul79, b6rbjpzuq9vo9kdil1tlyl2ad, 3fatiz92fyc3cn91ca11i0iqd, 9f83clp1v95kvlxdb376tgbth, 234yd91ki5snm5wipuxzogkp, 66t7zm54jgmcjtiizl9g0rkkp, cj24ptt1lvwh7hakewqydobf9, 2z183ceh099zdd3wq5fvs1aay, 2z101tpx36mno6neclyrym8yd, 74gwlzg12wr9pkwmdh9xpa505, 8vdhfk7vik10ia4uv8zh1lbyt, 1whtyw1adggpz4j1xp7sjbeg9, 25txz41mi9auu289jliapd6tx, bqckicfyy7s8vqugcwwvwp5n9, 81egd7oua1lfq2j8lke5z0ueh, 1jffh172t15s6ws7nou0fc251, 3zyib6lm9w7bi6lbek5m0dbrp, 1jz6a0l9q2v38adtntoe30t1, 458bvyiuixqgsysikrpoirxlh, 46gpq48n4d5bntwa8v2t78hcl, 6sj650wwmo08r10xzz2l9xkut",3783429691,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460594905,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-09-16T17:50:59.054Z,2022-09-16T19:08:26Z,3783433433,30,"el98wqtf7w1ap9ei2bxqwtx3p, 91lln39q4rzbp8z000p0evn4l, 2qauzcv74cd8uqfv2ibl52ymt, 7s0xu9z5egw0sjf8qibdwa6s5, 6pfbtlfphouu35kbwjiavwgyd, 8nbnru9t2qxaotxw0hiaocdt5, cn3ocv5r0d0un0no4wlxl5y39, aabvyjqpd63os1yzthx8ej6c5, a8ws0c0qiekoeqib6xxet0ixh, wwdfv8zkkgplnpbz12pv8frp, 92b22xcwri3rokbvu09htjhwq, 87d9nk7nzy4blezcur66rz1ed, 9c2cfavuofg0yz3307nkgi0ut, 4ktnru3pqurww9h9af7n2959l, 2rn90c44nbr991vxlj2nmwxqt, bpvxqbiu11k4ivohi3798kxxx, cfm1cx3wneiqljgyv0tthp0ph, 8wh06x3xb8duroz673s3c43x1, 9rm0qaumcii8d9zqxkh9nq4lx, 3r9gdse50kyeq9ya1o3ul0e6t, 6ub3gmmh58vvk9yk3f0osmp5h, d2z22er0uqxu3w3h3ta36wh61, 4zve4017u2i3zvxlnjruv25t5",3783734169,197,1511,3783433435,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783433437,59,"1, 20, 22, 8, 23, 32, 11, 24, 15, 7, 14, 2, 4, 5, 6, 10, 13, 16, 17, 18, 19, 21, 36",3783433441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783433443,194,7s0xu9z5egw0sjf8qibdwa6s5,3783433445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783433439,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650879,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-09-16T19:00:55.502Z,2022-09-16T19:00:57Z,3783744591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650865,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-09-16T19:00:55.502Z,2022-09-17T09:44:54Z,3783744499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650893,3,1,1,0,0,4jelr92fsge73q39is6qvhxb3,1,49.9,50,2022-09-16T19:00:55.554Z,2022-09-17T12:50:56Z,3783744713,141,52.8,3783744715,212,7.0,3783744717,213,2.9,3783744709,56,Back,3783744719,279,S,3783744711,140,43.5,3784839655,178,,,,,cj24ptt1lvwh7hakewqydobf9,S. Weissman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650923,4,1,1,0,2,4jelr92fsge73q39is6qvhxb3,1,43.7,53.1,2022-09-16T19:00:57.559Z,2022-09-17T10:16:05Z,3784840481,178,,3783744861,140,56.1,3783744863,141,70.5,3783744865,212,17.6,3783744867,213,0.7,3783744859,56,Center,,,,,,,b6rbjpzuq9vo9kdil1tlyl2ad,Roque Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650941,5,1,1,0,4,4jelr92fsge73q39is6qvhxb3,1,56.1,70.5,2022-09-16T19:00:59.842Z,2022-09-17T10:16:11Z,3783744959,213,0.6,3783744951,56,Left,3783744955,141,96.6,3783744953,140,81.5,3783745427,155,,3783744961,1,,3783744957,212,32.0,3784842245,178,,2z101tpx36mno6neclyrym8yd,Óscar Plano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650953,6,1,1,0,6,4jelr92fsge73q39is6qvhxb3,0,86.8,98.3,2022-09-16T19:01:02.293Z,2022-09-17T10:16:21Z,3783745017,212,31.6,3783745013,140,95.2,3784599383,386,,3783745015,141,53.6,3784599385,72,,3784842821,178,,3783745019,213,5.0,3784599381,225,,7v5zw48zp3pxd39q1i2qmul79,L. Olaza,3783745011,56,Center,3783745007,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650957,3,52,1,0,9,82q9159y2u7mkfn3z6hy75r4o,1,4.3,43.8,2022-09-16T19:01:05.149Z,2022-09-17T10:16:26Z,3784599419,377,,3784843113,178,,,,,,,,,,,,,,,,,,,,el98wqtf7w1ap9ei2bxqwtx3p,J. Ledesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460651041,4,1,1,0,14,82q9159y2u7mkfn3z6hy75r4o,1,14.5,49,2022-09-16T19:01:10.458Z,2022-09-17T10:16:36Z,3783745505,56,Back,3783745503,123,,3783745511,212,23.2,3783745507,140,17.3,3783745513,213,1.4,3783745509,141,82.9,3784843635,178,,,,,el98wqtf7w1ap9ei2bxqwtx3p,J. Ledesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
