id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/17/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2461911607,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2022-09-18T13:04:57.577Z,2022-09-18T14:10:58Z,3790357327,130,8,3790357331,194,2mg2n8e1d83gbeykfwzz0fumt,3790357325,59,"13, 30, 19, 20, 6, 29, 16, 8, 12, 22, 21, 1, 2, 3, 4, 5, 7, 10, 11, 14, 15, 24, 31",3790357323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790357321,30,"c9cp6fxbxyc2a3kfotkompxx, 6jq376l673aizjxxhhos2j52i, djal5dsafpnhip4lu0ait94np, 65osnocfqxv6mmpb69hm446ad, 6vvwhgic29fekmmj2cg62ytp1, 9nwkxgbl8t933pzu60ye4xxxw, 2mg2n8e1d83gbeykfwzz0fumt, 8ycvfctf7c3yljnbtltsogkph, 4sojot9t32l4a6fm3e39xkcfd, 45s1v9805id09m5zkcylueod1, 8n4f10q0l2wjhhfdkpp8kfzdh, bahph7009sc73jl6s2bramn6d, 1y74tse0vpdxanxf152cc8jjd, asweknp9d99safr6p9va75h3p, b25dws1pbgbxuwt09of8xpe51, bpprd2haoafk6y0rjans4iytx, 5c4ku1hmhy6l9dq8a5jp1qf9x, depu0zp8jqcyv0jzf5r9yums5, 7atmb373dynu9s9gnl613ox5h, 2lwjtphx3bkjty9sds520l1ey, 4bbqmasyopxoymo4umcxd4e09, 8tlfkcnlf3dq1katqazub1i39, 944mc5icxdleh4kvaamvpa9zo",3790357329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790357333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790742291,197,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461915205,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-09-18T13:07:40.053Z,2022-09-18T14:15:34Z,3790376261,130,2,3790757665,197,284,3790376255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790376267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790376253,30,"1lgrnaje6y7un5dzzll84p91, 6wpnjdlg2p8f19y3gjpz1su6t, eh70fwampgdyfv3hu25o2qx, 5mx86rwy0u4xi1b5kqin4lhx, e615cmv1tfzu84f0z8mwi5711, 57s7gfvt5btbfzm600wn7df55, 3bm08rp9rgzh6cjhk0picxs6h, c29mprqv2ulztd22b6uckczx1, amcwh6w0brmkttg4uc5qm6z9w, dhtb9gizk25k1u3h0b7xgy4tl, a7bs2dkwmy1cjryql6z3n9kut, aza9jho12wrfa3oczxoj670mh, 4rktv6j9sioe0gmu7jt77fsh5, dfjph36vcwfj5cevut4x3vf11, 5zoz3mjooujpv0wdcphyrztd6, 12qc3dkodeb8ykg6pc0kqf2l1, 4eezya3lwcwur6c8s6rl0rzvu, 9y7202khwzb48ea7im646m11x, 7c2qwyzh82a45s25zmdahrd91, 32uxh37qc6ebx1z4h8qvuvdnt, eiqcjlj9kmitoj8g50vaglawa",3790376257,59,"13, 2, 24, 6, 3, 4, 11, 10, 15, 17, 19, 5, 9, 12, 16, 20, 21, 22, 23, 31, 35",3790376265,194,e615cmv1tfzu84f0z8mwi5711,3790376263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990363,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2022-09-18T14:15:13.968Z,2022-09-18T14:15:14Z,3790774217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990385,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-09-18T14:15:13.968Z,2022-09-18T21:59:02Z,3790774285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990471,3,1,1,0,0,10eyb18v5puw4ez03ocaug09m,1,50,50,2022-09-18T14:15:14.148Z,2022-09-19T04:41:26Z,3790774785,279,S,3793203515,178,,3790774777,141,57.3,3790774773,56,Back,3790774775,140,36.3,3790774779,212,15.2,3790774781,213,2.8,,,,4sojot9t32l4a6fm3e39xkcfd,Rafa Mir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990527,4,1,1,0,1,10eyb18v5puw4ez03ocaug09m,1,36.3,57.3,2022-09-18T14:15:15.907Z,2022-09-19T04:41:27Z,3790775099,213,1.3,3790775091,56,Back,3793203521,178,,3790775095,141,81.6,3790775093,140,40.6,3790775097,212,17.1,,,,,,,65osnocfqxv6mmpb69hm446ad,Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990609,5,1,1,0,5,10eyb18v5puw4ez03ocaug09m,1,40.6,81.6,2022-09-18T14:15:19.419Z,2022-09-19T04:41:27Z,3790775499,213,4.5,3793203527,178,,3790775491,56,Back,3790775495,141,64.7,3790775493,140,38.4,3790775497,212,11.7,,,,,,,8n4f10q0l2wjhhfdkpp8kfzdh,Óliver Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990645,6,1,1,0,7,10eyb18v5puw4ez03ocaug09m,1,38.3,63.5,2022-09-18T14:15:21.283Z,2022-09-19T04:41:28Z,3790775667,140,29.9,3793203541,178,,3790775665,56,Back,3790775677,213,4.3,3790775669,141,31.1,3790775671,212,23.7,,,,,,,45s1v9805id09m5zkcylueod1,Isco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990707,7,1,1,0,10,10eyb18v5puw4ez03ocaug09m,1,29.9,31.1,2022-09-18T14:15:24.775Z,2022-09-19T04:41:28Z,3790776037,213,5.2,3790776035,212,10.0,3790776029,56,Back,3793203551,178,,3790776033,141,17.9,3790776031,140,34.1,,,,,,,6vvwhgic29fekmmj2cg62ytp1,N. Gudelj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990767,8,1,1,0,12,10eyb18v5puw4ez03ocaug09m,1,31.4,14.6,2022-09-18T14:15:26.365Z,2022-09-19T04:41:28Z,3790776341,212,15.4,3790776337,140,26.1,3793203563,178,,3790776335,56,Back,3790776343,213,1.9,3790776339,141,35.7,,,,,,,6jq376l673aizjxxhhos2j52i,José Ángel Carmona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990905,9,1,1,0,15,10eyb18v5puw4ez03ocaug09m,1,24.3,38.4,2022-09-18T14:15:29.756Z,2022-09-19T04:41:29Z,3790777047,141,49.2,3790777043,56,Back,3790777045,140,12.8,3790777051,213,2.6,3793203569,178,,3790777049,212,14.1,,,,,,,6vvwhgic29fekmmj2cg62ytp1,N. Gudelj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461990937,10,1,1,0,19,10eyb18v5puw4ez03ocaug09m,1,12.1,45.9,2022-09-18T14:15:33.387Z,2022-09-19T04:41:29Z,3790777197,213,4.8,3793203575,178,,3790777195,212,14.4,3790777193,141,24.8,3790777189,56,Back,3790777191,140,13.6,,,,,,,c9cp6fxbxyc2a3kfotkompxx,Y. Bounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
