id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/16/value
2531190405,9,1,1,0,11,cobffe32r7g4skka9m19qib63,1,33.7,16.5,2023-04-09T16:30:31.309Z,2023-04-10T06:17:11Z,4177230579,56,Back,4177230587,213,5.8,4178941651,178,,4177230585,212,14.4,4177230581,140,46.0,4177230583,141,7.0,,,,,,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190413,10,1,1,0,13,cobffe32r7g4skka9m19qib63,0,52.2,5.3,2023-04-09T16:30:33.500Z,2023-04-10T06:17:17Z,4177230635,140,74.8,4177230637,141,0.0,4177230639,212,24.2,4177230641,213,6.1,4177230633,56,Right,4178941721,178,,,,,,,,3flv9yp9x61ph57xugztva9nu,Arnau Puigmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190501,3,5,1,0,15,ba5e91hjacvma2sjvixn00pjo,1,30.2,101.6,2023-04-09T16:30:35.024Z,2023-04-10T06:17:20Z,4177231081,347,,4177231079,56,Back,4177231083,233,11,,,,,,,,,,,,,,,,5qgc6zjc38a5xjl35gs7h3vu1,J. Kluivert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190417,11,5,1,0,15,cobffe32r7g4skka9m19qib63,0,69.8,-1.6,2023-04-09T16:30:35.024Z,2023-04-10T06:17:20Z,4177230663,347,,4177231095,233,3,4177230661,56,Right,,,,,,,,,,,,,,,,3flv9yp9x61ph57xugztva9nu,Arnau Puigmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190505,4,1,1,0,25,ba5e91hjacvma2sjvixn00pjo,1,34.6,100,2023-04-09T16:30:45.215Z,2023-04-10T06:17:30Z,4177242475,189,,4177231115,213,5.1,4177231111,141,83.3,4177231109,140,38.7,4177231113,212,12.8,4177231107,56,Back,4177231105,107,,,,,5b1q9bpe23j98eoy4fwi7ld5h,José Gayà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190523,5,1,1,0,27,ba5e91hjacvma2sjvixn00pjo,1,36.9,84.1,2023-04-09T16:30:46.759Z,2023-04-10T06:17:27Z,4177231209,141,52.8,4177231213,213,4.3,4177231207,140,28.5,4177231205,56,Back,4178941909,178,,4177231211,212,23.0,,,,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190537,6,1,1,0,30,ba5e91hjacvma2sjvixn00pjo,1,31.5,40.4,2023-04-09T16:30:50.048Z,2023-04-10T06:17:35Z,4178942081,178,,4177231279,56,Back,4177231287,213,5.3,4177231285,212,24.5,4177231283,141,9.8,4177231281,140,43.8,,,,,,,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190599,7,1,1,0,34,ba5e91hjacvma2sjvixn00pjo,1,53.9,6.4,2023-04-09T16:30:54.110Z,2023-04-10T06:17:41Z,4177231609,212,24.1,4177231605,140,76.8,4177231607,141,4.1,4178942203,178,,4177231603,56,Right,4177231611,213,6.2,,,,,,,wlqj34ev5mucxtfx6j4tr9at,D. Foulquier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190613,8,1,1,0,44,ba5e91hjacvma2sjvixn00pjo,1,84.9,27.3,2023-04-09T16:31:04.037Z,2023-04-10T06:17:55Z,4178942393,178,,4177231665,141,17.9,4177231667,212,14.2,4177231661,56,Right,4177231669,213,5.8,4177231663,140,97.0,,,,,,,9z3aqwq5swt9qklwnzuhqcogl,Samu Castillejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190621,9,1,1,0,45,ba5e91hjacvma2sjvixn00pjo,0,94.6,19.2,2023-04-09T16:31:05.626Z,2023-04-10T06:18:16Z,4177231715,140,93.1,4177231717,141,37.3,4177800821,224,,4177231719,212,12.4,4177231713,56,Center,4177800823,20,,4178942773,178,,4177231721,213,1.7,5qgc6zjc38a5xjl35gs7h3vu1,J. Kluivert,4177385151,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
