id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,assist
2533941131,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-04-15T17:44:10.057Z,2023-04-15T18:57:52Z,4191924459,30,"cfm1cx3wneiqljgyv0tthp0ph, 2vvr0pc9xgoiq1pmxpjysyr8q, 2qauzcv74cd8uqfv2ibl52ymt, aabvyjqpd63os1yzthx8ej6c5, 6pfbtlfphouu35kbwjiavwgyd, 9wozklkj2p3a83j51p27a59ed, bpvxqbiu11k4ivohi3798kxxx, 9c2cfavuofg0yz3307nkgi0ut, 2gaojeqbhh6oj3ao7b3nxxx0q, 1jffh172t15s6ws7nou0fc251, wwdfv8zkkgplnpbz12pv8frp, 4ktnru3pqurww9h9af7n2959l, 2rn90c44nbr991vxlj2nmwxqt, 7s0xu9z5egw0sjf8qibdwa6s5, 3ia1z3fooszynz9a81dn17oid, cn3ocv5r0d0un0no4wlxl5y39, aziqdd6dqjjgr6ifmzve0cz4l, 3r9gdse50kyeq9ya1o3ul0e6t, d2z22er0uqxu3w3h3ta36wh61, 54ojuo12zxzasi4a6vpmhxfbp, 8h6je56fe74djcd3va7iq6yhg, 8nbnru9t2qxaotxw0hiaocdt5",4191924465,130,2,4191924467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191924469,194,2qauzcv74cd8uqfv2ibl52ymt,4191924463,59,"13, 2, 22, 24, 23, 3, 10, 4, 16, 19, 7, 5, 6, 8, 9, 11, 15, 18, 21, 25, 26, 32",4191924461,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4191924471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192224439,197,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533943443,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-04-15T17:46:11.816Z,2023-04-15T18:57:03Z,4191936457,130,4,4191936459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191936455,59,"1, 17, 6, 18, 3, 22, 15, 19, 9, 11, 21, 2, 4, 5, 7, 10, 12, 13, 16, 24, 26",4191936453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4191936463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191936451,30,"6crmq7vzqts58wg196q48sc7p, bf2pf3hs8gcvub4ivlve12ymt, 7o4nc6jwsi3quvnwinstqwyj9, aipyotc87m5bdvmvizd5n69k9, 8wvkrrbqqthuwda8twg03yuax, 6fzbp94hf19ysotdassrqdc5x, 1i9wi65k2foqwudeqiyih87hl, i48mf81fxn2af1xxjzfi8gr9, c1mm3hdfcs78obhxmhailzidx, 127eg3g8ig8j7obxtyc2tl8t1, broq8imimhtlejtffissquy5m, 7oykphzczagr975xsqt70s89h, 6w5wyari2p4bh2zzy2x2f6hg5, eihwzqtt27l2l8iu990h68edx, 54h69199gtsavspwblux98dsl, diod1hv5hv7v7z7mfleev1txx, en2c7z1raqmcwee78297pbnu2, 38bp85766w04a0nuulq5fiig9, 5nluxvc0wi0u1d5zcy7be5rkl, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a",4192221451,197,239,4191936461,194,c1mm3hdfcs78obhxmhailzidx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998117,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-04-15T19:02:54.774Z,2023-04-16T02:48:42Z,4192241203,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998101,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-04-15T19:02:54.774Z,2023-04-15T19:02:54Z,4192241137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998179,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,50.1,50.3,2023-04-15T19:02:54.849Z,2023-04-16T04:09:23Z,4192241569,213,2.9,4192241567,212,24.9,4192241565,141,60.5,4192241563,140,27.3,4193876623,178,,4192241561,56,Back,4192241571,279,S,,,,c1mm3hdfcs78obhxmhailzidx,K. Benzema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998225,4,1,1,0,5,3kq9cckrnlogidldtdie2fkbl,1,35,60.6,2023-04-15T19:02:59.995Z,2023-04-16T04:09:39Z,4192241823,213,4.3,4192241819,141,43.9,4192241817,140,30.6,4192241815,56,Back,4193877177,178,,4192241821,212,12.3,,,,,,,6fzbp94hf19ysotdassrqdc5x,A. Rüdiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998247,5,1,1,0,7,3kq9cckrnlogidldtdie2fkbl,1,24.6,37.9,2023-04-15T19:03:02.583Z,2023-04-16T04:09:41Z,4193877209,178,,4192241961,141,14.2,4192241965,213,4.9,4192241959,140,26.8,4192241957,56,Back,4192241963,212,16.3,,,,,,,8wvkrrbqqthuwda8twg03yuax,Éder Militão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998283,6,1,1,0,9,3kq9cckrnlogidldtdie2fkbl,1,27.2,13.3,2023-04-15T19:03:04.737Z,2023-04-16T04:09:43Z,4192242171,140,18.2,4192242173,141,31.4,4192242175,212,15.5,4192242169,56,Back,4193877283,178,,4192242177,213,2.2,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,Lucas Vázquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998341,7,1,1,0,12,3kq9cckrnlogidldtdie2fkbl,1,19.6,35,2023-04-15T19:03:07.604Z,2023-04-16T04:09:45Z,4192242525,212,23.9,4192242527,213,1.5,4192242519,56,Back,4192242523,141,69.9,4193877359,178,,4192242521,140,22.2,,,,,,,8wvkrrbqqthuwda8twg03yuax,Éder Militão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533998391,8,1,1,0,18,3kq9cckrnlogidldtdie2fkbl,1,24.4,70.6,2023-04-15T19:03:13.476Z,2023-04-16T04:09:52Z,4192242825,213,5.2,4192242819,140,28.8,4192242817,56,Back,4192242823,212,9.2,4192242821,141,58.9,4193877635,178,,,,,,,,6fzbp94hf19ysotdassrqdc5x,A. Rüdiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
