id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value
2495885273,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-01-08T12:03:24.215Z,2023-01-08T13:26:14Z,3970069657,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970069663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970069669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970069665,194,1htx8ub2kxvq0vnzarbrynyt,3970069659,59,"13, 24, 15, 6, 19, 22, 5, 3, 9, 7, 16, 4, 8, 10, 11, 14, 17, 18, 20, 21, 23, 25",3970069661,130,4,3970069655,30,"c3secspt4xvu1q4g6aonn7zyt, 9bbu1yne0l9j862yodiuldw4p, azzdqp6lcd4g9d4jy55pz0549, 1htx8ub2kxvq0vnzarbrynyt, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 5rabxq8qyxf2q2ak506xim9rd, 6kpscy08tl4fkie4w4hl49n11, e6ok0deqkoe80184iu509gzu2, blvf8qsi6iy6ejyer58okyxka, d1d3v27d4r6vme6n2w5umaacp, 36lk52zhgyn11s1pax3y7wout, 8zlr9xkh9dkt1pbw3w91uazmd, 63yktdky9m0aus8ebkaqzdhhx, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 6mz6fzrfndfv7zpm38a6msmw9, 3flv9yp9x61ph57xugztva9nu, e53c7z5bdud6uycw32s3qgx9m, a5x0poaqzssg2yuou57qgyead, 1km9nvqz03yoj9cxpv127id7u, e3me5pr7zub5dbfqil1con59m",3970069667,197,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495886091,1,34,16,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-01-08T12:06:32.829Z,2023-01-08T13:03:50Z,3970074041,59,"1, 6, 15, 3, 5, 24, 8, 21, 14, 19, 4, 7, 10, 12, 13, 16, 17, 18, 20, 28, 32, 33, 42",3970074051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970074039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970074047,194,5vhikvmcesruckmfcfmm0q8d1,3970074045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970074049,197,1593,3970074043,130,21,3970074037,30,"w503zyr8ipyobglth281uklx, e35v2pspdgl7t769d57e67ob9, dkt9892ixwnz1bkmgileo71sl, 80aqmv4ht6rs1812qrr5j8kix, 48gjuou5eashpj8wbwd18iju1, 6xulax65kp4aid70nk7g5jr2t, atigcsq78g14w82lwvay26aj9, 13ll29mtf7pxwz1yf0i40tsd1, 1qkep5ck252k1g3oqza5ygh61, 6akzpi6rd6qq0ke07ojnhpoet, 5vhikvmcesruckmfcfmm0q8d1, 21vx56lpd276xqbu11ubkf78q, b45ryclny991bm7qosieyg1cl, bj929w5yi7lnz36jxsi5qnq7e, 1zjmgapwre4picauko9gnemll, cme92rbmqszu51sjm99ho8a21, 7aoe0u87gxgv9tvgrotcfue7e, b91n9sdabth8oocdawayybdud, 7bs0ph4yksf6lvkg91u9nqzqi, y83xbwzi3ean9mh7j0thzw4q, b2xlrg9xvucrut2fhmvsgjuqy, dqiuqhsqsayvldfazfnp8d46i, aka2yqxmqpioxc1qzkl62ejv8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899587,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-01-08T13:02:35.732Z,2023-01-08T19:31:49Z,3970143323,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899593,2,32,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-01-08T13:02:35.732Z,2023-01-08T13:02:37Z,3970143355,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899605,3,1,1,0,1,cobffe32r7g4skka9m19qib63,1,50,50,2023-01-08T13:02:37.263Z,2023-01-08T19:59:46Z,3971122555,178,,3970143439,212,5.8,3970143427,56,Back,3970143435,141,45.4,3970143431,140,45.3,3970143443,213,3.7,3970143445,279,S,,,,e6ok0deqkoe80184iu509gzu2,E. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899615,4,1,1,0,2,cobffe32r7g4skka9m19qib63,1,45,43.3,2023-01-08T13:02:38.217Z,2023-01-08T20:00:10Z,3971122709,178,,3970143509,213,4.7,3970143503,140,43.8,3970143505,141,9.7,3970143501,56,Back,3970143507,212,22.9,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899639,5,1,1,0,5,cobffe32r7g4skka9m19qib63,1,43.8,9.7,2023-01-08T13:02:40.890Z,2023-01-08T20:00:37Z,3971123235,178,,3970143631,213,3.2,3970143629,212,13.7,3970143623,56,Back,3970143625,140,30.8,3970143627,141,8.5,,,,,,,blvf8qsi6iy6ejyer58okyxka,L. Ramazani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899647,6,1,1,0,7,cobffe32r7g4skka9m19qib63,1,30.8,8.5,2023-01-08T13:02:42.983Z,2023-01-08T20:00:48Z,3970143663,141,35.4,3970143665,212,18.7,3970143659,56,Back,3970143661,140,27.1,3971123509,178,,3970143667,213,1.8,,,,,,,9bbu1yne0l9j862yodiuldw4p,H. Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899659,7,1,1,0,9,cobffe32r7g4skka9m19qib63,1,27.1,35.4,2023-01-08T13:02:45.261Z,2023-01-08T20:00:56Z,3970143745,141,75.7,3971123629,178,,3970143749,213,1.7,3970143743,140,24.5,3970143747,212,27.5,3970143741,56,Back,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495899685,8,1,1,0,11,cobffe32r7g4skka9m19qib63,1,24.3,75.3,2023-01-08T13:02:47.554Z,2023-01-08T20:01:05Z,3971123735,178,,3970143867,213,3.7,3970143861,140,4.9,3970143859,56,Back,3970143865,212,23.4,3970143863,141,58.5,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
