id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/18/value,qualifier/17/value,assist
2533142497,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-04-14T17:48:06.538Z,2023-04-14T18:47:04Z,4187722505,194,676ehh6cwla4o9igey7qr1uqd,4187722503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187722495,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 8onruhr4es313aq52xsl7nxlh, lp63o37czdwete0smmu62k89, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, b5rea5r4h8bclpenau2au142x, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 8oc3lpz3xttrnwxk1fnnv7owl, 4yzk41dkluqfxb8o3dbq06zqi, 9xwog4v0ij8m1vs7doi52li39, d7mgn0oexyymir3upflm8gfyt, amt4voyjzhnvr55t08hzlw50q, u04ao1ldrjjesgqq52o7ghqt, 1ho7koiegfhsuevuum2meibu2, 9zgqiq6ksmits5apgsfk2yyfp, c3rreq5bz6smx1ynf9zsune1h, diixuwl5rn7f8vjleqfqy4st1",4187722507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187722497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187722499,59,"1, 20, 3, 23, 16, 5, 7, 6, 34, 8, 18, 2, 4, 9, 12, 13, 14, 15, 17, 21, 22, 24, 25",4187722501,130,8,4187923981,197,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533143053,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-04-14T17:49:12.414Z,2023-04-14T19:04:16Z,4187725219,194,6dx2fxufm98xtdobuwppis34l,4187725211,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187963983,197,278,4187725221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187725213,59,"25, 2, 20, 7, 23, 5, 19, 22, 18, 11, 12, 1, 3, 4, 15, 16, 17, 33, 34, 35",4187725215,130,4,4187725209,30,"15no5m0njma23gf0ygu9agt05, akjusy9dt1qd2fjhttviek6ol, d34tmogp5h4rwuo3pcxtwp0fe, f4gpe0pxov8sea9e0fs24h8q2, 94jrxsnf1ta2u65ommyge7bo5, 6dx2fxufm98xtdobuwppis34l, eqw6fu3no9qxejk17tqgeey5m, bpf2fcb73l96fwspo72shmkiy, 4l2rgx65vzgrrxorbc1edq8yd, 2zcha0sd7axiu2s2c0bccz2s5, 96cbv23es0gucmd2v0qvk3iwa, amjegysk3et638l4od103c7o5, 8ij122duxc65thlj8flk2xdjp, 7ms6l8qho3p4jm1soleldqvv9, 1vupjbihmf0b4gzjskmrmptqt, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, 6nq6p1kfoejfmnzpckquv4tn8, 1wezo3pjdktc0iqaxze3uh2sq, ao3iplhzj0tiu5uhte7vq7m96",4187725217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533188867,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-04-14T19:00:17.793Z,2023-04-14T19:00:18Z,4187973601,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533188855,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-04-14T19:00:17.793Z,2023-04-15T09:28:05Z,4187973549,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533188911,3,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,50,50,2023-04-14T19:00:17.846Z,2023-04-15T09:36:03Z,4187973811,279,S,4187973807,213,3.7,4187973803,141,34.5,4187973805,212,19.4,4187973799,56,Back,4187973801,140,34.5,4189331481,178,,,,,1bdnkqbxm2u5ror7ipig5m73e,Sergio Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533188955,4,1,1,0,3,3budh3j9xivsid3ptm8ptpy4k,0,39.6,36.6,2023-04-14T19:00:21.292Z,2023-04-15T09:36:06Z,4187973987,155,,4189331553,178,,4187973991,140,78.7,4187973999,1,,4187973997,213,0.5,4187973993,141,66.0,4187973995,212,45.7,4187973989,56,Center,lp63o37czdwete0smmu62k89,A. Mumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533188993,3,1,1,0,6,2l0ldgiwsgb8d6y3z0sfgjzyj,0,23.6,37.9,2023-04-14T19:00:23.828Z,2023-04-15T09:36:13Z,4187974187,140,39.3,4187974183,3,,4187974185,56,Back,4187974191,212,18.8,4187974189,141,24.7,4187974193,213,5.8,4189331687,388,,,,,94jrxsnf1ta2u65ommyge7bo5,Aridane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189037,5,1,1,0,8,3budh3j9xivsid3ptm8ptpy4k,1,63.1,74.2,2023-04-14T19:00:26.519Z,2023-04-15T09:36:15Z,4189331755,388,,4187974417,140,69.1,4187974423,213,1.0,4187974413,3,,4187974415,56,Left,4187974421,212,11.9,4187974419,141,89.0,,,,b5rea5r4h8bclpenau2au142x,Santi Comesaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189087,6,1,1,0,11,3budh3j9xivsid3ptm8ptpy4k,1,58.5,93,2023-04-14T19:00:29.241Z,2023-04-15T09:36:22Z,4187974617,140,32.3,4187974615,56,Back,4187974623,213,3.3,4189331875,178,,4187974621,212,27.9,4187974619,141,86.2,,,,,,,8eh38t4oyyt728co362f6uqqd,Álvaro García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533189141,7,1,1,0,14,3budh3j9xivsid3ptm8ptpy4k,1,27,84.5,2023-04-14T19:00:31.935Z,2023-04-15T09:36:25Z,4189331941,178,,4187974853,213,3.9,4187974849,141,66.0,4187974851,212,18.3,4187974847,140,14.3,4187974845,56,Back,,,,,,,39c5g6782qlrtw55fsre7exnt,Fran García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
