id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/17/value
2451520461,1,34,16,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2022-08-27T14:22:54.977Z,2022-08-27T15:34:19Z,3735040235,194,atigcsq78g14w82lwvay26aj9,3735040209,30,"w503zyr8ipyobglth281uklx, b91n9sdabth8oocdawayybdud, bj929w5yi7lnz36jxsi5qnq7e, 80aqmv4ht6rs1812qrr5j8kix, 48gjuou5eashpj8wbwd18iju1, 6xulax65kp4aid70nk7g5jr2t, dvrk8qmt9ta4c3kvjgsad7t91, 13ll29mtf7pxwz1yf0i40tsd1, 5vznxxfbteooxk2dd2ws76xhw, 1qkep5ck252k1g3oqza5ygh61, atigcsq78g14w82lwvay26aj9, eucew4k6eswqr6emzsdg4if3d, 5vhikvmcesruckmfcfmm0q8d1, e35v2pspdgl7t769d57e67ob9, 21vx56lpd276xqbu11ubkf78q, 1zjmgapwre4picauko9gnemll, 7bs0ph4yksf6lvkg91u9nqzqi, y83xbwzi3ean9mh7j0thzw4q, 7aoe0u87gxgv9tvgrotcfue7e, 7y8ns61qioqu7kfsqzkvkwhuy, 6lnttemmflhxp700fr069ty0a, b2xlrg9xvucrut2fhmvsgjuqy, dqiuqhsqsayvldfazfnp8d46i",3735040221,130,3,3735040227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735040217,59,"1, 18, 12, 3, 5, 24, 23, 21, 11, 14, 8, 2, 4, 6, 7, 13, 20, 28, 29, 30, 31, 32, 33",3735648657,197,16475,3735040243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735040213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451523375,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-08-27T14:24:27.891Z,2022-08-27T15:29:36Z,3735056319,130,2,3735056313,30,"36bg0k385i4wwarffp6ak1syd, agmcwbzoertg4l8njpdai7kl, dfjph36vcwfj5cevut4x3vf11, bkvvapojagxvj17nzk3oy8ct1, 2zn2o5lzchz7oattq9pnjr8wl, 33r4ae8aivh27ho0ix9mnkedx, defkaykmw8lmts2gumfa1jyzt, f0a2qk3jzxercn67bben5eled, a971j313ztjvcgojpg6u390b9, aziqdd6dqjjgr6ifmzve0cz4l, 1i9mqbswolg91evnmsrf5katx, c0pl96o1zkrgvukte9zefl591, b69uny9udp3ab2zccwa0qnrh1, 1yxaa4n0120z5srk6ar1spxat, 8axw2xc0dl8vsdub6nq4nhjo5, 9ivrglgy0tibv881e1a93psr9, 1ore4ght7ls393tcpbmah9dcl, 8f3eqla9yo5js50fv2tdu5vjd, ewu1skobmxtz4f3z6dbnfm6dx, ac5f9msbvijksbq5s2ivwh979, 7wjmaxqunpd84il1p5w4xwrmd, clrlsy05spf55w39f84b7p3sa, 28d0k1mjqz40u13wcjnhfwob8",3735056323,194,36bg0k385i4wwarffp6ak1syd,3735056317,59,"13, 24, 22, 21, 3, 6, 15, 20, 19, 18, 11, 1, 4, 7, 8, 9, 10, 12, 14, 17, 23, 26, 28",3735056315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3735056325,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735641679,197,281,3735056321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451638717,2,32,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2022-08-27T15:31:20.429Z,2022-08-27T15:31:20Z,3735659023,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451638739,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-08-27T15:31:20.429Z,2022-08-28T06:30:53Z,3735659125,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451638887,3,1,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,50.1,50.3,2022-08-27T15:31:20.593Z,2022-08-28T07:03:16Z,3735659943,56,Center,3735659951,213,5.6,3735659949,212,0.8,3735659947,141,49.5,3738971969,178,,3735659945,140,50.7,3735659953,279,S,,,,aziqdd6dqjjgr6ifmzve0cz4l,Roger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451707471,325,1,1,0,3,4yg9ttzw0m51048doksv8uq5r,1,53.7,51.5,2022-08-27T15:31:23.740Z,2022-08-28T07:03:31Z,3738972091,178,,3736031353,213,2.9,3736031345,56,Back,3736031347,140,33.2,3736031349,141,60.0,3736031351,212,22.3,,,,,,,f0a2qk3jzxercn67bben5eled,Gumbau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451707675,326,1,1,0,5,4yg9ttzw0m51048doksv8uq5r,1,33.9,58.5,2022-08-27T15:31:26.324Z,2022-08-28T07:03:35Z,3738972289,178,,3736032375,56,Back,3736032383,141,34.9,3736032379,140,30.3,3736032385,212,16.5,3736032387,213,4.5,,,,,,,33r4ae8aivh27ho0ix9mnkedx,Bigas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451638927,4,43,1,0,7,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-08-27T15:31:27.723Z,2022-08-27T16:25:47Z,3736033045,144,1,3735660179,213,4.7,3735660175,141,24.4,3735660177,212,21.8,3735660171,140,29.5,3735660167,56,Back,,,,,,,33r4ae8aivh27ho0ix9mnkedx,Bigas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451638961,5,1,1,0,8,4yg9ttzw0m51048doksv8uq5r,1,29.9,27.4,2022-08-27T15:31:28.721Z,2022-08-28T07:03:39Z,3735660379,141,6.0,3738972363,178,,3735660375,140,43.9,3735660383,213,5.5,3735660369,56,Back,3735660381,212,20.7,,,,,,,2zn2o5lzchz7oattq9pnjr8wl,E. Roco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451638977,6,1,1,0,10,4yg9ttzw0m51048doksv8uq5r,0,36.3,7.3,2022-08-27T15:31:30.856Z,2022-08-28T07:03:47Z,3735660465,212,18.2,3735660467,213,1.2,3738972473,178,,3735660463,141,32.4,3735660461,140,42.3,3735660459,56,Back,,,,,,,agmcwbzoertg4l8njpdai7kl,Pol Lirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
