id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2461804891,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-09-18T10:52:49.099Z,2022-09-18T11:53:02Z,3790024499,197,278,3789819767,30,"amjegysk3et638l4od103c7o5, akjusy9dt1qd2fjhttviek6ol, 8ij122duxc65thlj8flk2xdjp, 3o41frgi9jxrms6rvc6ml1plh, 7ms6l8qho3p4jm1soleldqvv9, 6dx2fxufm98xtdobuwppis34l, cuxm7t8cql3v06hqf18wvcul1, d3pdr28q2n295ldry2lc1uklx, 946z96r5q70ryslp3hlhafnx1, 9xbo6c8uq29ueuyinngjjiaj9, 5t2ngljfiapcn98qlnbifg53p, f4gpe0pxov8sea9e0fs24h8q2, e5d9nvrs4l1kvcosvnrb2mor9, 2zcha0sd7axiu2s2c0bccz2s5, 96cbv23es0gucmd2v0qvk3iwa, 8ktlzedieskw7pjsgatlac4q1, 1vupjbihmf0b4gzjskmrmptqt, 4l2rgx65vzgrrxorbc1edq8yd, eqw6fu3no9qxejk17tqgeey5m, d34tmogp5h4rwuo3pcxtwp0fe, 15no5m0njma23gf0ygu9agt05",3789819769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789819777,194,7ms6l8qho3p4jm1soleldqvv9,3789819779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789819773,130,8,3789819775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789819771,59,"1, 2, 3, 8, 4, 5, 9, 6, 17, 14, 16, 7, 10, 11, 12, 13, 15, 18, 19, 20, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461807021,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-09-18T10:57:16.343Z,2022-09-18T12:43:00Z,3789829535,194,1p6ccbu8hzugj05qtea21rw7p,3789829533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789829539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789829531,130,10,3790257833,197,16952,3789829525,30,"vota9gwygxp3wc998tl7ldxx, 1p6ccbu8hzugj05qtea21rw7p, 5lzbyj5i0cotpry4gneap8c89, qg0ok4244nmslpvxnoj6zn8q, 32sds4yk7ch30mng0gyzhdk9h, cue88fm1v1ysfuwhql68czydx, eiqt71z69beq7akuhot0foset, 5gorfhj7uwpomrhlso1krxrkl, b64p21hmhsqgrn6n04mk00zpx, 52e2ogoex674bz6pcwluapdxx, dkv5svrbfiq996qchro44dfpx, 1f2t5vsayiiluw330yiw4ft1x, 2zgcbp9g85uxudxadiw3twmvp, ch1lxxbn01at4jmkafy4uevh1, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, 5l6e9nd0defapk1w2ucndowr9, bvbebtykj45j3luvemk8yc4ph, 8lg4tqh5bepeexbhghyr7pze2, aso41hpuq5oh825n83boc5x0q, entqiwoor6dhwqcg5s82krfth, 5mj2vxkh3pmkbwj139mp93n4l, 5zyvj7s681tgg9bec02za6nhm",3789829529,59,"13, 22, 21, 4, 23, 6, 11, 18, 10, 19, 20, 1, 3, 5, 7, 8, 9, 12, 14, 16, 17, 27, 31",3789829527,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850733,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-09-18T11:59:41.110Z,2022-09-18T11:59:43Z,3790045639,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850709,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-09-18T11:59:41.110Z,2023-03-08T13:24:08Z,3790045513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850757,3,1,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,50,50,2022-09-18T11:59:41.684Z,2022-09-19T06:33:09Z,3790045751,140,41.7,3790045747,56,Back,3790045753,141,46.0,3790045757,213,3.4,3790045759,279,S,3790045755,212,9.1,3793296351,178,,,,,946z96r5q70ryslp3hlhafnx1,A. Budimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850771,4,1,1,0,2,2l0ldgiwsgb8d6y3z0sfgjzyj,1,41.5,45.2,2022-09-18T11:59:43.140Z,2022-09-19T06:33:13Z,3793296401,178,,3790045865,140,37.7,3790045863,56,Back,3790045869,212,24.4,3790045867,141,9.8,3790045871,213,4.5,,,,,,,3o41frgi9jxrms6rvc6ml1plh,D. Brašanac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850785,5,1,1,0,4,2l0ldgiwsgb8d6y3z0sfgjzyj,1,35.9,9.6,2022-09-18T11:59:45.887Z,2022-09-19T06:33:17Z,3790045987,56,Back,3790045989,140,23.5,3793296455,178,,3790045991,141,26.1,3790045995,213,2.4,3790045993,212,17.2,,,,,,,akjusy9dt1qd2fjhttviek6ol,Nacho Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850807,6,1,1,0,7,2l0ldgiwsgb8d6y3z0sfgjzyj,1,23.5,26.1,2022-09-18T11:59:48.727Z,2022-09-19T06:33:20Z,3790046091,141,60.8,3790046095,213,1.5,3793296479,178,,3790046093,212,23.6,3790046087,56,Back,3790046089,140,24.9,,,,,,,7ms6l8qho3p4jm1soleldqvv9,Unai García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850853,7,1,1,0,10,2l0ldgiwsgb8d6y3z0sfgjzyj,1,25.8,60.8,2022-09-18T11:59:51.184Z,2022-09-19T06:33:28Z,3793296605,178,,3790046413,212,20.3,3790046409,140,32.8,3790046407,56,Back,3790046415,213,1.2,3790046411,141,88.6,,,,,,,d3pdr28q2n295ldry2lc1uklx,Lucas Torró,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461850863,8,1,1,0,17,2l0ldgiwsgb8d6y3z0sfgjzyj,1,32.1,87.8,2022-09-18T11:59:59.082Z,2022-09-19T06:33:31Z,3793296635,178,,3790046485,140,27.0,3790046491,213,4.4,3790046483,56,Back,3790046489,212,18.9,3790046487,141,61.1,,,,,,,6dx2fxufm98xtdobuwppis34l,David García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
