id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/17/value
2497105813,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-01-14T12:07:01.209Z,2023-01-14T12:56:53Z,3976469649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976469647,130,8,3976469641,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 8onruhr4es313aq52xsl7nxlh, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, b5rea5r4h8bclpenau2au142x, 1bdnkqbxm2u5ror7ipig5m73e, u04ao1ldrjjesgqq52o7ghqt, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 676ehh6cwla4o9igey7qr1uqd, 8oc3lpz3xttrnwxk1fnnv7owl, 1p5trokpmvi15fii87mrawkb9, a045sz2acqbfgyq9puwsu8sx6, 4yzk41dkluqfxb8o3dbq06zqi, 9xwog4v0ij8m1vs7doi52li39, d7mgn0oexyymir3upflm8gfyt, amt4voyjzhnvr55t08hzlw50q, lp63o37czdwete0smmu62k89, 1ho7koiegfhsuevuum2meibu2, 9zgqiq6ksmits5apgsfk2yyfp",3976469643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976577189,197,257,3976469651,194,b5rea5r4h8bclpenau2au142x,3976469653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976469645,59,"1, 20, 3, 23, 19, 5, 7, 6, 34, 17, 18, 2, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497106099,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-01-14T12:07:39.527Z,2023-01-14T12:58:12Z,3976471081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976471077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976471079,194,74gwlzg12wr9pkwmdh9xpa505,3976471071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976471073,59,"1, 27, 39, 8, 24, 5, 21, 4, 16, 11, 19, 2, 3, 6, 9, 10, 12, 14, 15, 17, 20, 25, 32",3976471075,130,4,3976579737,197,273,3976471069,30,"74gwlzg12wr9pkwmdh9xpa505, dka9aakcyyvh98m2uhkvs6qz8, 9tp35qqu1heburu0g5wa6jv56, 234yd91ki5snm5wipuxzogkp, 3fatiz92fyc3cn91ca11i0iqd, 9f83clp1v95kvlxdb376tgbth, 46gpq48n4d5bntwa8v2t78hcl, 66t7zm54jgmcjtiizl9g0rkkp, 1jffh172t15s6ws7nou0fc251, 2z183ceh099zdd3wq5fvs1aay, 1jz6a0l9q2v38adtntoe30t1, d8v7fh30bn0rbhj0lgn1j17th, 8vdhfk7vik10ia4uv8zh1lbyt, 1whtyw1adggpz4j1xp7sjbeg9, cj24ptt1lvwh7hakewqydobf9, 2z101tpx36mno6neclyrym8yd, 7v5zw48zp3pxd39q1i2qmul79, bqckicfyy7s8vqugcwwvwp5n9, 81egd7oua1lfq2j8lke5z0ueh, b6rbjpzuq9vo9kdil1tlyl2ad, 458bvyiuixqgsysikrpoirxlh, 5vyiq10fusxvrx4tajz9lmg9h, b64ooee68x644gdibifgssrh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497127955,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-01-14T13:00:34.236Z,2023-01-14T13:00:35Z,3976585033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497127967,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-01-14T13:00:34.236Z,2023-01-15T06:31:06Z,3976585083,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497127975,3,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,50.1,49.7,2023-01-14T13:00:34.272Z,2023-01-15T06:52:53Z,3976585121,141,30.1,3976585123,212,21.0,3979016627,178,,3976585125,213,3.8,3976585119,140,34.6,3976585117,56,Back,3976585127,279,S,,,,1bdnkqbxm2u5ror7ipig5m73e,Sergio Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497128053,4,1,1,0,2,3budh3j9xivsid3ptm8ptpy4k,0,37.8,28.5,2023-01-14T13:00:36.675Z,2023-01-15T06:52:57Z,3976585487,1,,3976585475,155,,3979016681,178,,3976585479,140,87.2,3976585485,213,6.0,3976585477,56,Right,3976585481,141,9.2,3976585483,212,53.5,u04ao1ldrjjesgqq52o7ghqt,Unai López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497128067,3,49,1,0,5,4jelr92fsge73q39is6qvhxb3,1,15.2,91.4,2023-01-14T13:00:39.316Z,2023-01-15T06:53:06Z,,,,,,,,,,,,,,,,,,,,,,,,,9tp35qqu1heburu0g5wa6jv56,Lucas Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497128105,4,1,1,0,8,4jelr92fsge73q39is6qvhxb3,0,15.2,90.3,2023-01-14T13:00:42.306Z,2023-01-15T06:53:14Z,3976585731,157,,3976585741,213,0.1,3976585733,56,Left,3976585743,1,,3979016933,178,,3976585735,140,62.8,3976585739,212,50.5,3976585737,141,100.0,9tp35qqu1heburu0g5wa6jv56,Lucas Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497128109,5,5,1,0,12,4jelr92fsge73q39is6qvhxb3,0,63.2,101.7,2023-01-14T13:00:46.555Z,2023-01-15T06:53:18Z,3976586255,233,5,3976585751,347,,3976585749,56,Left,,,,,,,,,,,,,,,,9tp35qqu1heburu0g5wa6jv56,Lucas Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497128179,5,5,1,0,12,3budh3j9xivsid3ptm8ptpy4k,1,36.8,-1.7,2023-01-14T13:00:46.555Z,2023-01-15T06:53:18Z,3976586165,347,,3976586237,233,5,3976586163,56,Back,,,,,,,,,,,,,,,,bpfp895223p7w0px2ui3nb2l1,I. Balliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
