id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2480101989,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-10-31T18:53:09.297Z,2022-10-31T20:20:09Z,3887021707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887021705,130,11,3887021711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887021701,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3887021703,59,"13, 24, 23, 6, 5, 3, 11, 21, 9, 20, 10, 1, 4, 8, 12, 15, 17, 18, 19, 22, 26, 28",3887113411,197,281,3887021709,194,elb74prcilvsqzn9jdznrjavp,3887021699,30,"36bg0k385i4wwarffp6ak1syd, agmcwbzoertg4l8njpdai7kl, 7wjmaxqunpd84il1p5w4xwrmd, 33r4ae8aivh27ho0ix9mnkedx, elb74prcilvsqzn9jdznrjavp, 2zn2o5lzchz7oattq9pnjr8wl, 1i9mqbswolg91evnmsrf5katx, bkvvapojagxvj17nzk3oy8ct1, 9ivrglgy0tibv881e1a93psr9, f0a2qk3jzxercn67bben5eled, 1ore4ght7ls393tcpbmah9dcl, c0pl96o1zkrgvukte9zefl591, b69uny9udp3ab2zccwa0qnrh1, 8axw2xc0dl8vsdub6nq4nhjo5, 8f3eqla9yo5js50fv2tdu5vjd, defkaykmw8lmts2gumfa1jyzt, ac5f9msbvijksbq5s2ivwh979, aziqdd6dqjjgr6ifmzve0cz4l, a971j313ztjvcgojpg6u390b9, eg5xrgue41p7yq97ge9iri99m, clrlsy05spf55w39f84b7p3sa, 8twklnbsk3tiyw713l06n340k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480102403,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-10-31T18:54:36.804Z,2022-10-31T20:02:26Z,3887024111,130,10,3887024105,30,"vota9gwygxp3wc998tl7ldxx, 1p6ccbu8hzugj05qtea21rw7p, 5lzbyj5i0cotpry4gneap8c89, cue88fm1v1ysfuwhql68czydx, 32sds4yk7ch30mng0gyzhdk9h, 9see13i1f0n1ju4uhs8sijutx, dkv5svrbfiq996qchro44dfpx, ch1lxxbn01at4jmkafy4uevh1, b64p21hmhsqgrn6n04mk00zpx, 52e2ogoex674bz6pcwluapdxx, eiqt71z69beq7akuhot0foset, 1f2t5vsayiiluw330yiw4ft1x, qg0ok4244nmslpvxnoj6zn8q, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, 5l6e9nd0defapk1w2ucndowr9, bvbebtykj45j3luvemk8yc4ph, 8lg4tqh5bepeexbhghyr7pze2, 2o3bka7gokfjkej1f600ovbo5, aso41hpuq5oh825n83boc5x0q, entqiwoor6dhwqcg5s82krfth, 5mj2vxkh3pmkbwj139mp93n4l",3887024115,194,9see13i1f0n1ju4uhs8sijutx,3887024117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887024107,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3887118053,197,1579,3887024109,59,"13, 22, 21, 6, 23, 2, 20, 5, 10, 19, 11, 1, 4, 7, 8, 9, 12, 14, 15, 16, 17, 27",3887024113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119741,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-10-31T20:00:16.894Z,2022-10-31T20:00:17Z,3887118473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119761,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-10-31T20:00:16.894Z,2022-11-01T04:50:45Z,3887118555,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119765,3,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,50.1,49.9,2022-10-31T20:00:16.987Z,2022-11-01T05:54:43Z,3887118569,56,Back,3887118571,140,33.6,3887118575,212,17.4,3887470199,178,,3887118577,213,3.3,3887118579,279,S,3887118573,141,47.0,,,,52e2ogoex674bz6pcwluapdxx,Borja Mayoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119777,4,1,1,0,2,1n1j0wsl763lq7ee1k0c11c02,0,38.5,37.5,2022-10-31T20:00:19.831Z,2022-11-01T05:54:47Z,3887118623,141,85.7,3887118629,1,,3887118619,56,Left,3887118627,213,0.7,3887118625,212,48.4,3887470287,178,,3887118621,140,72.4,3887118617,155,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119773,3,44,1,0,5,4yg9ttzw0m51048doksv8uq5r,1,27,15.5,2022-10-31T20:00:22.587Z,2022-11-01T06:38:23Z,3887118641,233,5,3887118601,285,,3887118599,56,Back,,,,,,,,,,,,,,,,agmcwbzoertg4l8njpdai7kl,Pol Lirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119779,5,44,1,0,5,1n1j0wsl763lq7ee1k0c11c02,0,73,84.5,2022-10-31T20:00:22.588Z,2022-11-01T05:54:55Z,3887118645,233,3,3887118633,56,Left,3887118635,286,,,,,,,,,,,,,,,,,b64p21hmhsqgrn6n04mk00zpx,E. Ünal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119787,4,1,1,0,5,4yg9ttzw0m51048doksv8uq5r,1,26.4,16.7,2022-10-31T20:00:22.734Z,2022-11-01T06:38:23Z,3887118675,212,18.8,3887118671,140,38.6,3887470407,388,,3887118673,141,37.0,3887118677,213,0.8,3887118669,56,Back,3887118665,3,,,,,agmcwbzoertg4l8njpdai7kl,Pol Lirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119797,6,1,1,0,7,4yg9ttzw0m51048doksv8uq5r,1,38.6,37.1,2022-10-31T20:00:24.749Z,2022-11-01T05:55:07Z,3887118711,56,Back,3887470497,178,,3887118717,212,7.2,3887118715,141,47.0,3887118713,140,36.1,3887118719,213,1.9,,,,,,,9ivrglgy0tibv881e1a93psr9,L. Boyé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
