id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/17/value
2496246077,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-01-09T19:09:45.256Z,2023-01-09T19:58:13Z,3971979407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3972026823,197,12043,3971979413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3971979405,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, 488vwilxllk6nhf4o1wrh0gve, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, ddvvwqxpsqqboupi3gx1ijhed, 83n1qv6ypl625aolzjeqifv11, 3tzvbdszdrj1tayik9igbve8l, dfcbvsb7o18lavmonbp5ucwoa, 66jotyvbhtz5cjvhbby6luelm, do5tibysnhbnbw18nwdo39kut, 81png9xvfr224o03vaksp6aqd, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, v7isqpxiursyjhj5rmhyhjv9, 7x2c4pr7hvku5zp0dnjcpy0yy, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, e40eqhxzzid2chfyxph37tuxh, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816",3971979409,59,"1, 18, 17, 19, 3, 5, 9, 6, 12, 8, 11, 7, 10, 13, 14, 15, 16, 20, 21, 22, 23, 24, 31",3971979411,130,8,3971979415,194,e9wu8g45hq2c1vp07jktx0set,3971979417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496246393,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-01-09T19:11:24.895Z,2023-01-09T20:07:34Z,3971981207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3971981213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3972024349,197,16435,3971981209,59,"25, 35, 3, 6, 23, 5, 8, 16, 17, 7, 12, 1, 9, 11, 13, 14, 18, 19, 20, 22",3971981211,130,4,3971981205,30,"15no5m0njma23gf0ygu9agt05, ao3iplhzj0tiu5uhte7vq7m96, 8ij122duxc65thlj8flk2xdjp, d3pdr28q2n295ldry2lc1uklx, 94jrxsnf1ta2u65ommyge7bo5, 6dx2fxufm98xtdobuwppis34l, 3o41frgi9jxrms6rvc6ml1plh, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, f4gpe0pxov8sea9e0fs24h8q2, 96cbv23es0gucmd2v0qvk3iwa, amjegysk3et638l4od103c7o5, cuxm7t8cql3v06hqf18wvcul1, 2zcha0sd7axiu2s2c0bccz2s5, 8ktlzedieskw7pjsgatlac4q1, 9xbo6c8uq29ueuyinngjjiaj9, 4l2rgx65vzgrrxorbc1edq8yd, eqw6fu3no9qxejk17tqgeey5m, d34tmogp5h4rwuo3pcxtwp0fe, bpf2fcb73l96fwspo72shmkiy",3971981215,194,6dx2fxufm98xtdobuwppis34l,3971981217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256205,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-01-09T20:02:10.176Z,2023-01-10T03:39:45Z,3972030993,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256209,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-01-09T20:02:10.176Z,2023-01-09T20:02:13Z,3972031009,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256231,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,49.9,50.1,2023-01-09T20:02:10.216Z,2023-01-10T05:01:36Z,3972031119,212,15.6,3972031115,140,35.8,3972225163,178,,3972031117,141,42.7,3972031113,56,Back,3972031121,213,3.5,3972031123,279,S,,,,3tzvbdszdrj1tayik9igbve8l,Gorka Guruzeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256233,4,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,0,35.8,42.7,2023-01-09T20:02:13.164Z,2023-01-10T05:01:42Z,3972031221,236,,3972031139,212,2.3,3972031127,155,,3972031131,140,38.0,3972031135,141,43.3,3972031223,233,3,3972031143,213,0.2,3972031129,56,Back,9d5h5wxf44qu4fw3jk2pgis16,Dani Vivian,3972225197,178,3972031227,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256239,3,74,1,0,3,2l0ldgiwsgb8d6y3z0sfgjzyj,1,63.7,56.7,2023-01-09T20:02:13.234Z,2023-01-10T05:02:18Z,3972031189,233,4,3972031157,285,,3972225463,178,,3972031155,56,Center,,,,,,,,,,,,,946z96r5q70ryslp3hlhafnx1,A. Budimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256271,5,1,1,0,9,3czravw89omgc9o4s0w3l1bg5,1,12.5,5.9,2023-01-09T20:02:19.944Z,2023-01-10T05:02:23Z,3972031355,212,17.6,3972225501,178,,3972031357,213,1.9,3972031349,56,Back,3972031351,140,7.2,3972031353,141,30.5,,,,,,,e9wu8g45hq2c1vp07jktx0set,De Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256291,6,1,1,0,11,3czravw89omgc9o4s0w3l1bg5,1,7.2,30.5,2023-01-09T20:02:21.733Z,2023-01-10T05:04:06Z,3972031457,141,21.8,3972031455,140,47.9,3972031459,212,43.1,3972031461,213,6.1,3972031463,1,,3972031451,155,,3972031453,56,Back,3972226025,178,,4vlurpsi44g09g159t61u83bp,Unai Simón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496256303,7,44,1,0,13,3czravw89omgc9o4s0w3l1bg5,1,47.4,21,2023-01-09T20:02:23.863Z,2023-01-10T06:46:20Z,3972031507,56,Back,3972031509,285,,3972031523,233,4,,,,,,,,,,,,,,,,3tzvbdszdrj1tayik9igbve8l,Gorka Guruzeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
