id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2516076687,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-03-05T16:21:25.760Z,2023-03-05T17:31:55Z,4076322867,194,676ehh6cwla4o9igey7qr1uqd,4076579495,197,257,4076322869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076322865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076322861,59,"1, 20, 3, 6, 16, 19, 7, 23, 34, 8, 18, 2, 4, 9, 12, 13, 14, 15, 17, 21, 22, 24, 25",4076322859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4076322863,130,8,4076322857,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, b5rea5r4h8bclpenau2au142x, lp63o37czdwete0smmu62k89, 533095rnz0k8mxqe6gzn0mfo5, 3ca7tqrdasmeop6ud9zot0wdl, 8onruhr4es313aq52xsl7nxlh, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 8oc3lpz3xttrnwxk1fnnv7owl, 4yzk41dkluqfxb8o3dbq06zqi, 9xwog4v0ij8m1vs7doi52li39, d7mgn0oexyymir3upflm8gfyt, amt4voyjzhnvr55t08hzlw50q, u04ao1ldrjjesgqq52o7ghqt, 1ho7koiegfhsuevuum2meibu2, 9zgqiq6ksmits5apgsfk2yyfp, c3rreq5bz6smx1ynf9zsune1h, diixuwl5rn7f8vjleqfqy4st1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516078279,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-03-05T16:23:32.921Z,2023-03-05T17:33:04Z,4076331023,30,"1tctbwsidibct7wphjgv8mdm2, v7isqpxiursyjhj5rmhyhjv9, 8hm6d6395johhjsoe8jz6dcyd, 1rjzsyc8yt25tyelzg820if2t, 9d5h5wxf44qu4fw3jk2pgis16, cd5napttmwk5o9gxw3cbb4ted, 66jotyvbhtz5cjvhbby6luelm, 488vwilxllk6nhf4o1wrh0gve, 3tzvbdszdrj1tayik9igbve8l, dfcbvsb7o18lavmonbp5ucwoa, do5tibysnhbnbw18nwdo39kut, 83n1qv6ypl625aolzjeqifv11, ddvvwqxpsqqboupi3gx1ijhed, 81png9xvfr224o03vaksp6aqd, 7x2c4pr7hvku5zp0dnjcpy0yy, e9wu8g45hq2c1vp07jktx0set, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, ebj1tatpfyuedmk2y40i393h1, 2blue4kkn5uryu76u55b3wp3o, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",4076331025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4076331035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076331031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076331033,194,v7isqpxiursyjhj5rmhyhjv9,4076331027,59,"13, 15, 17, 14, 3, 4, 11, 19, 12, 8, 7, 6, 9, 10, 16, 18, 21, 22, 24, 29, 31, 35",4076581571,197,12043,4076331029,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516125987,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-03-05T17:30:38.732Z,2023-03-05T17:30:38Z,4076586411,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126003,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-03-05T17:30:38.732Z,2023-03-06T04:48:52Z,4076586477,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126035,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50,50,2023-03-05T17:30:38.798Z,2023-03-06T08:07:06Z,4076586635,140,33.9,4076586633,56,Back,4076586641,213,2.9,4076586643,279,S,4076586637,141,56.0,4077948125,178,,4076586639,212,17.4,,,,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126049,4,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,0,33.9,55.8,2023-03-05T17:30:41.212Z,2023-03-06T08:07:09Z,4076586727,140,77.9,4076586729,141,82.8,4076586723,155,,4076586725,56,Left,4077948169,178,,4076586735,1,,4076586733,213,0.4,4076586731,212,49.7,cd5napttmwk5o9gxw3cbb4ted,Íñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126091,3,1,1,0,5,3budh3j9xivsid3ptm8ptpy4k,1,21.2,16.7,2023-03-05T17:30:44.082Z,2023-03-06T10:56:01Z,4076586921,212,15.3,4076586919,141,17.6,4076586923,213,0.0,4076586915,56,Back,4076586917,140,35.8,4078196057,388,,4076586913,3,,,,,bpfp895223p7w0px2ui3nb2l1,I. Balliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126095,4,61,1,0,6,3budh3j9xivsid3ptm8ptpy4k,1,34,17.8,2023-03-05T17:30:45.683Z,2023-03-06T08:07:37Z,4076586939,56,Back,4077948587,178,,,,,,,,,,,,,,,,,,,,676ehh6cwla4o9igey7qr1uqd,Ó. Trejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126103,5,49,1,0,8,3budh3j9xivsid3ptm8ptpy4k,1,34.8,6.7,2023-03-05T17:30:47.362Z,2023-03-06T08:07:42Z,,,,,,,,,,,,,,,,,,,,,,,,,3ca7tqrdasmeop6ud9zot0wdl,Isi Palazón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126137,6,1,1,0,11,3budh3j9xivsid3ptm8ptpy4k,1,37.7,6.5,2023-03-05T17:30:50.001Z,2023-03-06T08:07:47Z,4077948713,178,,4076587137,141,3.5,4076587139,212,21.9,4076587133,56,Right,4076587141,213,6.2,4076587135,140,58.5,,,,,,,3ca7tqrdasmeop6ud9zot0wdl,Isi Palazón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
