id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/15/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2504619503,8,44,1,0,13,4jelr92fsge73q39is6qvhxb3,0,41.7,69,2023-02-05T17:31:14.938Z,2023-02-06T08:42:05Z,4015903567,233,3,4015903439,285,,4015903437,56,Back,,,,,,,,,,,,,,,,2z101tpx36mno6neclyrym8yd,Óscar Plano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619531,4,1,1,0,13,63f5h8t5e9qm1fqmvfkb23ghh,0,57.8,29.1,2023-02-05T17:31:15.068Z,2023-02-06T13:14:51Z,4015903583,3,,4017010701,388,,4015903593,213,6.2,4015903585,56,Center,4015903591,212,11.2,4015903587,140,68.5,4015903589,141,28.3,,,,48gjuou5eashpj8wbwd18iju1,Zubeldia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619523,9,1,1,0,15,4jelr92fsge73q39is6qvhxb3,1,30.5,63.7,2023-02-05T17:31:16.722Z,2023-02-06T08:42:15Z,4015903537,3,,4017010715,178,,4015903547,213,1.9,4015903539,56,Back,4015903543,141,79.1,4015903541,140,26.7,4015903545,212,11.2,,,,234yd91ki5snm5wipuxzogkp,Monchu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619537,10,1,1,0,16,4jelr92fsge73q39is6qvhxb3,1,26.7,79.1,2023-02-05T17:31:18.434Z,2023-02-06T08:42:23Z,4015903627,213,0.2,4015903619,56,Back,4015903621,140,34.5,4015903623,141,81.7,4017010733,178,,4015903625,212,8.4,,,,,,,9f83clp1v95kvlxdb376tgbth,Javier Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619559,11,1,1,0,17,4jelr92fsge73q39is6qvhxb3,1,34.5,81.7,2023-02-05T17:31:19.179Z,2023-02-06T08:42:31Z,4017010751,178,,4015903743,140,38.2,4015903735,155,,4015903753,213,1.1,4015903751,212,9.5,4015903739,56,Back,4015903747,141,94.4,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619573,12,1,1,0,19,4jelr92fsge73q39is6qvhxb3,1,39,93.6,2023-02-05T17:31:21.629Z,2023-02-06T08:42:39Z,4015903831,140,47.7,4015903833,141,75.8,4015903835,212,15.2,4015903829,56,Back,4017010769,388,,4015903837,213,5.4,,,,,,,7v5zw48zp3pxd39q1i2qmul79,L. Olaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619589,13,1,1,0,22,4jelr92fsge73q39is6qvhxb3,1,54.2,76.1,2023-02-05T17:31:24.011Z,2023-02-06T08:42:43Z,4015903899,141,96.3,4015903903,213,1.3,4015903897,140,58.5,4015903901,212,14.5,4017010773,178,,4015903895,56,Left,,,,,,,2z101tpx36mno6neclyrym8yd,Óscar Plano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619597,14,1,1,0,23,4jelr92fsge73q39is6qvhxb3,1,58.5,96.3,2023-02-05T17:31:25.235Z,2023-02-06T08:42:52Z,4015903923,56,Center,4015903925,140,56.4,4015903931,213,4.5,4015903927,141,77.8,4017010819,178,,4015903929,212,12.8,,,,,,,8sh9iw9qs8y8056r5zmcpvemt,D. Machís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619613,15,1,1,0,24,4jelr92fsge73q39is6qvhxb3,1,56.4,77.8,2023-02-05T17:31:26.431Z,2023-02-06T08:43:00Z,4015904007,212,8.4,4017010859,178,,4015904005,141,90.0,4015904009,213,1.8,4015904001,56,Left,4015904003,140,54.9,,,,,,,2z101tpx36mno6neclyrym8yd,Óscar Plano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619635,16,1,1,0,25,4jelr92fsge73q39is6qvhxb3,1,54.9,90.2,2023-02-05T17:31:27.441Z,2023-02-06T08:43:05Z,4015904153,213,3.2,4015904151,212,9.0,4015904149,141,89.7,4015904147,140,46.3,4017010873,178,,4015904145,56,Back,,,,,,,7v5zw48zp3pxd39q1i2qmul79,L. Olaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
