id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/18/value
2531939675,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-04-10T17:43:55.918Z,2023-04-10T19:10:24Z,4181297005,59,"1, 23, 28, 5, 4, 24, 30, 20, 9, 22, 10, 11, 13, 17, 18, 19, 29, 32, 36, 38, 39, 40",4181297003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4181452247,197,16152,4181297013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4181297007,130,4,4181297011,194,calrbl0kagr6zgnw2l8k626s5,4181297001,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, calrbl0kagr6zgnw2l8k626s5, awsod0zmnrukk21d4882ji7e1, 4ggz7e009bq3yltc9o6mifbah, eb3ci3a120om80v80mobsus8a, 4q6kuikopbgls8y2rwqiu415h, afxjicw89683nlpms9yy5x51x, 2wl6h1rlrfnn2mr65vuo3t815, 308krssmz6irpfntht1ka78tm, 2szgrzcosfeifh664tgt3mfvt, 4mxx1oxkiexm0ha34utcmb17t, 9i7lb16qty1t21bnc5h7skclx, 4o6f3mnd39fx700o3jvj0wct1, 4ct72ovumvt09au6gpulwpjv9, 3hht0os2uzu234yq550i3fbe2, 5kodjbsarkql4vhs126p2vhwq, 4ffmlhvbjvfjjnhr0byktvt62, c3j7m8kaoius8i6jihubgy6p6, e2tgmngp5fa465yi3ma6qhhqs, bzms42hwgghy29ngpkztw5gd0",4181297009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531940303,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-04-10T17:45:37.645Z,2023-04-10T19:01:26Z,4181300541,194,1acqdy7jz9v4i1jwf5u809byt,4181300535,59,"13, 4, 16, 18, 22, 5, 8, 23, 9, 24, 12, 1, 2, 3, 7, 11, 14, 15, 17, 20, 26, 36",4181300533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4181300537,130,7,4181300543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4181300539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4181454649,197,16543,4181300531,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, 3xxwjf3ymu1j9825xjuwuknah, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 4o0ei8wawffrg2hvnbmcxipxx, 3auwtiburdxrp2i5me2d97f11, 9um7x9zd0e000zt57l3yearqh, 27hwtukeqxh91ch1f3qr1it49, 1acqdy7jz9v4i1jwf5u809byt, 2do89l8kf9yuelzq1b5mo549h, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, d7pzcnoztn30xoj5b2sr9slt6, 6navc0x6p4yqy76zyo3zocwr9, 8tnz3pqkqdhbr08p96i9w8i96, 2udtmz4lvh4vil16mxvo0j4l, 8xd59g0c36012q6mg5f2fl239, bqmhsb2bsuuuijw2ci39l01k9, ay89se5rytzay8md0yeadykq2, bixz0as48s0jmvl2bdctr2tt6, eonkaqrhhxzaa3nt0iena4us",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970687,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-04-10T19:02:18.673Z,2023-04-10T19:02:21Z,4181457355,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970677,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-04-10T19:02:18.673Z,2023-04-11T05:00:15Z,4181457307,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970719,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50.1,50,2023-04-10T19:02:18.689Z,2023-04-11T05:17:30Z,4181457551,212,11.3,4181457545,56,Back,4181457557,279,S,4182156609,178,,4181457553,213,3.1,4181457549,141,50.6,4181457547,140,39.3,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970735,4,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,39.3,50.6,2023-04-10T19:02:19.670Z,2023-04-11T05:17:36Z,4181457651,140,42.9,4181457657,213,1.2,4181457649,56,Back,4181457653,141,65.9,4181457655,212,11.1,4182157015,178,,,,,,,,calrbl0kagr6zgnw2l8k626s5,Sergio Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970751,5,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,46.5,69,2023-04-10T19:02:22.297Z,2023-04-11T05:17:42Z,4181457741,140,42.4,4181457747,213,1.9,4181457743,141,90.8,4181457745,212,15.4,4182157087,178,,4181457739,56,Back,,,,,,,4q6kuikopbgls8y2rwqiu415h,Sergi Roberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970779,6,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,42.3,90,2023-04-10T19:02:24.584Z,2023-04-11T05:17:45Z,4181457897,140,30.7,4181457901,212,16.3,4182157135,178,,4181457899,141,74.1,4181457903,213,3.9,4181457895,56,Back,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970803,7,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,29.9,73.1,2023-04-10T19:02:26.724Z,2023-04-11T05:17:48Z,4182157185,178,,4181458041,141,46.6,4181458039,140,17.8,4181458045,213,4.1,4181458043,212,22.0,4181458037,56,Back,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531970821,8,1,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,0,18.8,47.2,2023-04-10T19:02:30.990Z,2023-04-11T05:17:52Z,4181458199,1,,4181458191,212,35.3,4181458189,141,86.0,4181458187,140,41.2,4181458183,155,,4182157229,178,,4181458195,213,0.8,4181458185,56,Back,2e55g4q93y382cg7h0yk5rtud,M. ter Stegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
