id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value
2527752947,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-04-02T17:38:57.440Z,2023-04-02T19:06:15Z,4159005591,59,"13, 16, 21, 22, 2, 15, 14, 6, 8, 19, 11, 1, 4, 5, 10, 12, 17, 20, 24, 31",4159005597,194,b9kfek16otvdorssn0wzkb36d,4159005599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159005595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159005587,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, 20m7tijt8jnedjd4x87olmaqd, am5gj5qg3gjtyhvwfnj8sjz6d, 548jzfl9higq44w9bgqvcjh05, av5g4nr853anks78vl6jh4s7p, amxunh6enoc99r07cp7qt621h, b9kfek16otvdorssn0wzkb36d, 716n1970vi9rvw5b4w9qmjfth, 46kq5653o302ebz4o5yzsss0l, ejcyvgclry4g5pc2rtptifphx, cfhk5255hz4wbs2zsrq219a6t, 58qeglyxdi7y8ttg8sddv8set, 3ga7qj3h3dbmqucxmaxhmrjdh, 6fdvv4zs5pl6qj7pp6tsp5iad, 31wf775s975qy3il33oora8k5, 40h47dhimsmeiury61w1ourx1, 59234as8h70fejyfm7492np3p, 9e7ybe0nsu3byq2tteey3zuy2, d0di86falsvqnl1c4ev98my5m",4159005589,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159005593,130,10,4159256631,197,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527754627,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2023-04-02T17:40:35.707Z,2023-04-02T19:06:05Z,4159013669,59,"13, 24, 33, 14, 16, 19, 11, 5, 9, 28, 21, 1, 2, 3, 4, 6, 7, 12, 17, 20, 25",4159232387,197,254,4159013679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159013675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159013661,30,"s96k2x2cts0vo6y6aaeui5zp, 9226xt1t1m3fy4ob9l2r16609, emvmn561wgd62zj0s3qi5j5rd, 10f06nit2xupshuz4lmazrvth, 7rfcycybym05sbe0j1g6yhfx1, f5blplnlgn04f54kqsfx1b7qh, 7hyo7fy8hospvlvtlfv7q73ai, 73efpm314q2paeacsvp4e8q8l, d12m2oz1lomkc1qxmpht38lat, 9jxofpmrfh2lil77f9xj22kiy, drwacyyicuhy3heg4j0ipqj85, 1vn3xi2x6vtjor1bt1ob1vk5x, e5rlll2fvd9wsk40o6pztsc0l, 4hhuyat3grozmgba4f55zyajt, dfytsnxfl78jnug9trsa9qv3d, 1myo59ub6qouwvxpb699shhw5, c4je25rkbg2n45xs5iurevhlh, 8hn7wb9jf6unade238t4vl3o5, 9anxnfthjotjwmr3o9j9lzsnp, yhfujfdzpt7tymqdmt7i0mzu, 6w3xe5mva9ob36uf482xem85x",4159013673,130,2,4159013677,194,73efpm314q2paeacsvp4e8q8l,4159013665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800383,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-04-02T19:01:38.733Z,2023-04-02T19:01:42Z,4159257501,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800375,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2023-04-02T19:01:38.733Z,2023-04-02T19:01:38Z,4159257445,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800423,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,50,50,2023-04-02T19:01:38.833Z,2023-04-02T19:01:44Z,4159257723,279,S,4159257721,213,2.6,4159257719,212,14.0,4159257713,56,Back,4159257715,140,38.8,4159257717,141,61.2,,,,,,,d12m2oz1lomkc1qxmpht38lat,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800441,4,1,1,0,3,ah8dala7suqqkj04n2l8xz4zd,1,37.3,59.3,2023-04-02T19:01:42.553Z,2023-04-02T19:01:45Z,4159257809,140,32.9,4159257813,212,26.0,4159257807,56,Back,4159257815,213,4.5,4159257811,141,21.6,,,,,,,,,,10f06nit2xupshuz4lmazrvth,William Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800475,5,1,1,0,7,ah8dala7suqqkj04n2l8xz4zd,0,42.3,12.8,2023-04-02T19:01:45.800Z,2023-04-02T19:01:50Z,4159258023,1,,4159258021,213,0.2,4159258019,212,40.5,4159258013,56,Center,4159258015,140,80.3,4159258017,141,22.8,,,,,,,9226xt1t1m3fy4ob9l2r16609,Aitor Ruibal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800499,3,49,1,0,10,4ku8o6uf87yd8iecdalipo6wd,1,22.4,77.4,2023-04-02T19:01:49.202Z,2023-04-02T19:02:02Z,,,,,,,,,,,,,,,,,,,,,,,,,548jzfl9higq44w9bgqvcjh05,J. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800511,4,12,1,0,10,4ku8o6uf87yd8iecdalipo6wd,1,22.4,77.4,2023-04-02T19:01:49.636Z,2023-04-02T19:02:03Z,4159258233,212,19.0,4159258235,213,1.1,4159258227,56,Back,4159258231,141,100.0,4159258229,140,31.0,4159258483,167,,,,,,,,548jzfl9higq44w9bgqvcjh05,J. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800515,5,5,1,0,11,4ku8o6uf87yd8iecdalipo6wd,0,31.2,101.6,2023-04-02T19:01:50.521Z,2023-04-02T19:24:05Z,4159258247,347,,4159258305,233,6,4159258245,56,Back,,,,,,,,,,,,,,,,548jzfl9higq44w9bgqvcjh05,J. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800501,6,5,1,0,11,ah8dala7suqqkj04n2l8xz4zd,1,68.8,-1.6,2023-04-02T19:01:50.521Z,2023-04-02T19:01:53Z,4159258295,233,5,4159258173,56,Right,4159258175,347,,,,,,,,,,,,,,,,,9226xt1t1m3fy4ob9l2r16609,Aitor Ruibal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527800643,7,1,1,0,21,ah8dala7suqqkj04n2l8xz4zd,1,66.5,0,2023-04-02T19:02:00.187Z,2023-04-02T19:02:05Z,4159258911,107,,4159258917,141,17.1,4159258915,140,45.8,4159258913,56,Back,4159258921,213,2.6,4159258919,212,25.3,4159258923,1,,,,,9226xt1t1m3fy4ob9l2r16609,Aitor Ruibal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
