id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/13/value,assist
2521501827,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-03-18T14:12:16.332Z,2023-03-18T15:00:29Z,4105083495,194,676ehh6cwla4o9igey7qr1uqd,4105083485,30,"5dfvefxvwj8kixbajluw25mtx, 96kskr71ls9jtky9hn0iuk9d6, 39c5g6782qlrtw55fsre7exnt, b5rea5r4h8bclpenau2au142x, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, 8onruhr4es313aq52xsl7nxlh, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 8eh38t4oyyt728co362f6uqqd, 5cfem3t7stlov2fqltu3faevp, 8oc3lpz3xttrnwxk1fnnv7owl, 4yzk41dkluqfxb8o3dbq06zqi, 9xwog4v0ij8m1vs7doi52li39, d7mgn0oexyymir3upflm8gfyt, amt4voyjzhnvr55t08hzlw50q, lp63o37czdwete0smmu62k89, u04ao1ldrjjesgqq52o7ghqt, 1ho7koiegfhsuevuum2meibu2, 9zgqiq6ksmits5apgsfk2yyfp, c3rreq5bz6smx1ynf9zsune1h, diixuwl5rn7f8vjleqfqy4st1",4105083497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105083487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105083489,59,"1, 2, 3, 6, 19, 5, 7, 23, 34, 8, 18, 4, 9, 12, 13, 14, 15, 16, 17, 21, 22, 24, 25",4105371111,197,257,4105083493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105083491,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521503743,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-03-18T14:13:45.528Z,2023-03-18T15:00:38Z,4105093795,59,"13, 4, 3, 18, 22, 5, 8, 23, 9, 24, 17, 1, 2, 7, 11, 12, 15, 16, 19, 26, 36",4105093799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105093797,130,7,4105093803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105372201,197,14433,4105093793,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105093791,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, d7pzcnoztn30xoj5b2sr9slt6, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 4o0ei8wawffrg2hvnbmcxipxx, 3auwtiburdxrp2i5me2d97f11, 9um7x9zd0e000zt57l3yearqh, 27hwtukeqxh91ch1f3qr1it49, 1acqdy7jz9v4i1jwf5u809byt, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, 6navc0x6p4yqy76zyo3zocwr9, 8tnz3pqkqdhbr08p96i9w8i96, 2do89l8kf9yuelzq1b5mo549h, 8xd59g0c36012q6mg5f2fl239, 3xxwjf3ymu1j9825xjuwuknah, 9iwptrplnmwst5nfimyuqekq2, bixz0as48s0jmvl2bdctr2tt6, eonkaqrhhxzaa3nt0iena4us",4105093801,194,1acqdy7jz9v4i1jwf5u809byt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521591677,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-03-18T15:15:20.132Z,2023-03-19T05:00:36Z,4105545599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521591705,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-03-18T15:15:20.132Z,2023-03-18T15:15:21Z,4105545759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521591847,3,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,49.9,49.9,2023-03-18T15:15:20.222Z,2023-03-19T06:27:42Z,4108813099,178,,4105546495,212,21.8,4105546497,213,3.4,4105546487,56,Back,4105546499,279,S,4105546493,141,43.1,4105546491,140,29.6,,,,676ehh6cwla4o9igey7qr1uqd,Ó. Trejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521592061,4,1,1,0,3,3budh3j9xivsid3ptm8ptpy4k,0,30.4,44.3,2023-03-18T15:15:23.477Z,2023-03-19T06:27:48Z,4105547519,56,Left,4105547517,155,,4105547521,140,73.5,4105547523,141,88.7,4105547527,213,0.6,4105547529,1,,4105547525,212,54.4,4108813265,178,,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521592103,3,44,1,0,6,7h7eg7q7dbwvzww78h9d5eh0h,1,24.9,12.6,2023-03-18T15:15:26.977Z,2023-03-19T08:54:15Z,4105547723,56,Back,4105547729,285,,4105703525,233,130,,,,,,,,,,,,,,,,cuqawmfekh86mgo758udxw7v9,Oriol Romeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521619619,130,44,1,0,6,3budh3j9xivsid3ptm8ptpy4k,0,75.1,87.4,2023-03-18T15:15:26.978Z,2023-03-19T06:27:53Z,4105699531,56,Left,4105703475,233,3,4105699533,286,,,,,,,,,,,,,,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521682613,356,1,1,0,6,7h7eg7q7dbwvzww78h9d5eh0h,0,30.2,9.2,2023-03-18T15:15:26.996Z,2023-03-19T10:32:14Z,4106026903,56,Back,4106026911,213,0.9,4106026905,140,38.1,4106026907,141,26.1,4107768047,3,,4109137649,388,,4106026909,212,14.2,,,,cuqawmfekh86mgo758udxw7v9,Oriol Romeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521592197,5,43,1,0,8,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-03-18T15:15:28.736Z,2023-03-18T16:04:24Z,4105548263,141,73.6,4106026857,144,1,4105548261,140,69.9,4105548265,212,11.4,4105548259,56,Center,4105548267,213,4.3,4105548257,3,0,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
