id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2522650499,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-03-19T18:08:07.148Z,2023-03-19T20:23:34Z,4111165369,197,239,4111165367,194,c1mm3hdfcs78obhxmhailzidx,4111165371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111165357,30,"6crmq7vzqts58wg196q48sc7p, 7oykphzczagr975xsqt70s89h, 7o4nc6jwsi3quvnwinstqwyj9, cdcbi6xmy0uts703489e0acb9, 8wvkrrbqqthuwda8twg03yuax, 6fzbp94hf19ysotdassrqdc5x, 1i9wi65k2foqwudeqiyih87hl, en2c7z1raqmcwee78297pbnu2, c1mm3hdfcs78obhxmhailzidx, diod1hv5hv7v7z7mfleev1txx, b4witgokm49tidm1a83qcvbop, eihwzqtt27l2l8iu990h68edx, 54h69199gtsavspwblux98dsl, 127eg3g8ig8j7obxtyc2tl8t1, 38bp85766w04a0nuulq5fiig9, 5nluxvc0wi0u1d5zcy7be5rkl, bf2pf3hs8gcvub4ivlve12ymt, aipyotc87m5bdvmvizd5n69k9, i48mf81fxn2af1xxjzfi8gr9, broq8imimhtlejtffissquy5m, 6q69l3ppqfqbryjubcrujfi6t, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a",4111165363,130,8,4111165361,59,"1, 2, 6, 8, 3, 22, 15, 12, 9, 10, 20, 5, 7, 11, 13, 16, 17, 18, 19, 21, 23, 24, 26",4111165359,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111165365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522672411,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-03-19T18:44:00.010Z,2023-03-19T18:44:00Z,4111283501,130,4,4111283479,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111283503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111283505,194,calrbl0kagr6zgnw2l8k626s5,4111283475,30,"2e55g4q93y382cg7h0yk5rtud, awsod0zmnrukk21d4882ji7e1, bzgh5psb1janz9y3btpswngbu, calrbl0kagr6zgnw2l8k626s5, cscn06kwqfzo09h0dc5ybt1pl, 1av9mmv19jwvc4xdr0p9owyxh, 4q6kuikopbgls8y2rwqiu415h, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, 2wl6h1rlrfnn2mr65vuo3t815, eb3ci3a120om80v80mobsus8a, 308krssmz6irpfntht1ka78tm, 2szgrzcosfeifh664tgt3mfvt, 4mxx1oxkiexm0ha34utcmb17t, 9i7lb16qty1t21bnc5h7skclx, 4o6f3mnd39fx700o3jvj0wct1, 4ct72ovumvt09au6gpulwpjv9, 4ggz7e009bq3yltc9o6mifbah, 5kodjbsarkql4vhs126p2vhwq, 4ffmlhvbjvfjjnhr0byktvt62, c3j7m8kaoius8i6jihubgy6p6",4111283507,197,16152,4111283509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111283483,59,"1, 4, 28, 5, 23, 15, 20, 21, 9, 22, 6, 10, 11, 13, 17, 18, 19, 24, 32, 36, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522712929,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-03-19T20:03:18.759Z,2023-03-19T20:03:19Z,4111509299,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522712943,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-03-19T20:03:18.759Z,2023-03-20T08:43:30Z,4111509357,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522712951,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,50.2,50.1,2023-03-19T20:03:19.456Z,2023-03-20T09:20:05Z,4111509379,56,Back,4111509387,213,2.7,4111509389,279,S,4111509381,140,46.1,4111509383,141,53.1,4112518839,178,,4111509385,212,4.8,4112015797,189,,c1mm3hdfcs78obhxmhailzidx,K. Benzema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522712963,4,1,1,0,2,3kq9cckrnlogidldtdie2fkbl,1,45.6,54,2023-03-19T20:03:20.778Z,2023-03-20T09:20:18Z,4111509425,141,63.4,4111509429,213,2.2,4111509427,212,7.9,4111509423,140,41.2,4111509421,56,Back,4112519213,178,,,,,,,,cdcbi6xmy0uts703489e0acb9,T. Kroos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522712993,5,1,1,0,3,3kq9cckrnlogidldtdie2fkbl,1,40.6,62.9,2023-03-19T20:03:22.490Z,2023-03-20T09:20:23Z,4112519297,178,,4111509565,141,35.1,4111509567,212,19.8,4111509569,213,4.4,4111509561,56,Back,4111509563,140,35.1,,,,,,,en2c7z1raqmcwee78297pbnu2,E. Camavinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713005,6,1,1,0,6,3kq9cckrnlogidldtdie2fkbl,1,35,33,2023-03-19T20:03:25.153Z,2023-03-20T09:20:28Z,4111509637,213,5.5,4111509631,140,55.0,4112519375,178,,4111509633,141,4.3,4111509629,56,Right,4111509635,212,28.7,,,,,,,8wvkrrbqqthuwda8twg03yuax,Éder Militão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713017,7,1,1,0,8,3kq9cckrnlogidldtdie2fkbl,0,55.8,4.8,2023-03-19T20:03:26.822Z,2023-03-20T09:20:34Z,4111509735,213,0.7,4111509727,56,Center,4111509729,140,69.2,4111509733,212,18.6,4111509731,141,22.7,4112519493,178,,,,,,,,7oykphzczagr975xsqt70s89h,Dani Carvajal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713027,3,49,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,27.8,75.9,2023-03-19T20:03:28.044Z,2023-03-20T09:20:38Z,,,,,,,,,,,,,,,,,,,,,,,,,1av9mmv19jwvc4xdr0p9owyxh,A. Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713047,4,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,30.3,77.5,2023-03-19T20:03:29.704Z,2023-03-20T09:20:40Z,4111509865,56,Left,4112519639,178,,4111509873,213,0.3,4111509871,212,26.9,4111509867,140,54.6,4111509869,141,90.1,,,,,,,1av9mmv19jwvc4xdr0p9owyxh,A. Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713049,5,50,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,1,56.2,91.2,2023-03-19T20:03:30.981Z,2023-03-20T09:20:47Z,4111509881,56,Left,4111509883,286,,4111509941,233,8,,,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,R. Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713051,8,7,1,0,12,3kq9cckrnlogidldtdie2fkbl,0,43.8,8.8,2023-03-19T20:03:31.619Z,2023-03-20T09:20:51Z,4112519815,178,,4111509935,233,5,4112017825,385,,4111509887,56,Back,4111509889,285,,,,,,,,,,,8wvkrrbqqthuwda8twg03yuax,Éder Militão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713069,6,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,40.4,96.8,2023-03-19T20:03:33.625Z,2023-03-20T09:20:55Z,4111509989,213,4.5,4111509987,212,8.7,4112519917,178,,4111509983,140,38.5,4111509981,56,Back,4111509985,141,84.3,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713077,7,1,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,0,38.2,83.1,2023-03-19T20:03:35.103Z,2023-03-20T09:20:59Z,4111510033,213,0.3,4111510031,212,7.2,4111510025,56,Back,4111510027,140,44.7,4112519971,178,,4111510029,141,86.6,,,,,,,calrbl0kagr6zgnw2l8k626s5,Sergio Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713087,9,49,1,0,16,3kq9cckrnlogidldtdie2fkbl,1,53.8,17.3,2023-03-19T20:03:35.703Z,2023-03-20T10:10:55Z,,,,,,,,,,,,,,,,,,,,,,,,,1i9wi65k2foqwudeqiyih87hl,F. Valverde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522713149,10,1,1,0,20,3kq9cckrnlogidldtdie2fkbl,1,66.4,42.1,2023-03-19T20:03:39.325Z,2023-03-20T09:24:01Z,4111510629,210,15,4111510349,212,17.2,4111510347,141,66.2,4111510351,213,1.3,4111510343,56,Center,4112523255,178,,4111510345,140,71.4,,,,1i9wi65k2foqwudeqiyih87hl,F. Valverde,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
