id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2445285923,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-08-13T14:06:14.275Z,2022-08-13T15:09:34Z,3701961565,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701961569,59,"13, 2, 14, 5, 24, 4, 12, 10, 9, 27, 21, 20, 8, 23, 28, 34, 31, 32, 1, 26, 30",3701961561,30,"6wfwy94p5bm0zv3aku0urfq39, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, 2rqxh5mex336ci45jaw428y5l, eyhvr45vc1n690dxobcthmndh, 6810qbng9pfg1bztczv11grmd, adi6l78sdvet408eho4fi4xk9, 7xmaybxu4zd5k338bi3drkxcl, d67qj0sakwrfzbscleo4dbget, 4ypoy27moehhbiaf3o1bntht6, cspjsye2x9pmnvdxjmghwnyi2, 8qvqdjw1d58mw7420lpmk7bah, 91te5xuankrla4g3s7as3htxx, 63yktdky9m0aus8ebkaqzdhhx, 6gy8t82tqi12q2odz974xcbh0, 1wylybleussatoxg8u6reao2y, e81bgheozbhng9yfmqss1jbl6, apq8vqgkq347yr6iqc1riqjca, 5f8kjgsaabn2li5r7bvpebbsa, 7h0b81yjiiu356rycsakgd0yc, 4ho3e7wi6z5tq8g87l8tjtwtm",3702499231,197,16505,3701961579,194,6810qbng9pfg1bztczv11grmd,3701961583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701961573,130,4,3701961577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445297033,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-08-13T14:11:12.190Z,2022-08-13T15:01:24Z,3702442093,197,279,3702019733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702019737,194,7k2alak95p1u2ysftwwiaqsid,3702019743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702019725,59,"1, 2, 17, 8, 15, 4, 21, 5, 10, 9, 11, 32, 13, 3, 7, 14, 16, 19, 20, 23, 26, 28, 29",3702019729,130,21,3702019715,30,"c1b9p5bk8hfyw0bi6thva0lw5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, e3czx0nsuw10acnftbr8ud0bt, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, adwkydlkclg8u72rxh51lvkyd, ea5xlslcii56ycrlmyo6uiimt, cs2yx3hiqjsb4i5ul2r5kmdat, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, 3ob5vrhv3yuu33zo5x2w4isr8, 59ndqnsvggsoek170rdqyd1w5, c3sl9ajm4q424r4u37iath3hl, 64h0x8sur55l07oaiuog4v2z9, 9g4devlvymukexrvfgkipd6tx, c38u6t2mr5f441tcuxlwpulpm, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, 1lym8zscp7l8icay2cya7cauh, 3sy16pz110zmyq073ao24l1ck, 37b6tzaexinmfadvi4you5wmi, 9ano8w4jrlk6zq92rxchzaru2",3702019719,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377307,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-08-13T15:00:50.263Z,2022-08-13T20:22:46Z,3702443647,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377295,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-08-13T15:00:50.263Z,2022-08-13T15:00:50Z,3702443585,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377327,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,50,50,2022-08-13T15:00:50.367Z,2022-08-14T05:45:36Z,3702443713,56,Back,3702443717,141,56.3,3702443721,213,2.9,3702443723,279,S,3705517761,178,,3702443719,212,21.7,3702443715,140,29.7,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377353,4,1,1,0,3,c8llrezkm3b3op4afrou6b487,0,34.1,56.6,2022-08-13T15:00:53.373Z,2022-08-14T05:45:40Z,3702443845,212,48.5,3705517859,178,,3702443849,1,,3702443847,213,5.8,3702443841,141,23.4,3702443831,155,,3702443835,56,Center,3702443839,140,75.0,6810qbng9pfg1bztczv11grmd,L. Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377381,3,1,1,0,6,6f27yvbqcngegwsg2ozxxdj4,0,28.9,73.4,2022-08-13T15:00:56.473Z,2022-08-14T05:45:50Z,3705518097,388,,3702443961,213,5.6,3702443959,212,30.9,3702443955,140,52.0,3702443951,3,,3702443953,56,Center,3702443957,141,45.2,,,,e8s9ssopq5nmp51zymvqp8jbp,Unai Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377391,5,44,1,0,8,c8llrezkm3b3op4afrou6b487,1,47.4,52.8,2022-08-13T15:00:58.550Z,2022-08-14T11:29:05Z,3702443993,233,4,3702443985,56,Back,3702443987,285,,,,,,,,,,,,,,,,,6810qbng9pfg1bztczv11grmd,L. Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377393,4,44,1,0,8,6f27yvbqcngegwsg2ozxxdj4,0,52.6,47.2,2022-08-13T15:00:58.551Z,2022-08-14T05:46:01Z,3702443991,286,,3702444075,233,5,3702443989,56,Center,,,,,,,,,,,,,,,,cs2yx3hiqjsb4i5ul2r5kmdat,Iago Aspas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377401,6,1,1,0,8,c8llrezkm3b3op4afrou6b487,0,46.7,50.9,2022-08-13T15:00:58.566Z,2022-08-14T11:29:05Z,3705518407,388,,3702444017,3,,3702444021,140,64.6,3702444023,141,60.9,3702444027,213,0.3,3702444019,56,Center,3702444025,212,20.0,,,,6810qbng9pfg1bztczv11grmd,L. Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
