id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/14/value
2484023705,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-11-10T16:46:15.099Z,2022-11-10T17:59:12Z,3907448859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907448857,130,8,3907448855,59,"1, 20, 3, 23, 19, 5, 7, 6, 9, 17, 18, 2, 4, 8, 10, 11, 13, 14, 15, 16, 21, 24, 34",3907499563,197,257,3907448851,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 8onruhr4es313aq52xsl7nxlh, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, b5rea5r4h8bclpenau2au142x, 8oc3lpz3xttrnwxk1fnnv7owl, u04ao1ldrjjesgqq52o7ghqt, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 676ehh6cwla4o9igey7qr1uqd, 1p5trokpmvi15fii87mrawkb9, a045sz2acqbfgyq9puwsu8sx6, 9xwog4v0ij8m1vs7doi52li39, d7mgn0oexyymir3upflm8gfyt, amt4voyjzhnvr55t08hzlw50q, lp63o37czdwete0smmu62k89, 1ho7koiegfhsuevuum2meibu2, c3rreq5bz6smx1ynf9zsune1h, 1bdnkqbxm2u5ror7ipig5m73e",3907448853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3907448861,194,b5rea5r4h8bclpenau2au142x,3907448863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484024079,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-11-10T16:48:54.522Z,2022-11-10T17:59:01Z,3907451309,194,cbym98g15egnbeda05mt3drrp,3907451307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907451305,130,13,3907451311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907451303,59,"1, 20, 17, 4, 15, 3, 28, 14, 9, 7, 11, 5, 8, 10, 13, 19, 26, 29, 30, 31, 33, 35",3907451301,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3907451299,30,"c1b9p5bk8hfyw0bi6thva0lw5, cbym98g15egnbeda05mt3drrp, 40gxfsz7bgrkdudqewlpxzyzt, e8s9ssopq5nmp51zymvqp8jbp, 3qrk8nw6nc8o96n7jr1az21ux, c3sl9ajm4q424r4u37iath3hl, 37b6tzaexinmfadvi4you5wmi, 9g4devlvymukexrvfgkipd6tx, 2aumz6rtq4ufba7z7zn5v8frp, 64h0x8sur55l07oaiuog4v2z9, 5ez2huoeh2g3ijpgr7m15lg5, ea5xlslcii56ycrlmyo6uiimt, e3czx0nsuw10acnftbr8ud0bt, cs2yx3hiqjsb4i5ul2r5kmdat, 59ndqnsvggsoek170rdqyd1w5, e91yegwfliqhfy9yyk19otafo, 3sy16pz110zmyq073ao24l1ck, 9ano8w4jrlk6zq92rxchzaru2, daid84a2zbh8rasleahdp8nis, bmcz7nkdpxopn3g89dekqa8a2, 4bgaa4ylewedh4roya90y39qs, 9ksvo095xi2t4q4pvgxa836z8",3907499429,197,17362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032357,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-11-10T18:01:06.740Z,2022-11-10T18:01:11Z,3907501063,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032353,3,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-11-10T18:01:06.740Z,2022-11-11T02:19:28Z,3907501049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032367,4,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,49.8,50,2022-11-10T18:01:06.762Z,2022-11-11T02:22:58Z,3907501109,279,S,3907802915,178,,3907501107,213,2.4,3907501105,212,12.9,3907501099,56,Back,3907501101,140,40.9,3907501103,141,63.1,,,,u04ao1ldrjjesgqq52o7ghqt,Unai López,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032369,5,1,1,0,2,3budh3j9xivsid3ptm8ptpy4k,1,39.7,62.7,2022-11-10T18:01:09.112Z,2022-11-11T02:23:01Z,3907501117,141,54.0,3907501115,140,47.7,3907501119,212,10.3,3907501121,213,5.7,3907802923,178,,3907501113,56,Back,,,,,,,8onruhr4es313aq52xsl7nxlh,Óscar Valentín,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032371,6,1,1,0,3,3budh3j9xivsid3ptm8ptpy4k,1,48,54.6,2022-11-10T18:01:10.369Z,2022-11-11T02:23:05Z,3907501125,56,Center,3907802931,178,,3907501127,140,52.4,3907501129,141,44.7,3907501133,213,5.3,3907501131,212,8.2,,,,,,,u04ao1ldrjjesgqq52o7ghqt,Unai López,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032373,7,1,1,0,4,3budh3j9xivsid3ptm8ptpy4k,0,53.6,43.9,2022-11-10T18:01:10.896Z,2022-11-11T02:23:08Z,3907802935,178,,3907501143,141,75.6,3907501141,140,71.3,3907501147,213,0.9,3907501139,56,Center,3907501145,212,28.5,3907501137,155,,,,,3ca7tqrdasmeop6ud9zot0wdl,Isi Palazón,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032385,3,1,1,0,5,6f27yvbqcngegwsg2ozxxdj4,0,31.8,20.6,2022-11-10T18:01:12.659Z,2022-11-11T02:23:13Z,3907802959,178,,3907501195,213,0.5,3907501187,56,Back,3907501191,141,28.1,3907501193,212,11.4,3907501189,140,41.5,,,,,,,cbym98g15egnbeda05mt3drrp,Kevin Vázquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032395,4,4,1,0,7,6f27yvbqcngegwsg2ozxxdj4,1,40.7,27.4,2022-11-10T18:01:14.214Z,2022-11-11T02:23:18Z,3907501255,265,,3907501257,286,,3907501249,13,,3907501261,233,9,3907501253,152,,3907501251,56,Back,,,,,,,64h0x8sur55l07oaiuog4v2z9,Carles Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
