id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId
2500995549,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-01-27T18:47:51.605Z,2023-01-27T19:57:49Z,3996960293,194,7xmaybxu4zd5k338bi3drkxcl,3996960289,130,21,3996960283,30,"agd2nhvdhp18dg1weape5olpl, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, adi6l78sdvet408eho4fi4xk9, cbhdq57m8kxdeqjf42z0i3rop, 6810qbng9pfg1bztczv11grmd, 6msjsxuolz1yhmongz6swkno5, 7xmaybxu4zd5k338bi3drkxcl, 92pz9nafg5h4qeqpiw3011ihh, d67qj0sakwrfzbscleo4dbget, e5qp6dh1prc55llew51zpy1gp, 5f8kjgsaabn2li5r7bvpebbsa, 2rqxh5mex336ci45jaw428y5l, bjzhwuehd7jzlbh04129h2w9h, 30jru4rizkqobfinh8o2jw92h, 8qvqdjw1d58mw7420lpmk7bah, cspjsye2x9pmnvdxjmghwnyi2, eyhvr45vc1n690dxobcthmndh, 7h0b81yjiiu356rycsakgd0yc, 4ypoy27moehhbiaf3o1bntht6, 4rhyoyjupe9nhrni7r9vyxre",3996960287,59,"25, 2, 14, 12, 23, 4, 22, 10, 17, 9, 7, 1, 5, 16, 19, 20, 21, 24, 26, 27, 35",3997161817,197,270,3996960291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996960285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3996960295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500996399,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-01-27T18:49:51.740Z,2023-01-27T20:16:33Z,3996964361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996964357,59,"13, 17, 15, 6, 19, 22, 5, 3, 16, 12, 10, 4, 7, 8, 9, 11, 14, 18, 20, 21, 23, 24, 25",3996964353,30,"c3secspt4xvu1q4g6aonn7zyt, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, 1htx8ub2kxvq0vnzarbrynyt, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 5rabxq8qyxf2q2ak506xim9rd, 6kpscy08tl4fkie4w4hl49n11, d1d3v27d4r6vme6n2w5umaacp, 3cu2brlp37h4u00mm5n4hb651, 63yktdky9m0aus8ebkaqzdhhx, 36lk52zhgyn11s1pax3y7wout, blvf8qsi6iy6ejyer58okyxka, 8zlr9xkh9dkt1pbw3w91uazmd, e6ok0deqkoe80184iu509gzu2, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 3flv9yp9x61ph57xugztva9nu, e53c7z5bdud6uycw32s3qgx9m, a5x0poaqzssg2yuou57qgyead, 1km9nvqz03yoj9cxpv127id7u, 9bbu1yne0l9j862yodiuldw4p, e3me5pr7zub5dbfqil1con59m",3996964359,130,4,3996964365,194,1htx8ub2kxvq0vnzarbrynyt,3996964355,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3997160833,197,287,3996964371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036967,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-01-27T20:01:03.341Z,2023-01-27T20:01:03Z,3997166869,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036981,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-01-27T20:01:03.341Z,2023-01-28T05:31:40Z,3997166925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036999,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,49.8,50.1,2023-01-27T20:01:03.342Z,2023-01-28T05:58:33Z,3997167053,212,14.4,3997750217,178,,3997167051,141,45.2,3997167057,279,S,3997167047,56,Back,3997167055,213,3.4,3997167049,140,36.5,,,,adi6l78sdvet408eho4fi4xk9,Vinicius Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501037003,4,1,1,0,2,c8llrezkm3b3op4afrou6b487,0,36.5,45.2,2023-01-27T20:01:05.874Z,2023-01-28T05:58:38Z,3997167091,1,,3997167087,212,42.3,3997167081,56,Center,3997167089,213,0.6,3997167083,140,70.7,3997167079,155,,3997750351,178,,3997167085,141,78.2,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501037007,3,8,1,0,4,cobffe32r7g4skka9m19qib63,1,30.5,20.4,2023-01-27T20:01:07.772Z,2023-01-28T05:58:43Z,3997750391,388,,3997167111,15,,3997709945,385,,3997167105,56,Back,,,,,,,,,,,,,3cu2brlp37h4u00mm5n4hb651,Léo Baptistão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501037017,4,5,1,0,6,cobffe32r7g4skka9m19qib63,0,18.2,-0.8,2023-01-27T20:01:09.794Z,2023-01-28T05:58:46Z,3997167149,56,Back,3997167151,347,,3997606937,233,5,,,,,,,,,,,,,,,,3cu2brlp37h4u00mm5n4hb651,Léo Baptistão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501037023,5,5,1,0,6,c8llrezkm3b3op4afrou6b487,1,81.8,100.8,2023-01-27T20:01:09.794Z,2023-01-28T05:58:46Z,3997167173,56,Left,3997167193,233,4,3997167175,347,,,,,,,,,,,,,,,,,cbhdq57m8kxdeqjf42z0i3rop,C. Montes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501037117,6,1,1,0,22,c8llrezkm3b3op4afrou6b487,0,80.6,100,2023-01-27T20:01:25.707Z,2023-01-28T05:58:49Z,3997167631,140,85.6,3997167637,213,4.9,3997167629,56,Center,3997167627,107,,3997167639,1,,3997167633,141,64.8,3997167635,212,25.4,,,,3nchjse4ej0qhilo395td7u1h,Brian Oliván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
