id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2484032349,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-11-10T18:01:04.279Z,2022-11-10T19:10:50Z,3907501035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907501031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907501025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3907501027,59,"25, 2, 14, 17, 24, 15, 4, 18, 19, 11, 16, 1, 3, 5, 6, 9, 13, 20, 21, 22, 29, 33, 43",3907501029,130,4,3907552725,197,1597,3907501033,194,5b1q9bpe23j98eoy4fwi7ld5h,3907501023,30,"20o2dr1mdk18xhxmkujzgak89, 8vmrboswsfyb5bfoq07s6susp, 5b1q9bpe23j98eoy4fwi7ld5h, 1bnn3tokzwvl4vvw34yxsq9gq, 5uig03vbbv71f0q31cp3vfbv9, csqsdjsa4leo6z86qphjuectm, b2e12l3s3dxgyr8d2rk5qb9ey, 9dc4qkvh0vk5kwymibji00kp, 7yieh5r0uzk6d6x9o060c2bfu, 9z3aqwq5swt9qklwnzuhqcogl, 7yngrviue4iji7w0f9ql07j6x, 23zkmpw4902qf9xvd8z5wptcl, f1e3gi3dx3er2vz7loriw6e39, 96w1jlcwuci7kqqfskfsp6191, e7del0ovpcpntqdgh8idxok4p, 5qgc6zjc38a5xjl35gs7h3vu1, bqrz2xmu25taby17bl7cycjqh, wlqj34ev5mucxtfx6j4tr9at, d6kzekcwqw0q8fq6wt6rmyusq, eiz5j566h4fq4wro1t9lfuw2x, 66fshzi5f86wt1lwa4kdhiooa, 6o76owze8y78ue9sb49g8kyz8, 10ajc7czhwojjz22cxokqkvf8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484032559,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-11-10T18:02:30.027Z,2022-11-10T19:10:47Z,3907502255,130,8,3907502251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3907542539,197,254,3907502249,30,"s96k2x2cts0vo6y6aaeui5zp, euy1s0xo19019kegzcpp1gez9, 3m7wjcmet9b8sc5tu0ct8j0et, 10f06nit2xupshuz4lmazrvth, 4hhuyat3grozmgba4f55zyajt, 1myo59ub6qouwvxpb699shhw5, 7hyo7fy8hospvlvtlfv7q73ai, 73efpm314q2paeacsvp4e8q8l, 8hn7wb9jf6unade238t4vl3o5, 75079gtd2efpviyo605ozsd79, 4jjk6jqgz3w4uvm3bvhl9t016, e5rlll2fvd9wsk40o6pztsc0l, dfytsnxfl78jnug9trsa9qv3d, 7rfcycybym05sbe0j1g6yhfx1, 4pizap25enja9rtz4g6x5bkd1, 5gtoi90sxc43mbsfxwfv7wzxl, 9226xt1t1m3fy4ob9l2r16609, 6w3xe5mva9ob36uf482xem85x, 9jxofpmrfh2lil77f9xj22kiy, emvmn561wgd62zj0s3qi5j5rd, 89ck0nb8xgzcjqt3puatxy5n8",3907502261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907502257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907502259,194,75079gtd2efpviyo605ozsd79,3907502253,59,"13, 23, 15, 14, 3, 6, 11, 5, 12, 10, 29, 2, 4, 16, 18, 21, 24, 25, 28, 33, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039817,2,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-11-10T19:02:38.914Z,2022-11-11T07:52:48Z,3907544651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039813,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-11-10T19:02:38.914Z,2022-11-10T19:02:39Z,3907544633,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039819,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,50,50,2022-11-10T19:02:38.916Z,2022-11-11T08:13:09Z,3907544663,279,S,3907544655,140,45.3,3907544653,56,Back,3907992089,178,,3907544661,213,3.3,3907544657,141,49.1,3907544659,212,5.0,,,,8hn7wb9jf6unade238t4vl3o5,Willian José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039825,4,1,1,0,1,ah8dala7suqqkj04n2l8xz4zd,1,46,47.2,2022-11-10T19:02:40.690Z,2022-11-11T08:13:15Z,3907992231,178,,3907544707,56,Back,3907544709,140,27.8,3907544713,212,23.5,3907544711,141,27.2,3907544715,213,3.8,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039835,5,1,1,0,4,ah8dala7suqqkj04n2l8xz4zd,1,28.1,33,2022-11-10T19:02:43.499Z,2022-11-11T08:13:19Z,3907544745,140,24.8,3907992359,178,,3907544747,141,72.6,3907544749,212,27.2,3907544743,56,Back,3907544751,213,1.7,,,,,,,4hhuyat3grozmgba4f55zyajt,Edgar González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039843,6,1,1,0,6,ah8dala7suqqkj04n2l8xz4zd,1,27.3,70.3,2022-11-10T19:02:45.682Z,2022-11-11T08:13:22Z,3907544793,140,8.7,3907992447,178,,3907544797,212,25.0,3907544799,213,3.8,3907544795,141,47.4,3907544791,56,Back,,,,,,,1myo59ub6qouwvxpb699shhw5,Víctor Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039847,7,1,1,0,10,ah8dala7suqqkj04n2l8xz4zd,0,8,45.8,2022-11-10T19:02:49.120Z,2022-11-11T08:13:26Z,3907544825,213,6.2,3907544821,141,42.5,3907544815,155,,3907992577,178,,3907544817,56,Back,3907544819,140,33.8,3907544823,212,27.2,,,,s96k2x2cts0vo6y6aaeui5zp,Rui Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484039849,3,1,1,0,11,ba5e91hjacvma2sjvixn00pjo,0,64.7,56.9,2022-11-10T19:02:50.656Z,2022-11-11T08:13:33Z,3907544831,56,Center,3907544835,141,58.5,3907544833,140,72.7,3907544829,3,,3907544839,213,0.1,3907992763,388,,3907544837,212,8.5,,,,1bnn3tokzwvl4vvw34yxsq9gq,Nico González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
