id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2476521515,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-10-23T17:37:33.157Z,2022-10-23T22:49:39Z,3867952305,30,"2e55g4q93y382cg7h0yk5rtud, 4q6kuikopbgls8y2rwqiu415h, bzgh5psb1janz9y3btpswngbu, calrbl0kagr6zgnw2l8k626s5, cscn06kwqfzo09h0dc5ybt1pl, 4ggz7e009bq3yltc9o6mifbah, eb3ci3a120om80v80mobsus8a, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, ckaqxlw257qzj8vjdumvwbaad, 4ftlhtels58lyzfluwofzwxuy, 3e8mxxfs5q7gt4lg2beqpkwyd, 9mfk2ditwuoto5dfthng9j2t, 308krssmz6irpfntht1ka78tm, 2szgrzcosfeifh664tgt3mfvt, 9i7lb16qty1t21bnc5h7skclx, 4o6f3mnd39fx700o3jvj0wct1, 4ct72ovumvt09au6gpulwpjv9, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 5kodjbsarkql4vhs126p2vhwq, 4ffmlhvbjvfjjnhr0byktvt62",3867952315,130,4,3867952311,59,"1, 20, 28, 5, 23, 24, 30, 21, 9, 7, 8, 2, 3, 10, 11, 17, 18, 19, 22, 26, 32, 36",3867952317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867952309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3868249487,197,16152,3867952323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867952319,194,calrbl0kagr6zgnw2l8k626s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476522905,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-10-23T17:39:25.252Z,2022-10-23T19:02:43Z,3867960519,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867960523,130,8,3867960517,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, e40eqhxzzid2chfyxph37tuxh, uzzq2p3s1qnb3wv1pee3mcph, cd5napttmwk5o9gxw3cbb4ted, 66jotyvbhtz5cjvhbby6luelm, 83n1qv6ypl625aolzjeqifv11, ddvvwqxpsqqboupi3gx1ijhed, 488vwilxllk6nhf4o1wrh0gve, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 9d5h5wxf44qu4fw3jk2pgis16, dfcbvsb7o18lavmonbp5ucwoa, 81png9xvfr224o03vaksp6aqd, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, v7isqpxiursyjhj5rmhyhjv9, 7x2c4pr7hvku5zp0dnjcpy0yy, aow6cahecmexgd5qxt3esmaxh, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816",3867960525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867960521,59,"1, 18, 17, 23, 5, 4, 11, 6, 9, 19, 7, 2, 3, 8, 10, 12, 13, 14, 15, 16, 22, 24, 31",3868254047,197,12043,3867960527,194,e9wu8g45hq2c1vp07jktx0set,3867960529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576225,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-10-23T19:02:17.315Z,2022-10-23T19:02:21Z,3868252699,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576189,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-10-23T19:02:17.315Z,2022-10-24T02:46:15Z,3868252525,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576219,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,49.9,50.1,2022-10-23T19:02:17.475Z,2022-10-24T03:17:19Z,3869199457,178,,3868252667,56,Center,3868252673,212,3.2,3868252675,213,5.6,3868252669,140,52.3,3868252671,141,47.2,3868252677,279,S,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576243,4,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,46.9,47.5,2022-10-23T19:02:20.475Z,2022-10-24T03:17:24Z,3868252771,212,10.9,3869199551,178,,3868252765,56,Back,3868252767,140,36.5,3868252773,213,3.1,3868252769,141,48.5,,,,,,,ezviixcyaaj162saxs2yl27s9,F. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576287,5,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,35.8,47,2022-10-23T19:02:22.620Z,2022-10-24T03:17:26Z,3868252991,141,20.9,3869199589,178,,3868252987,56,Back,3868252995,213,4.6,3868252989,140,34.7,3868252993,212,17.8,,,,,,,calrbl0kagr6zgnw2l8k626s5,Sergio Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576295,6,1,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,35.8,22.8,2022-10-23T19:02:27.247Z,2022-10-24T03:17:30Z,3868253025,56,Back,3868253031,212,9.7,3869199665,178,,3868253029,141,31.0,3868253033,213,0.6,3868253027,140,43.4,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,J. Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576303,7,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,43.4,31,2022-10-23T19:02:28.172Z,2022-10-24T03:17:36Z,3868253077,141,21.3,3868253079,212,10.8,3868253081,213,3.8,3868253073,56,Back,3869199761,178,,3868253075,140,35.3,,,,,,,calrbl0kagr6zgnw2l8k626s5,Sergio Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476576385,8,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,27.5,27.2,2022-10-23T19:02:31.368Z,2022-10-24T03:17:42Z,3868253471,141,42.7,3868253475,213,2.3,3868253469,140,18.2,3869199831,178,,3868253473,212,14.4,3868253467,56,Back,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,J. Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
