id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2503351963,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-02-03T18:44:21.525Z,2023-02-03T21:00:03Z,4009289655,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, aow6cahecmexgd5qxt3esmaxh, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, v7isqpxiursyjhj5rmhyhjv9, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, 8bpmnz5rz94ayk10hr0ekki51, e40eqhxzzid2chfyxph37tuxh, ebj1tatpfyuedmk2y40i393h1, 2blue4kkn5uryu76u55b3wp3o, 5kd57453a90zahgdxwkghr816",4009289663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009289665,194,81png9xvfr224o03vaksp6aqd,4009289661,130,7,4009289669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009289659,59,"1, 18, 17, 6, 3, 5, 11, 8, 22, 10, 7, 2, 12, 13, 14, 15, 16, 19, 21, 23, 24, 29, 31",4009289667,197,12043,4009289657,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503352951,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-02-03T18:47:40.103Z,2023-02-03T20:12:59Z,4009294747,194,7s0xu9z5egw0sjf8qibdwa6s5,4009294739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009294751,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009294737,30,"el98wqtf7w1ap9ei2bxqwtx3p, 91lln39q4rzbp8z000p0evn4l, 2qauzcv74cd8uqfv2ibl52ymt, 9wozklkj2p3a83j51p27a59ed, 6pfbtlfphouu35kbwjiavwgyd, 4ktnru3pqurww9h9af7n2959l, bpvxqbiu11k4ivohi3798kxxx, bmmahw4ww36w4tokk3xhvvvmd, aziqdd6dqjjgr6ifmzve0cz4l, 7s0xu9z5egw0sjf8qibdwa6s5, 92b22xcwri3rokbvu09htjhwq, 2vvr0pc9xgoiq1pmxpjysyr8q, wwdfv8zkkgplnpbz12pv8frp, 3ia1z3fooszynz9a81dn17oid, cn3ocv5r0d0un0no4wlxl5y39, dbj7ww9wogmp0dod5aj4ys0a2, 2gaojeqbhh6oj3ao7b3nxxx0q, 1jffh172t15s6ws7nou0fc251, d2z22er0uqxu3w3h3ta36wh61, 8h6je56fe74djcd3va7iq6yhg, 43f089ah382y8v0hnd83zjiay",4009294749,197,1511,4009294743,130,7,4009294745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009294741,59,"1, 20, 22, 3, 23, 5, 10, 17, 15, 8, 14, 2, 7, 9, 11, 12, 16, 19, 21, 26, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503397887,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-02-03T20:00:54.494Z,2023-02-03T20:00:57Z,4009528741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503397881,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-02-03T20:00:54.494Z,2023-02-04T09:26:08Z,4009528699,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503397919,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.2,49.7,2023-02-03T20:00:54.532Z,2023-02-04T12:07:33Z,4009528881,279,S,4009528877,212,11.5,4010630057,178,,4009528879,213,3.0,4009528875,141,52.3,4009528873,140,39.4,4009528871,56,Back,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503397935,4,1,1,0,1,3czravw89omgc9o4s0w3l1bg5,1,39.4,52.7,2023-02-03T20:00:56.446Z,2023-02-04T12:07:37Z,4009528969,140,52.9,4009528977,213,6.0,4010630313,178,,4009528975,212,14.8,4009528973,141,46.4,4009528967,56,Center,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503397963,5,1,1,0,3,3czravw89omgc9o4s0w3l1bg5,1,53.1,46.4,2023-02-03T20:00:57.518Z,2023-02-04T12:07:41Z,4010630559,178,,4009529127,212,4.6,4009529121,56,Center,4009529123,140,51.9,4009529125,141,52.9,4009529129,213,1.8,,,,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503397993,6,1,1,0,3,3czravw89omgc9o4s0w3l1bg5,0,51.9,52.9,2023-02-03T20:00:58.379Z,2023-02-04T12:07:44Z,4009529279,1,,4010630811,178,,4009529273,141,6.2,4009529275,212,44.8,4009529267,155,,4009529271,140,82.0,4009529269,56,Right,4009529277,213,5.5,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503623571,1023,67,1,0,7,82q9159y2u7mkfn3z6hy75r4o,1,17.5,92.9,2023-02-03T20:01:01.539Z,2023-02-04T13:18:18Z,4010714045,233,824,,,,,,,,,,,,,,,,,,,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503623565,824,67,1,0,7,3czravw89omgc9o4s0w3l1bg5,0,82.5,7.1,2023-02-03T20:01:01.540Z,2023-02-04T12:33:26Z,4010714063,233,1023,,,,,,,,,,,,,,,,,,,,,,66jotyvbhtz5cjvhbby6luelm,Nico Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
