id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2498904219,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2023-01-20T18:53:38.655Z,2023-01-20T20:18:09Z,3985996839,59,"1, 15, 18, 2, 21, 24, 14, 12, 7, 4, 23, 3, 6, 8, 9, 10, 13, 16, 17, 20, 22, 29, 31",3985996837,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3986147081,197,348,3985996845,194,9dewnn65ylruq567thg7ebqhh,3985996847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985996835,30,"6ekdnbnk56xlxforb5owt3dn9, 22dchchxwrsty67ultrs61qz9, 9ej7t1srxjcxe5p627eumn6d, dtuwn06lnvxugaj637i553r2t, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 9e7b5cm66oxf26fmp33yuppsl, baax58gbtxlbuj3duulpms4q1, 3pwr7lqvo4o08c4nvzqpuue39, 7ubtan6a51o79w469zawrqqqd, 3j66drshfcoje5wb7gjybi9qt, esk1w6ycz34w1r3te22shohrd, 3n66mcws9belxbv3pu5uwhfu2, 3h58t56r9if0oh4qd3gz1wfrp, 2wdjbfzaiokiawrbn5wzsx61h, 2td3iejdken4orcduqrdutrhm, 4sz26vstr6b7b110eri7f42jt, 4uuvyzac4sd4ysjpv9eng1d5h, bfphipc0ydemnv7p3kib5r7qh, 9n447dc5s8na89g3ovx9zvbv9, ec26i7ddimq76bit2zz8fbsnp, ew9uk1caw2zx4qkxj3vb02kx6, 5qh2kdatvb03o8oiqvkaaxje2",3985996841,130,11,3985996843,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498904833,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-01-20T18:56:06.341Z,2023-01-20T20:53:14Z,3986000499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986000497,194,7k2alak95p1u2ysftwwiaqsid,3986146341,197,279,3986000493,130,10,3986000487,30,"c1b9p5bk8hfyw0bi6thva0lw5, 7k2alak95p1u2ysftwwiaqsid, 5ez2huoeh2g3ijpgr7m15lg5, e8s9ssopq5nmp51zymvqp8jbp, 3qrk8nw6nc8o96n7jr1az21ux, c3sl9ajm4q424r4u37iath3hl, 37b6tzaexinmfadvi4you5wmi, e3czx0nsuw10acnftbr8ud0bt, cs2yx3hiqjsb4i5ul2r5kmdat, 2ge9oa66xgsefhhpvuboua76x, 1lym8zscp7l8icay2cya7cauh, ea5xlslcii56ycrlmyo6uiimt, 64h0x8sur55l07oaiuog4v2z9, 2aumz6rtq4ufba7z7zn5v8frp, 59ndqnsvggsoek170rdqyd1w5, 9g4devlvymukexrvfgkipd6tx, 40gxfsz7bgrkdudqewlpxzyzt, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, adwkydlkclg8u72rxh51lvkyd, 3sy16pz110zmyq073ao24l1ck, 9ksvo095xi2t4q4pvgxa836z8, bv6u6k40izwaoyzyahynyfqax",3986000489,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3986000491,59,"1, 2, 11, 4, 15, 3, 24, 8, 10, 18, 23, 5, 7, 9, 13, 14, 17, 19, 20, 21, 26, 35, 36",3986000495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932873,2,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2023-01-20T20:01:15.064Z,2023-01-21T03:45:53Z,3986150287,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932851,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-01-20T20:01:15.064Z,2023-01-20T20:01:15Z,3986150213,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932871,3,1,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,50,50,2023-01-20T20:01:15.399Z,2023-01-21T05:14:24Z,3986150275,140,36.3,3986150279,212,14.5,3986150277,141,52.2,3986648005,178,,3986150281,213,3.0,3986150273,56,Back,3986150283,279,S,,,,2ge9oa66xgsefhhpvuboua76x,J. Strand Larsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932887,4,1,1,0,2,6f27yvbqcngegwsg2ozxxdj4,1,36.8,47.4,2023-01-20T20:01:17.885Z,2023-01-21T05:14:28Z,3986150353,56,Back,3986150357,140,33.3,3986150363,212,17.1,3986648131,178,,3986150361,141,22.9,3986150365,213,4.5,,,,,,,e3czx0nsuw10acnftbr8ud0bt,Fran Beltrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932911,5,1,1,0,5,6f27yvbqcngegwsg2ozxxdj4,1,33.9,23.9,2023-01-20T20:01:20.751Z,2023-01-21T05:14:31Z,3986150453,140,30.6,3986150451,56,Back,3986150461,213,1.7,3986150459,212,26.3,3986648205,178,,3986150457,141,62.3,,,,,,,c3sl9ajm4q424r4u37iath3hl,Óscar Mingueza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932923,6,1,1,0,10,6f27yvbqcngegwsg2ozxxdj4,1,34.3,64.5,2023-01-20T20:01:25.646Z,2023-01-21T05:14:35Z,3986150491,140,28.1,3986150489,56,Back,3986150493,141,44.8,3986150497,213,4.3,3986648307,178,,3986150495,212,14.9,,,,,,,e8s9ssopq5nmp51zymvqp8jbp,Unai Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932951,7,1,1,0,12,6f27yvbqcngegwsg2ozxxdj4,1,28.6,41.5,2023-01-20T20:01:27.625Z,2023-01-21T05:14:39Z,3986150615,141,22.7,3986648365,178,,3986150619,213,5.0,3986150617,212,13.2,3986150613,140,31.8,3986150611,56,Back,,,,,,,3qrk8nw6nc8o96n7jr1az21ux,J. Aidoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498932971,8,1,1,0,16,6f27yvbqcngegwsg2ozxxdj4,1,30.6,23.4,2023-01-20T20:01:31.848Z,2023-01-21T05:14:41Z,3986150715,140,13.9,3986150719,212,24.1,3986150717,141,47.8,3986648409,178,,3986150713,56,Back,3986150721,213,2.4,,,,,,,c3sl9ajm4q424r4u37iath3hl,Óscar Mingueza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
