id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,keyPass,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/19/value,qualifier/20/value
2457908969,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-09-10T12:59:17.320Z,2022-09-10T14:29:51Z,3769107349,130,8,3769107355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769107347,59,"25, 2, 14, 12, 24, 4, 7, 20, 9, 10, 17, 1, 5, 6, 8, 13, 19, 21, 26, 27, 28, 31",3769107351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769107353,194,6810qbng9pfg1bztczv11grmd,3769107343,30,"agd2nhvdhp18dg1weape5olpl, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, adi6l78sdvet408eho4fi4xk9, eyhvr45vc1n690dxobcthmndh, 6810qbng9pfg1bztczv11grmd, e5qp6dh1prc55llew51zpy1gp, 8qvqdjw1d58mw7420lpmk7bah, d67qj0sakwrfzbscleo4dbget, 7xmaybxu4zd5k338bi3drkxcl, 92pz9nafg5h4qeqpiw3011ihh, 5f8kjgsaabn2li5r7bvpebbsa, 2rqxh5mex336ci45jaw428y5l, 74wjzeja92l4q8fpy1bkmcsfd, 91te5xuankrla4g3s7as3htxx, 6wfwy94p5bm0zv3aku0urfq39, 30jru4rizkqobfinh8o2jw92h, cspjsye2x9pmnvdxjmghwnyi2, 7h0b81yjiiu356rycsakgd0yc, 4ypoy27moehhbiaf3o1bntht6, 6gy8t82tqi12q2odz974xcbh0, e81bgheozbhng9yfmqss1jbl6",3769107345,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769465667,197,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457911223,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2022-09-10T13:03:11.504Z,2022-09-10T14:29:59Z,3769118811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769118807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769118803,59,"13, 30, 19, 20, 6, 29, 15, 8, 17, 22, 21, 2, 3, 4, 5, 7, 10, 11, 12, 14, 16, 18, 31",3769118805,130,8,3769466385,197,16015,3769118809,194,65osnocfqxv6mmpb69hm446ad,3769118801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769118799,30,"c9cp6fxbxyc2a3kfotkompxx, 6jq376l673aizjxxhhos2j52i, djal5dsafpnhip4lu0ait94np, 65osnocfqxv6mmpb69hm446ad, 6vvwhgic29fekmmj2cg62ytp1, 9nwkxgbl8t933pzu60ye4xxxw, 4bbqmasyopxoymo4umcxd4e09, 8ycvfctf7c3yljnbtltsogkph, 7exng93jyar5is4fa64r9bhzp, 45s1v9805id09m5zkcylueod1, 8n4f10q0l2wjhhfdkpp8kfzdh, 1y74tse0vpdxanxf152cc8jjd, asweknp9d99safr6p9va75h3p, b25dws1pbgbxuwt09of8xpe51, bpprd2haoafk6y0rjans4iytx, 5c4ku1hmhy6l9dq8a5jp1qf9x, depu0zp8jqcyv0jzf5r9yums5, 7atmb373dynu9s9gnl613ox5h, 4sojot9t32l4a6fm3e39xkcfd, 2lwjtphx3bkjty9sds520l1ey, 2mg2n8e1d83gbeykfwzz0fumt, 4gqnyyx3i92fayq6cxvekqwut, 944mc5icxdleh4kvaamvpa9zo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457982857,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-09-10T14:15:37.790Z,2022-09-11T03:25:06Z,3769486615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457982905,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2022-09-10T14:15:37.790Z,2022-09-10T14:15:39Z,3769486805,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457982923,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,49.9,50.1,2022-09-10T14:15:37.856Z,2022-09-11T04:13:06Z,3769486927,212,19.3,3769486915,56,Back,3769486935,279,S,3769486933,213,2.7,3769486923,141,62.7,3772235763,178,,3769486919,140,33.4,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457982991,4,1,1,0,3,c8llrezkm3b3op4afrou6b487,1,33.3,63,2022-09-10T14:15:41.044Z,2022-09-11T04:13:06Z,3769487215,140,74.3,3769487223,213,5.6,3769487213,56,Right,3772235767,178,,3769487217,141,11.3,3769487227,1,,3769487211,155,,3769487219,212,55.6,6810qbng9pfg1bztczv11grmd,L. Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457983001,5,44,1,0,6,c8llrezkm3b3op4afrou6b487,1,71.6,17.3,2022-09-10T14:15:44.181Z,2022-09-11T07:44:30Z,3769487277,286,,3769487291,233,3,3769487271,56,Right,,,,,,,,,,,,,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457982985,3,44,1,0,6,10eyb18v5puw4ez03ocaug09m,0,28.4,82.7,2022-09-10T14:15:44.182Z,2022-09-11T04:13:12Z,3769487185,285,,3769487183,56,Back,3769487315,233,5,,,,,,,,,,,,,,,,65osnocfqxv6mmpb69hm446ad,Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457983043,6,1,1,0,6,c8llrezkm3b3op4afrou6b487,1,75.7,11.6,2022-09-10T14:15:44.223Z,2022-09-11T07:44:31Z,3769487487,140,99.2,3769487483,56,Right,3769487479,3,,3769487491,212,25.4,3772236013,388,,3769487489,141,2.5,3769487493,213,6.0,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457983047,7,61,1,0,10,c8llrezkm3b3op4afrou6b487,0,99.2,2.5,2022-09-10T14:15:47.855Z,2022-09-11T04:13:27Z,3772236277,178,,3769487517,56,Right,,,,,,,,,,,,,,,,,,,e5qp6dh1prc55llew51zpy1gp,Javi Puado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
