id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value,qualifier/14/value,qualifier/18/value
2461355445,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-09-17T17:46:24.949Z,2022-09-17T19:02:19Z,3787765133,197,12043,3787424989,130,8,3787424991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787424995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787424983,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, v7isqpxiursyjhj5rmhyhjv9, 1rjzsyc8yt25tyelzg820if2t, uzzq2p3s1qnb3wv1pee3mcph, cd5napttmwk5o9gxw3cbb4ted, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, ddvvwqxpsqqboupi3gx1ijhed, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 3tzvbdszdrj1tayik9igbve8l, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, e40eqhxzzid2chfyxph37tuxh, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",3787424993,194,81png9xvfr224o03vaksp6aqd,3787424985,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3787424987,59,"1, 18, 15, 14, 5, 4, 11, 8, 9, 10, 7, 2, 12, 16, 19, 20, 21, 22, 23, 31, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461357383,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-09-17T17:48:41.766Z,2022-09-17T19:08:43Z,3787750513,197,257,3787436507,194,676ehh6cwla4o9igey7qr1uqd,3787436505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787436499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3787436503,130,8,3787436501,59,"1, 20, 3, 6, 19, 5, 7, 23, 34, 8, 18, 2, 4, 9, 10, 11, 13, 16, 17, 21, 22, 24, 28",3787436497,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, b5rea5r4h8bclpenau2au142x, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, 8onruhr4es313aq52xsl7nxlh, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 8oc3lpz3xttrnwxk1fnnv7owl, 1p5trokpmvi15fii87mrawkb9, a045sz2acqbfgyq9puwsu8sx6, 9xwog4v0ij8m1vs7doi52li39, lp63o37czdwete0smmu62k89, u04ao1ldrjjesgqq52o7ghqt, 1ho7koiegfhsuevuum2meibu2, 9zgqiq6ksmits5apgsfk2yyfp, c3rreq5bz6smx1ynf9zsune1h, e50ehbl0rdfs4ms26jtz1pic4",3787436509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413541,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-09-17T19:00:59.355Z,2022-09-17T22:17:08Z,3787760715,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413535,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-09-17T19:00:59.355Z,2022-09-17T19:00:59Z,3787760675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413565,3,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,50.1,49.5,2022-09-17T19:00:59.366Z,2022-09-18T04:06:20Z,3787760841,141,57.1,3789121147,178,,3787760843,212,20.9,3787760845,213,2.9,3787760847,279,S,3787760839,140,30.8,3787760837,56,Back,,,,1bdnkqbxm2u5ror7ipig5m73e,Sergio Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413575,4,1,1,0,1,3budh3j9xivsid3ptm8ptpy4k,1,32,61.8,2022-09-17T19:01:01.229Z,2022-09-18T04:08:49Z,3787760913,213,1.4,3787760909,141,88.8,3789124937,178,,3787760911,212,18.5,3787760905,56,Back,3787760907,140,34.5,,,,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413605,5,1,1,0,4,3budh3j9xivsid3ptm8ptpy4k,1,35.3,87.4,2022-09-17T19:01:03.975Z,2022-09-18T04:08:52Z,3787761089,213,4.3,3787761081,56,Back,3787761083,140,26.6,3789125027,178,,3787761087,212,21.0,3787761085,141,59.6,,,,,,,39c5g6782qlrtw55fsre7exnt,Fran García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413647,6,1,1,0,7,3budh3j9xivsid3ptm8ptpy4k,0,25.8,53,2022-09-17T19:01:06.879Z,2022-09-18T04:08:54Z,3789125075,178,,3787761291,212,50.3,3787761289,141,0.0,3787761293,213,5.5,3787761285,56,Right,3787761287,140,58.5,3787761295,1,,3787761283,155,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413691,3,5,1,0,10,3czravw89omgc9o4s0w3l1bg5,1,42,101.2,2022-09-17T19:01:09.978Z,2022-09-18T04:09:05Z,3787761605,56,Back,3787761607,347,,3787761613,233,7,,,,,,,,,,,,,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461413649,7,5,1,0,10,3budh3j9xivsid3ptm8ptpy4k,0,58,-1.2,2022-09-17T19:01:09.978Z,2022-09-18T04:09:06Z,3787761301,56,Right,3787761625,233,3,3787761303,347,,,,,,,,,,,,,,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
