id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2534100123,1,34,16,0,0,634fcc7n5o5gzu05biddx8yl0,1,0,0,2023-04-15T21:50:57.743Z,2023-04-20T14:33:05Z,4192803505,194,exgvhzo1zgo07og3rsnjv13v9,4192803501,130,4,4192803509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192803507,197,18970,4192803499,59,"1, 4, 17, 8, 5, 3, 2, 16, 13, 9, 11, 10, 12, 14, 18, 19, 20, 21",4192803497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4192803495,30,"exgvhzo1zgo07og3rsnjv13v9, 806pkt95hg0ms9mto4lwxb8tm, 6zuton58biybp7ge3mpc17alm, anec469hnc54shicrlx8sxbtg, 8kns4h4wg2l8mffkoqskem25m, cusim5b0lb4yc0sz00d7is73d, 41fep3jlo1ieyq9hvpmsl6wvd, 3176i3h6iv1ufsp88prhhmjqi, 5di2c0qb50rnlk4z4nny6gwes, 4v13dz2g71gh5i527t347shyh, 2bwli6laejcfs9eb6euey2lbe, 8mte9if061bfau2q60ymimz11, 3gehuzr276abauitwc8y8imi2, aetqb3if6nycr8al4og7j1vro, vthth1ethpr5tlxv2ps28vai, e2o2n3ndnjcp5llg2eza9p10q, dkbyw8xpizsdtltkrl9hfkk5w, 329zq0wkx93wk0lud0vtu661g",4192803503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534101423,1,34,16,0,0,b3436h8h14zw7f1uv6w9vqf6y,1,0,0,2023-04-15T21:54:26.453Z,2023-04-15T23:05:10Z,4192811507,194,7i19hu44byapft1lpm3okbb3d,4192811509,197,18967,4192811501,59,"1, 2, 5, 28, 55, 26, 11, 20, 9, 34, 23, 4, 7, 10, 13, 14, 21, 30",4192811505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4192811503,130,8,4192811511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192811497,30,"7dfcfaazbxla16jrf8obs3e5m, 4v4eoxj7vw4vlmtm861f1jcdm, cfzh3fx4nfa8p2mb4qx45iooa, 4x9j9kpa9vap3r780lx9ty2ju, 79pboh9mzuchik3r2027wntgp, br7fuyg4h8gseboweg8wjujft, 7i19hu44byapft1lpm3okbb3d, dryx6vgko76wuqqr4g9pjl4ru, 9wsm9vzab3uywb8rox5go6jxm, 622w13rktz2os2jlo286col3p, 4lpxjj4vf8682i2x537r9bu5m, 57rmged1g2kuhfzlg0zyjx84q, eojxqfdewy3jdl9h3nb5d6ui1, eahe0hwh6qh420q4qax90pmju, 7vn8g8wlm99npne5i8fwv3vft, 1vqyhq0tm2gpjfo8pxf319vro, d246qvrmnc1mi2clu1dzaqelm, d8bgwehlzofnjto4m919q3aj8",4192811499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127409,2,32,1,0,0,b3436h8h14zw7f1uv6w9vqf6y,1,0,0,2023-04-15T23:07:16.949Z,2023-04-20T14:24:52Z,4192949177,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127405,2,32,1,0,0,634fcc7n5o5gzu05biddx8yl0,1,0,0,2023-04-15T23:07:16.949Z,2023-04-15T23:07:17Z,4192949165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127425,3,1,1,0,0,634fcc7n5o5gzu05biddx8yl0,1,49.7,49.7,2023-04-15T23:07:17.049Z,2023-04-15T23:07:20Z,4192949301,279,S,4192949293,140,33.2,4192949295,141,38.9,4192949291,56,Back,4192949299,213,3.5,4192949297,212,18.8,,,,,,,3176i3h6iv1ufsp88prhhmjqi,E. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127439,4,1,1,0,3,634fcc7n5o5gzu05biddx8yl0,0,32.7,39.5,2023-04-15T23:07:20.432Z,2023-04-15T23:07:22Z,4192949383,157,,4192949393,213,0.4,4192949391,212,48.5,4192949385,56,Center,4192949395,1,,4192949389,141,69.3,4192949387,140,74.7,,,,41fep3jlo1ieyq9hvpmsl6wvd,K. Chung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127455,3,1,1,0,6,b3436h8h14zw7f1uv6w9vqf6y,0,19,24.9,2023-04-15T23:07:22.996Z,2023-04-15T23:07:24Z,4192949461,3,,4192949471,212,24.9,4192949465,140,42.7,4192949467,141,22.6,4192949473,213,6.2,4192949463,56,Back,,,,,,,79pboh9mzuchik3r2027wntgp,A. Didic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127465,5,1,1,0,8,634fcc7n5o5gzu05biddx8yl0,0,59.9,68.5,2023-04-15T23:07:25.632Z,2023-04-15T23:56:49Z,4192949521,3,,4192949525,140,65.5,4192949527,141,82.1,4192949529,212,11.0,4192949531,213,1.0,4192949523,56,Left,,,,,,,3176i3h6iv1ufsp88prhhmjqi,E. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127467,4,8,1,0,10,b3436h8h14zw7f1uv6w9vqf6y,1,32.9,6.4,2023-04-15T23:07:27.177Z,2023-04-20T14:36:32Z,4192949533,56,Back,4204458745,384,,,,,,,,,,,,,,,,,,,,4v4eoxj7vw4vlmtm861f1jcdm,G. Mukumbilwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534127473,5,49,1,0,11,b3436h8h14zw7f1uv6w9vqf6y,1,59,6.4,2023-04-15T23:07:28.249Z,2023-04-15T23:07:36Z,,,,,,,,,,,,,,,,,,,,,,,,,9wsm9vzab3uywb8rox5go6jxm,E. Ongaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
