id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2541130113,1,34,16,0,0,dn8tjhuq0bax4dgixqvluhzze,1,0,0,2023-04-29T20:08:05.369Z,2023-04-29T21:32:49Z,4237134921,59,"29, 14, 91, 5, 4, 20, 17, 11, 18, 10, 7, 1, 3, 16, 19, 22, 23, 30",4237134927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4237134935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4237134915,30,"ex7za2yvl9xrcdtr60ake2bit, 8texi81doeqhy7eu6fnhrstbe, 9npz0ye67lc40mesoy321cw0k, 8vi59v87nnquzkbk79kzegmzu, 58i2hjymxpqbymprh7c48t1qs, dmtvb8s8dfgy8gjz583lauuol, b2fxe6y0xulg212cls9zrp6mt, 83d29e64znddf9kkyo62u4g6h, 5ggjixg89r56xz7skcr1v9rf8, 7ao58e6608lb8eu3dmk17jisp, bfjcp5933vk1i5edea8un89re, a4vocop6icezy6ib6syi2ax9l, 7ve669rgfnl2vbnfbxph79ih, al5jt5ntx6alvfvo3tq1py6i2, 6oy4mzcnojabnil6u43mxal4a, 4qii6ycyfpukpd538kwp1fms4, ahgc93f1ar17qy1sxhb74b09g, 8vp11oeb0zdxnecv79eprj6dw",4237134925,130,13,4237134931,194,b2fxe6y0xulg212cls9zrp6mt,4237134917,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4237420443,197,8074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541132083,1,34,16,0,0,cqthcpums3aas2tdy0qhlkuwa,1,0,0,2023-04-29T20:10:13.918Z,2023-04-29T21:33:17Z,4237144495,130,8,4237144493,59,"1, 2, 43, 10, 7, 32, 16, 33, 9, 18, 11, 8, 22, 23, 24, 70, 77",4237421893,197,11588,4237144491,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4237144497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4237144499,194,207co3fpu5mhbs1r0e6p8vze1,4237144489,30,"207co3fpu5mhbs1r0e6p8vze1, 1qu7igozcqji1b93u23ezh68l, 1rskobs1g7sask1vble87jpwp, bmegw740jz7qramlatlpmv4h6, upib1k4jf41nogwoduyqpw4p, dr544s11qpyo2mg32cvq6g6vp, 6v3jzhrpgs47rzoyw6b8lz6ui, 334ys3md0ycavngg26g75yi21, bri3rn6ch0k8k4q9mpjc8q19l, cfffc2qdknupbftpqye1cbf1l, 4o8pclxdsb5lhx1efsoveoqhg, 5m5p9c4iyl4f4j1rr1rdmojfu, b6aw65sbptx2dlqsfx64x59m1, 6hmakiuv72jj9hoda4coem978, 3y5rrahty1k0l1hnww3bcozmy, 38531j1ng4edd1ji3h9p1zk7o, al01z7ktb0uboh3lgf2v84844",4237144501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169541,3,32,1,0,0,cqthcpums3aas2tdy0qhlkuwa,1,0,0,2023-04-29T21:07:44.341Z,2023-04-29T21:07:46Z,4237349789,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169537,3,32,1,0,0,dn8tjhuq0bax4dgixqvluhzze,1,0,0,2023-04-29T21:07:44.341Z,2023-05-05T13:13:31Z,4237349787,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169563,4,1,1,0,1,dn8tjhuq0bax4dgixqvluhzze,1,49.9,49.9,2023-04-29T21:07:45.881Z,2023-05-05T13:16:49Z,4237349891,140,38.7,4237349899,279,S,4237349897,213,3.8,4237349889,56,Back,4237349893,141,36.4,4237349895,212,14.9,,,,,,,5ggjixg89r56xz7skcr1v9rf8,S. Salter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169571,5,1,1,0,3,dn8tjhuq0bax4dgixqvluhzze,1,38.7,36.4,2023-04-29T21:07:48.325Z,2023-05-05T13:19:43Z,4237349951,140,18.6,4237349957,213,3.5,4237349955,212,22.4,4237349953,141,25.3,4237349949,56,Back,,,,,,,,,,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169611,6,1,1,0,5,dn8tjhuq0bax4dgixqvluhzze,1,19.5,24.2,2023-04-29T21:07:49.925Z,2023-04-29T21:07:53Z,4237350129,213,1.3,4237350127,212,15.5,4237350125,141,46.1,4237350121,56,Back,4237350123,140,23.5,,,,,,,,,,dmtvb8s8dfgy8gjz583lauuol,K. Ouimette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169627,7,1,1,0,9,dn8tjhuq0bax4dgixqvluhzze,1,23.5,46.1,2023-04-29T21:07:53.717Z,2023-04-29T21:07:56Z,4237350243,56,Back,4237350249,212,25.2,4237350247,141,82.4,4237350245,140,28.1,4237350251,213,1.4,,,,,,,,,,58i2hjymxpqbymprh7c48t1qs,Diego Espejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169639,8,1,1,0,11,dn8tjhuq0bax4dgixqvluhzze,1,28.1,82.4,2023-04-29T21:07:56.149Z,2023-04-29T21:56:50Z,4237350307,140,24.8,4237350309,141,63.6,4237350311,212,13.2,4237350305,56,Back,4237350313,213,4.4,,,,,,,,,,8vi59v87nnquzkbk79kzegmzu,L. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541169649,9,1,1,0,12,dn8tjhuq0bax4dgixqvluhzze,1,24.8,63.6,2023-04-29T21:07:57.045Z,2023-04-29T21:07:58Z,4237350355,56,Back,4237350367,213,4.6,4237350361,141,41.5,4237350365,212,15.2,4237350357,140,22.7,,,,,,,,,,58i2hjymxpqbymprh7c48t1qs,Diego Espejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
