id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/17/value
2541930455,1,34,16,0,0,41ewt71n8fqwy6trsqta1bjvu,1,0,0,2023-04-30T19:52:49.382Z,2023-04-30T21:13:01Z,4241551693,197,5960,4241379447,130,8,4241379443,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4241379451,194,7tmc8hrkee4lo05qa26i7e5zp,4241379453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241379449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4241379445,59,"1, 33, 11, 8, 4, 15, 7, 6, 9, 20, 22, 2, 10, 14, 21, 24, 28, 30",4241379441,30,"7tmc8hrkee4lo05qa26i7e5zp, cseaof8mo75i2fufyg0b4bpat, 79xw5l1zq2huxdmeod9t19nmd, 7gi5lm8v10m3ivddvn8qqzk2y, 246l8ttdytxycwsbi5sg12ei, dor6no6z7dbc7npkodv27kne2, cbw3da3l9qi13ludkt9181z9x, g2i7tap1jusx5t2mnbfbns2d, 1ifq6ok0spehvrr4lndlhxotl, eoiimmhy0bdg3guq88jihpyol, 7tednz7d4xzxjpuqct8iyttjp, 8e41frophez1otbzaamqxzip6, 6re26cen7xbrynezb3rerst05, es1eiexpors419nbnzftx2cix, b9n2wm81qim3l5wm7fz7a4avo, nska6xtrvs8qgob92syv0296, 4nvf04b997gxvn5gozwgln9qs, 3niwormbgvkj2x3pt0paovwgk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541933691,1,34,16,0,0,dd2vf0yzjm7jm7cak9tf11sa2,1,0,0,2023-04-30T20:01:15.789Z,2023-04-30T21:14:44Z,4241395865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",4241551627,197,5957,4241395871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",4241395875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241395869,130,4,4241395873,194,16q3kpp7uxqjn9993xd5woauh,4241395867,59,"99, 2, 22, 8, 4, 18, 6, 20, 23, 24, 7, 1, 9, 10, 11, 19",4241395863,30,"dbqcata2hskqhcvjkjhagy4bu, 98ajoa650l9wzwuur2ibzo6ad, f1qvh9qszr743tj8zb3kcvaei, 16q3kpp7uxqjn9993xd5woauh, 57t8thjgk0yh4fv88sqx9woh5, 6twhs1y8bihm7vc9dib8hgezt, bewzox1rnh1n28tkj5k0rmrqh, cq7i3ngn9thp8ynf3814qvqlm, 32fe58rlsvv1h3qthbhol08yy, ch01b74i78nggnffi81875ld6, bh0eekb0i654fo4nc758x2gh5, c66pilmwi4n4017fvo7k7z04q, 77bwgkpu6tylbyfvuwdzoek15, 2js282vjcudwck84w18f2h8t1, 2v0jla46uu3zrm9x85xrewt90, 6pykfzny3p5wan8bgzd41fh90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962407,2,32,1,0,0,dd2vf0yzjm7jm7cak9tf11sa2,1,0,0,2023-04-30T21:09:00.617Z,2023-04-30T21:09:02Z,4241557185,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962403,2,32,1,0,0,41ewt71n8fqwy6trsqta1bjvu,1,0,0,2023-04-30T21:09:00.617Z,2023-05-05T10:53:07Z,4241557167,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962429,3,1,1,0,1,41ewt71n8fqwy6trsqta1bjvu,1,49.8,50.1,2023-04-30T21:09:01.809Z,2023-05-05T10:53:31Z,4241557303,213,3.6,4241557295,56,Back,4241557301,212,19.7,4241557297,140,32.8,4241557299,141,38.0,4241557305,279,S,,,,,,,eoiimmhy0bdg3guq88jihpyol,J. Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962467,4,1,1,0,3,41ewt71n8fqwy6trsqta1bjvu,1,32.5,40.1,2023-04-30T21:09:04.094Z,2023-04-30T21:09:09Z,4241557493,56,Left,4241557503,1,,4241557497,141,92.3,4241557499,212,52.1,4241557501,213,0.7,4241557491,155,,4241557495,140,68.8,,,,246l8ttdytxycwsbi5sg12ei,D. Klomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962469,5,44,1,0,7,41ewt71n8fqwy6trsqta1bjvu,1,70.6,93.4,2023-04-30T21:09:08.223Z,2023-04-30T22:05:13Z,4241557509,56,Left,4241557511,286,,4241557529,233,3,,,,,,,,,,,,,,,,1ifq6ok0spehvrr4lndlhxotl,M. Bevan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962457,3,44,1,0,7,dd2vf0yzjm7jm7cak9tf11sa2,0,29.4,6.6,2023-04-30T21:09:08.224Z,2023-04-30T22:11:27Z,4241557451,56,Back,4241557455,285,,4241557535,233,5,,,,,,,,,,,,,,,,bewzox1rnh1n28tkj5k0rmrqh,D. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962477,6,1,1,0,9,41ewt71n8fqwy6trsqta1bjvu,0,68.8,92.3,2023-04-30T21:09:10.126Z,2023-04-30T22:05:15Z,4241557549,56,Left,4241557557,213,5.3,4241557553,141,81.2,4241557547,3,,4241557555,212,9.0,4241557551,140,73.4,,,,,,,1ifq6ok0spehvrr4lndlhxotl,M. Bevan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962495,4,1,1,0,10,dd2vf0yzjm7jm7cak9tf11sa2,0,27.8,35,2023-04-30T21:09:11.039Z,2023-04-30T22:11:35Z,4241557625,140,45.6,4241557621,3,,4241557627,141,0.0,4241557623,56,Back,4241557631,212,31.1,4241557635,213,5.4,,,,,,,57t8thjgk0yh4fv88sqx9woh5,G. Pianelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962501,5,5,1,0,11,dd2vf0yzjm7jm7cak9tf11sa2,0,45.8,-1.6,2023-04-30T21:09:11.966Z,2023-04-30T21:09:21Z,4241557643,347,,4241557921,233,7,4241557641,56,Back,,,,,,,,,,,,,,,,6twhs1y8bihm7vc9dib8hgezt,K. Cela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962545,7,5,1,0,11,41ewt71n8fqwy6trsqta1bjvu,1,54.2,101.6,2023-04-30T21:09:11.966Z,2023-04-30T21:36:29Z,4241557911,56,Left,4241557913,347,,4241557917,233,5,,,,,,,,,,,,,,,,eoiimmhy0bdg3guq88jihpyol,J. Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962565,8,1,1,0,19,41ewt71n8fqwy6trsqta1bjvu,0,58.5,100,2023-04-30T21:09:20.397Z,2023-04-30T21:09:24Z,4241558007,213,5.9,4241558009,1,,4241558003,141,84.7,4241557997,107,,4241558005,212,29.2,4241558001,140,84.0,4241557999,56,Left,,,,79xw5l1zq2huxdmeod9t19nmd,J. Escalante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541962563,6,8,1,0,22,dd2vf0yzjm7jm7cak9tf11sa2,1,10.9,15.5,2023-04-30T21:09:22.992Z,2023-05-05T10:58:53Z,4251351327,383,,4241557991,56,Back,4241558011,15,,,,,,,,,,,,,,,,,57t8thjgk0yh4fv88sqx9woh5,G. Pianelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
