id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2537434493,1,34,16,0,0,c2pdzdl3dgf5b0siidn2ay5ii,1,0,0,2023-04-22T19:02:30.904Z,2023-04-22T20:35:17Z,4210465697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4210465699,194,3wyn5e0uz5jfilp065m3qynoq,4210465695,130,7,4210465701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210727231,197,13304,4210465693,59,"1, 24, 81, 21, 5, 23, 7, 33, 9, 22, 20, 3, 4, 13, 14, 17, 19, 30",4210465691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4210465689,30,"cdaayu6d9xzn4gyn5jg5p6vl6, 4xsc616w7mz1xw45ofyivm6eh, 3m0aejck68m0ovwtatk0acmc4, 882vd5rnobx3xba2sb99k49gp, exz7u7nukda9p15cy7s9udplh, dqekbs06e79n3vapj437pwyc, 6r8emgp7oeom6yyibdb4g77c9, 3wyn5e0uz5jfilp065m3qynoq, 6of4lxl9haj2csl0hxsbf4slx, c8d4kyelee6gyrnupxkeh6has, ccezbk51pdo61agdtdcxrd9wq, ykzkzazvga55do4buqq0quhh, 6rsihixcpnuyulgk4giwpzvth, 8ad2vcq9xcul0kkfms8qo0wk5, 3hebpt7rddccp0powpyfwri7d, c08hvq1hplcct8kxrxucfpqp6, 6d56vy4w9i65ye4c5t5txgkix, d09mpe5gt96686cnd6btiu6i2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537436279,1,34,16,0,0,5gmx3o5y2oc0i6rowjwtu7jvu,1,0,0,2023-04-22T19:04:52.293Z,2023-04-22T20:07:29Z,4210475481,194,8uqytik44ro3mbkz0s8m163xm,4210723579,197,5952,4210475471,30,"donr4l8zz4x3who55mji62dwp, 6yyhtcimqzsoqhp2clnj5x3sa, 2mqxkxtrjrt9cbeqbyncer209, 1afcpd3lls6cqp4wuawc91gwl, 81tm004f7odd1h0acwfcfroyc, 2gd6p7oi29nml06jp1fk9o1ec, 4rdlxnsv6um9rvzope8uzyh3o, 8uqytik44ro3mbkz0s8m163xm, 51ww9y4k5hskfvfv5cb1jbtgp, 6zbb5xiauoixj3clxdgud8lxw, 1xta1z2f7yq8bdl2grpffecmi, 3prrba15wxlc1asrqih8s371m, erojylhkxounbordtu6h9cui2, 7e4doqzolxn7u9s2txuyclejt, artfyfgwwhlhvfvttogbtiy38, 9izvs4qd03gfmqukkk5csxxxw, decwkaskhlyylqo4d0u3eeadw, 48f53gi4qwscvb9kq8c6miqs4",4210475473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4210475477,130,7,4210475479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4210475483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210475475,59,"1, 3, 7, 6, 2, 5, 17, 18, 11, 14, 8, 4, 9, 10, 19, 22, 23, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483269,2,32,1,0,0,c2pdzdl3dgf5b0siidn2ay5ii,1,0,0,2023-04-22T20:07:08.430Z,2023-04-22T20:07:08Z,4210736425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483275,2,32,1,0,0,5gmx3o5y2oc0i6rowjwtu7jvu,1,0,0,2023-04-22T20:07:08.430Z,2023-04-22T20:07:10Z,4210736443,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483331,3,1,1,0,0,c2pdzdl3dgf5b0siidn2ay5ii,1,50,50,2023-04-22T20:07:08.530Z,2023-04-22T22:08:41Z,4210736679,140,35.3,4210736677,56,Back,4210736683,212,15.4,4210736687,279,S,4210736685,213,3.1,4210736681,141,49.9,,,,,,,6of4lxl9haj2csl0hxsbf4slx,J. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483399,4,1,1,0,4,c2pdzdl3dgf5b0siidn2ay5ii,1,35.3,49.9,2023-04-22T20:07:12.707Z,2023-04-22T20:07:18Z,4210736993,140,35.2,4210736995,141,83.3,4210736997,212,22.7,4210736999,213,1.6,4210736991,56,Back,,,,,,,,,,882vd5rnobx3xba2sb99k49gp,A. Hojabrpour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483441,5,1,1,0,9,c2pdzdl3dgf5b0siidn2ay5ii,1,37.4,71.9,2023-04-22T20:07:18.126Z,2023-04-22T20:07:22Z,4210737213,213,4.5,4210737211,212,21.9,4210737207,140,32.1,4210737209,141,40.7,4210737203,56,Back,,,,,,,,,,c8d4kyelee6gyrnupxkeh6has,N. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483551,6,1,1,0,13,c2pdzdl3dgf5b0siidn2ay5ii,1,32.1,40.7,2023-04-22T20:07:22.146Z,2023-04-22T20:07:28Z,4210737751,140,32.7,4210737753,141,65.3,4210737749,56,Back,4210737755,212,16.7,4210737757,213,1.5,,,,,,,,,,exz7u7nukda9p15cy7s9udplh,M. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483565,7,1,1,0,20,c2pdzdl3dgf5b0siidn2ay5ii,1,32.7,65.3,2023-04-22T20:07:28.500Z,2023-04-22T20:07:30Z,4210737827,140,35.0,4210737829,141,44.9,4210737825,56,Back,4210737833,213,4.9,4210737831,212,14.1,,,,,,,,,,dqekbs06e79n3vapj437pwyc,G. Metusala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537483577,8,1,1,0,21,c2pdzdl3dgf5b0siidn2ay5ii,1,35,44.9,2023-04-22T20:07:29.937Z,2023-04-22T20:07:31Z,4210737921,212,12.8,4210737915,140,36.6,4210737919,141,63.6,4210737925,213,1.4,4210737913,56,Back,,,,,,,,,,exz7u7nukda9p15cy7s9udplh,M. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
