id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/15/value,qualifier/14/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId
2533993957,1,34,16,0,0,c2pdzdl3dgf5b0siidn2ay5ii,1,0,0,2023-04-15T18:55:58.262Z,2023-04-15T20:36:52Z,4192217869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4192217867,130,7,4192217863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4192485951,197,13304,4192217873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192217861,30,"cdaayu6d9xzn4gyn5jg5p6vl6, 4xsc616w7mz1xw45ofyivm6eh, ccezbk51pdo61agdtdcxrd9wq, 882vd5rnobx3xba2sb99k49gp, 8ad2vcq9xcul0kkfms8qo0wk5, exz7u7nukda9p15cy7s9udplh, 6r8emgp7oeom6yyibdb4g77c9, 3wyn5e0uz5jfilp065m3qynoq, 6of4lxl9haj2csl0hxsbf4slx, c8d4kyelee6gyrnupxkeh6has, 6d56vy4w9i65ye4c5t5txgkix, ykzkzazvga55do4buqq0quhh, 6rsihixcpnuyulgk4giwpzvth, 3hebpt7rddccp0powpyfwri7d, c08hvq1hplcct8kxrxucfpqp6, dqekbs06e79n3vapj437pwyc, 35os1zhrjdtydwvl1oloxiq6s, 3m0aejck68m0ovwtatk0acmc4",4192217871,194,8ad2vcq9xcul0kkfms8qo0wk5,4192217865,59,"1, 24, 20, 21, 13, 5, 7, 33, 9, 22, 19, 3, 4, 14, 17, 23, 29, 81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533997733,1,34,16,0,0,41ewt71n8fqwy6trsqta1bjvu,1,0,0,2023-04-15T19:02:31.710Z,2023-04-15T20:02:18Z,4192485767,197,5960,4192239195,30,"7tmc8hrkee4lo05qa26i7e5zp, 8e41frophez1otbzaamqxzip6, 79xw5l1zq2huxdmeod9t19nmd, g2i7tap1jusx5t2mnbfbns2d, 246l8ttdytxycwsbi5sg12ei, 2x500ds4ke374qi3jcpdi1wtm, cbw3da3l9qi13ludkt9181z9x, 9ddoyq4wpjjr58e8g8g5z3h7t, 1ifq6ok0spehvrr4lndlhxotl, eoiimmhy0bdg3guq88jihpyol, 7tednz7d4xzxjpuqct8iyttjp, 4nvf04b997gxvn5gozwgln9qs, 7gi5lm8v10m3ivddvn8qqzk2y, es1eiexpors419nbnzftx2cix, dor6no6z7dbc7npkodv27kne2, b9n2wm81qim3l5wm7fz7a4avo, 3niwormbgvkj2x3pt0paovwgk, cseaof8mo75i2fufyg0b4bpat",4192239203,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4192239205,194,7tmc8hrkee4lo05qa26i7e5zp,4192239211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192239199,59,"1, 2, 11, 6, 4, 3, 7, 26, 9, 20, 22, 28, 8, 14, 15, 21, 30, 33",4192239197,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4192239201,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534047887,2,32,1,0,0,c2pdzdl3dgf5b0siidn2ay5ii,1,0,0,2023-04-15T20:09:45.847Z,2023-04-19T17:43:25Z,4192515637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534047893,2,32,1,0,0,41ewt71n8fqwy6trsqta1bjvu,1,0,0,2023-04-15T20:09:45.847Z,2023-04-15T20:09:48Z,4192515655,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534047913,3,1,1,0,0,41ewt71n8fqwy6trsqta1bjvu,1,49.9,50,2023-04-15T20:09:45.947Z,2023-04-15T20:10:12Z,4192515769,141,44.2,4192515767,140,29.4,4192515773,213,3.3,4192515775,279,S,4192515771,212,21.9,4192515765,56,Back,,,,,,,eoiimmhy0bdg3guq88jihpyol,J. Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534047975,4,1,1,0,4,41ewt71n8fqwy6trsqta1bjvu,1,32.8,43.4,2023-04-15T20:09:50.008Z,2023-04-15T20:10:26Z,4192516073,140,77.4,4192516077,212,53.6,4192516079,213,0.5,4192516081,1,,4192516069,155,,4192516071,56,Left,4192516075,141,81.8,,,,246l8ttdytxycwsbi5sg12ei,D. Klomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534047985,5,44,1,0,7,41ewt71n8fqwy6trsqta1bjvu,1,78.4,80.1,2023-04-15T20:09:52.897Z,2023-04-15T20:09:54Z,4192516125,286,,4192516163,233,3,4192516123,56,Left,,,,,,,,,,,,,,,,7tednz7d4xzxjpuqct8iyttjp,M. Cantave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534047969,3,44,1,0,7,c2pdzdl3dgf5b0siidn2ay5ii,0,21.6,19.9,2023-04-15T20:09:52.898Z,2023-04-15T20:09:55Z,4192516193,233,5,4192516051,285,,4192516049,56,Back,,,,,,,,,,,,,,,,4xsc616w7mz1xw45ofyivm6eh,R. Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534048001,6,1,1,0,7,41ewt71n8fqwy6trsqta1bjvu,0,77.4,81.8,2023-04-15T20:09:53.567Z,2023-04-15T20:25:27Z,4192516217,140,94.5,4192516213,3,,4192516219,141,83.6,4192516215,56,Left,4192516221,212,18.0,4192516223,213,0.1,,,,,,,7tednz7d4xzxjpuqct8iyttjp,M. Cantave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534048009,4,1,1,0,8,c2pdzdl3dgf5b0siidn2ay5ii,1,6.4,15.9,2023-04-15T20:09:54.435Z,2023-04-15T20:09:56Z,4192516265,56,Back,4192516271,212,9.0,4192516273,213,5.3,4192516263,3,,4192516267,140,10.9,4192516269,141,4.6,,,,,,,8ad2vcq9xcul0kkfms8qo0wk5,A. Achinioti-Jönsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
