id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2465095725,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-09-30T16:15:47.360Z,2022-09-30T16:15:46Z,3807259845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807259837,130,4,3807259841,194,dqpv2janh4g4qkiqx7h7vs8gl,3807259843,197,8253,3807259839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807259835,59,"1, 2, 13, 5, 4, 6, 10, 8, 9, 14, 29, 3, 7, 11, 20, 21, 23, 24, 28, 30",3807259831,30,"3loe8qn8nalk7liisl2hx891x, 49bajqj50h6lrbk4gt30eeodl, cbofbntctfuhr1vqpn7eywt05, 9lt9pjnkuty7j6uwd5cvctwbt, eyx4psuhprqtodl08iimdwb11, dqpv2janh4g4qkiqx7h7vs8gl, 6c9ed4z6hw7s5v8c9631algid, 6l7cq8gkjb8r4i50vsd4xoo2x, 9hmgd3x5tekj4fnf0zju3i1ud, 23kah59nbx1m7ro3imaaevoph, elrnwzbk985f5j49tn9gg9rai, dpwfd5fk2t1xl2sfxpuqjfe95, 52w10pe7mkfv4twb2p2c5ugnp, f4g9co8i52ygweie4jjnvja39, 9e0vedknf3fgtc6ro1y8twixh, ch8ce5l6elqfogji42wyyedat, 9vgflgmrmvq8i95t3n70sur55, b8jaoqvq01ot0l9yp0b0btwid, 8ex4lsveeyet8r5aja1gjh1hx, 1r2f06zhqa678zqwq034m0fkl",3807259833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465096105,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-09-30T16:18:43.781Z,2022-09-30T17:20:44Z,3807261957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807261945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3807261943,30,"q4va8vnwzmwtdo6qymq4ywgl, c36h9olifkg6s63uktgf1puqd, 1asefru50u06hyhmoa7d9qcx5, 8djtc44u653lmy03mnniax3l6, 1f2ltq7gcnimsdgixp8w36eax, 2lsz8g4mvgqvartyjfud90e6t, 46wf8el37rvruhacvvbv38z1m, eyqhxpni376pocsunribu1jv9, 4h4v3c01l7hjkfnnz9ef8i5m1, 9yzs0w3tjas15ic0o2b51q86h, gvm839vxy6tkznrtw9mop17u, 2ywmv0jjr4u8jgo8gnoisx0id, 764yxrb6zqxke8l61qjd4o3qh, 3de90guq76ncq4iqhstw29u22, dzwhmhd3jlg8yz0ijm6mz2ei1, ed31f3of5iql0onh9uellvtnt, 2h5t74e8r147rzbett9on72sp, 2gty977zjk5dpr6o72ybepp90, 1aarhrn1ncv5mi54thh5d045w, 4fidubhquqmngl2s15ozqfip6",3807261955,197,8650,3807261953,194,eyqhxpni376pocsunribu1jv9,3807261951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807261949,130,8,3807261947,59,"27, 4, 30, 16, 24, 3, 14, 6, 11, 18, 7, 1, 2, 9, 13, 17, 22, 25, 26, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110371,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-09-30T17:17:14.974Z,2022-09-30T17:17:30Z,3807330055,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110269,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-09-30T17:17:14.974Z,2022-09-30T17:17:15Z,3807329609,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110297,3,1,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,50.2,50,2022-09-30T17:17:15.074Z,2022-09-30T17:17:18Z,3807329745,212,13.9,3807329743,141,51.2,3807329741,140,37.0,3807329739,56,Back,3807329747,213,3.1,3807329749,279,S,,,,,,,4h4v3c01l7hjkfnnz9ef8i5m1,K. Kögel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110319,4,1,1,0,3,dpp6fex0mdxsxhdct2qf66x5n,1,35.6,46.7,2022-09-30T17:17:18.801Z,2022-09-30T18:04:17Z,3807329835,140,25.3,3807329833,56,Back,3807329837,141,25.4,3807329841,213,4.1,3807329839,212,18.1,,,,,,,,,,eyqhxpni376pocsunribu1jv9,E. Senß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110327,5,1,1,0,4,dpp6fex0mdxsxhdct2qf66x5n,1,25.3,25.4,2022-09-30T17:17:18.974Z,2022-09-30T18:04:07Z,3807329871,56,Back,3807329873,140,33.0,3807329875,141,7.9,3807329877,212,14.4,3807329879,213,5.3,,,,,,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110339,6,1,1,0,6,dpp6fex0mdxsxhdct2qf66x5n,1,33,7.9,2022-09-30T17:17:20.974Z,2022-09-30T18:04:23Z,3807329907,140,25.4,3807329909,141,13.7,3807329911,212,8.9,3807329913,213,2.7,3807329905,56,Back,,,,,,,,,,c36h9olifkg6s63uktgf1puqd,S. Matysik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110357,7,1,1,0,10,dpp6fex0mdxsxhdct2qf66x5n,0,26.5,10.6,2022-09-30T17:17:24.974Z,2022-09-30T18:04:27Z,3807329987,213,6.0,3807329989,1,,3807329985,212,32.9,3807329981,140,57.0,3807329983,141,0.0,3807329979,56,Right,3807329977,157,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465110359,8,5,1,0,11,dpp6fex0mdxsxhdct2qf66x5n,0,55.4,-1,2022-09-30T17:17:26.641Z,2022-09-30T17:33:40Z,3807348295,233,13,3807329993,347,,3807329991,56,Right,,,,,,,,,,,,,,,,1f2ltq7gcnimsdgixp8w36eax,L. Turányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
