id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/10/value,qualifier/13/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2524464913,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-25T15:53:12.108Z,2023-03-25T16:56:44Z,4122997591,30,"bpwz6mj8utvxsd9mjyxcestii, d9l67kneytb0mij099bneg1cl, 98q93f1kijhmnd79vkg83qitx, c4tkrrhs6o8ii0wnmi5y66cwl, fpitimhwhx0wqkkrtuc10mvp, diy9eqdcrua61ao4goq5yges5, 692xxz6qlvbxhspozloeujt9l, 9xbohfvww89ec7c1d97hkuj85, 1u7a9cb0kw1l1aplw3c1ka2tx, a5d0iik8dqj6oy803mvi4n1sl, 5uli2vvgaigz4yf05bwy81l2h, 9gusyyfm5lj82mqzrmpho16tx, bwhwthiud4nqvdjy8rq1gcdsl, dhv9lixpbtd4b27qmfw7cxf1m, eyssu2jrc7qnzut1tx54twlm2, 70n6epbcr1l9dvzqrddsbax2h, 1wlzoku6j132t554imm0co99l, abp387e8q3413r6zu3w1ii2cq, 43ff1bhi5474qzac8fksxqz11",4122997599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4122997597,130,8,4122997593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4123172371,197,8273,4122997595,59,"22, 8, 6, 31, 4, 3, 12, 25, 9, 16, 17, 1, 11, 14, 20, 23, 27, 35, 37",4122997603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122997601,194,a5d0iik8dqj6oy803mvi4n1sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524465159,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-03-25T15:55:14.010Z,2023-03-25T16:56:58Z,4122999045,59,"1, 4, 13, 5, 31, 6, 10, 8, 9, 14, 11, 2, 7, 17, 21, 23, 24, 28, 29, 30",4122999051,194,f4g9co8i52ygweie4jjnvja39,4123169931,197,8253,4122999047,130,8,4122999043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4122999049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122999053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122999041,30,"3loe8qn8nalk7liisl2hx891x, eyx4psuhprqtodl08iimdwb11, cbofbntctfuhr1vqpn7eywt05, 9lt9pjnkuty7j6uwd5cvctwbt, 8g7i716knbylzqefolzb7l2vp, dqpv2janh4g4qkiqx7h7vs8gl, 6c9ed4z6hw7s5v8c9631algid, 6l7cq8gkjb8r4i50vsd4xoo2x, 9hmgd3x5tekj4fnf0zju3i1ud, 23kah59nbx1m7ro3imaaevoph, f4g9co8i52ygweie4jjnvja39, 49bajqj50h6lrbk4gt30eeodl, 52w10pe7mkfv4twb2p2c5ugnp, 42ah6u2wvj5tjuojzhtjiy6s5, ch8ce5l6elqfogji42wyyedat, 9vgflgmrmvq8i95t3n70sur55, b8jaoqvq01ot0l9yp0b0btwid, 8ex4lsveeyet8r5aja1gjh1hx, elrnwzbk985f5j49tn9gg9rai, 1r2f06zhqa678zqwq034m0fkl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499851,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2023-03-25T16:56:25.968Z,2023-03-25T16:56:26Z,4123181387,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499867,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-25T16:56:25.968Z,2023-03-25T16:56:27Z,4123181439,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499871,3,1,1,0,0,6bl19flj1eggw2gw7sya19bof,1,49.3,51.2,2023-03-25T16:56:26.068Z,2023-03-25T17:21:03Z,4123181463,279,S,4123181461,213,3.8,4123181455,140,45.6,4123181459,212,4.7,4123181453,56,Back,4123181457,141,47.2,,,,,,,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499885,4,1,1,0,2,6bl19flj1eggw2gw7sya19bof,1,45.6,47.2,2023-03-25T16:56:28.001Z,2023-03-25T16:56:29Z,4123181511,56,Back,4123181517,212,15.5,4123181513,140,31.3,4123181519,213,3.4,4123181515,141,41.3,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499915,5,1,1,0,3,6bl19flj1eggw2gw7sya19bof,1,31.3,41.3,2023-03-25T16:56:29.233Z,2023-03-25T16:56:54Z,4123181651,56,Back,4123181653,140,24.2,4123181657,141,31.9,4123181663,213,3.9,4123181661,212,9.8,,,,,,,,,,6l7cq8gkjb8r4i50vsd4xoo2x,L. Lattwein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499943,6,1,1,0,5,6bl19flj1eggw2gw7sya19bof,1,24.4,36.5,2023-03-25T16:56:31.825Z,2023-03-25T16:56:34Z,4123181785,140,23.3,4123181783,56,Back,4123181787,141,69.4,4123181789,212,22.4,4123181791,213,1.6,,,,,,,,,,8g7i716knbylzqefolzb7l2vp,M. Hegering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499965,7,1,1,0,8,6bl19flj1eggw2gw7sya19bof,1,23.9,67.9,2023-03-25T16:56:33.968Z,2023-03-25T16:56:37Z,4123181933,56,Back,4123181937,141,34.9,4123181939,212,22.4,4123181941,213,4.7,4123181935,140,23.9,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524499983,8,1,1,0,11,6bl19flj1eggw2gw7sya19bof,1,25,38.3,2023-03-25T16:56:37.952Z,2023-03-25T16:56:40Z,4123182009,212,22.9,4123182003,56,Back,4123182007,141,70.7,4123182011,213,1.9,4123182005,140,18.9,,,,,,,,,,8g7i716knbylzqefolzb7l2vp,M. Hegering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
