id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2478275071,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2022-10-28T16:24:05.473Z,2022-10-28T17:33:57Z,3877306811,130,2,3877306807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3877306809,59,"32, 21, 5, 20, 14, 8, 19, 10, 11, 7, 17, 1, 9, 13, 18, 25, 27, 33",3877395763,197,17496,3877306815,194,aemsodynsywxzi5m7czbenob9,3877306817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877306813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3877306805,30,"biomno1rhjrnhw59fs2yisktm, mx0xcrbamcrs77w7socdzv11, d11imdjqgfg7c0vo1te98rvv8, 7xplwmgnz56mfkdwnjwep632s, 2g09uohghh7k9c8de566k2led, c45vx4712w32k3ttlgoijkhuy, 2b6315hlohr62lm3xzz5qidey, 4trepwlcclo2elj3epyrs0ep6, qirr699c3gjdqq420ssd9vit, 380wlef6rk03khlb0t5elb04q, aemsodynsywxzi5m7czbenob9, b4r90bsb2db3vlr03g8ymcbth, cwego71othceguyo85tw2m4iy, 6snu37yc5c4kl9i3eg92ndams, 52kz98tyx3a6hppwyg3nzcf10, b9gxo2rldtuz9mi8lzgnm0mxg, qkcqv1empq487tv0aufyhfdg, 3l3ieiqvyz79tzfkniys3ifl6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478276211,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2022-10-28T16:31:59.668Z,2022-10-28T17:36:48Z,3877313005,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3877313013,194,8fhfjo7zfz9u0xtn58qj9enrp,3877313015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877313003,30,"19gypl4enklm01cxfzzbrb4yd, f18o5qahrzbg0jrw8whefv7xl, 9farsri8j50ajgnhkyur3l97t, 9vdyzvt8ehavj3sfugjoi3rze, dtz4c9bzealdegjsgvdoac6ad, 6089nfwh31ha73pl7vlla75cl, 4y1m1y07xg9wwfnogsxtcj93p, 9uo1lm8ntj5o5vq1jutuvtb6d, 35899uqibespufub1v01dwrmd, 8fhfjo7zfz9u0xtn58qj9enrp, 41ojypiz2yg51sriq9sfreh1x, a10v8s11xcdsyspqnyhtfipjp, 76sdgmzs9ldvnnah6x7zlr7qh, 3p5r6kr9afi2f4qqno6scknze, 9kmt7flw7n65qmfe0euadfd1x, az6k6sihxqdq5mzsa7htvkmlm, 4wuo4yhm9bmihr1ywi0g4pvqh",3877313009,130,2,3877313007,59,"26, 12, 18, 15, 6, 17, 7, 10, 23, 8, 24, 1, 9, 11, 13, 25, 27",3877313011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3877380569,197,12091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478291877,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2022-10-28T17:17:03.875Z,2022-10-28T17:17:04Z,3877389489,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478291889,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2022-10-28T17:17:03.875Z,2022-10-28T17:17:05Z,3877389547,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478291915,3,1,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,49.9,49.9,2022-10-28T17:17:03.975Z,2022-10-28T17:17:07Z,3877389673,140,37.2,3877389679,213,3.3,3877389677,212,13.6,3877389681,279,S,3877389675,141,45.8,3877389671,56,Back,,,,,,,380wlef6rk03khlb0t5elb04q,M. Cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478291943,4,1,1,0,3,bax97wqmyvdu4xygi7wzcvdzd,1,37.2,45.8,2022-10-28T17:17:07.223Z,2022-10-28T18:04:20Z,3877389821,212,15.1,3877389811,140,24.7,3877389817,141,56.9,3877389823,213,2.6,3877389809,56,Back,,,,,,,,,,4trepwlcclo2elj3epyrs0ep6,M. Günster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478291999,5,1,1,0,5,bax97wqmyvdu4xygi7wzcvdzd,0,24.7,56.9,2022-10-28T17:17:08.936Z,2022-10-28T17:17:14Z,3877390109,155,,3877390115,141,95.3,3877390117,212,50.8,3877390119,213,0.5,3877390113,140,66.2,3877390121,1,,3877390111,56,Left,,,,c45vx4712w32k3ttlgoijkhuy,V. Fürst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478291993,3,8,1,0,9,4e5523it4v7s6kkakelbj9si5,1,34.8,6.7,2022-10-28T17:17:13.761Z,2022-10-28T17:17:21Z,3877390357,189,,3877390081,56,Back,,,,,,,,,,,,,,,,,,,f18o5qahrzbg0jrw8whefv7xl,A. Gudorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478292001,4,5,1,0,10,4e5523it4v7s6kkakelbj9si5,0,35.6,-1.4,2022-10-28T17:17:14.606Z,2022-10-28T17:17:16Z,3877390125,347,,3877390217,233,6,3877390123,56,Back,,,,,,,,,,,,,,,,f18o5qahrzbg0jrw8whefv7xl,A. Gudorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478292013,6,5,1,0,10,bax97wqmyvdu4xygi7wzcvdzd,1,64.4,101.4,2022-10-28T17:17:14.606Z,2022-10-28T17:45:51Z,3877390187,347,,3877390213,233,4,3877390185,56,Left,,,,,,,,,,,,,,,,c45vx4712w32k3ttlgoijkhuy,V. Fürst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
