id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2482453203,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2022-11-06T14:15:10.740Z,2022-11-06T14:57:57Z,3899534699,197,8752,3899256465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899256463,194,bkbp6hl12kc3y8wohv9l3a66t,3899256455,130,8,3899256449,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899256445,30,"49ur7byczvl0qkqn9y2qq73s9, dh4eziicycykt8h2zr0to5tuy, 8ovibbdbs49bwwwf3bbuij3hm, axjakqkndyt2k8v2b0y97tw16, bkbp6hl12kc3y8wohv9l3a66t, 62soqddjmkrj99mvi1wivj4k5, 1f2h3qvn7d1dv5wsv63bojazu, 28fi0st48wljpt3kyee510iga, 2ltzk74krenmfh5gzcjpc2k4q, 9e95p87136h6zjam3zu0d9yol, 3p9ie3u7ej9o1wpzl4aonjtd6, 702asj69cc2fzzns98r7hp5p0, 65979lcr67xsnqvgtyswqubqh, 1eoc1w0vz8jmz4i0mpg20fiay, 4ezh3co3xg75tx7b03cokenyt, 7rb7zn6mvelljw1e3gbv8mmsp, 7ubpnkf47u1os2z47fam81i7e, 6l7cn7fmomj88kfdyo9seopg5, aosbps68cdxbpvbo3ch7ppvjd, ajxlorvqcyydwbynreva0e47p",3899256459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899256451,59,"1, 22, 20, 18, 8, 16, 7, 17, 15, 10, 23, 2, 3, 4, 5, 9, 11, 19, 27, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482467839,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-11-06T14:24:56.912Z,2022-11-06T15:13:47Z,3899336213,194,7ektyvpzu0yj1b9dm7yfkxh3p,3899336215,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899336205,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899336203,30,"cc32rolkcvyuul5t2uearz0mh, 7cisqfcp1zysc12owj5j4zpx, u8p6vsrl3b7ndbj3cj5owlih, 8s3zfsb1yqt3trc1n9jcxiol, 865nmkmx9qstpt90gc7bvp5ud, 7ektyvpzu0yj1b9dm7yfkxh3p, 8ruo0cyz6gvcp7yiks9fz1ed, cdzfyzjbmsg88l4r24mwx1ryt, 874o1s057ddcizshsu10wu6t, 6mj7z1yytw7jrbnbpu2mqyezu, 7mfl844y4zw1u07g3owaxyaga, 17a45c7qunqrxj6lezggssbo4, 4f16klwhusyiwjej79nx4y76x, 31cikgu3amy77e8452p6rj816, 20ah7xw9zhbmaakbwzjzw0kph, 5p9ksw9re1j1ka7d3wm91pgid, dsjuntinaobizkzy2c47npz3d, yfdg1l58kdyyuodyqjwhwbth, d5egroaxxqgc7dent1w6f2ve2, bbmtozpiuyy7rtk7u87g5p79w",3899336207,59,"30, 14, 27, 13, 5, 18, 15, 22, 19, 11, 10, 4, 6, 8, 9, 17, 20, 23, 26, 31",3899336209,130,2,3899336211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899534557,197,17121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506209,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-11-06T15:01:58.702Z,2022-11-06T15:02:00Z,3899545555,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506217,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2022-11-06T15:01:58.702Z,2022-11-06T15:02:00Z,3899545595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506239,3,1,1,0,0,4moe0x01r1f5w30g38wshyftp,1,49.6,49.9,2022-11-06T15:01:58.802Z,2022-11-06T15:02:02Z,3899545721,213,3.1,3899545723,279,S,3899545717,141,50.1,3899545719,212,17.1,3899545715,140,33.3,3899545713,56,Back,,,,,,,6mj7z1yytw7jrbnbpu2mqyezu,M. Sternad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506289,4,1,1,0,3,4moe0x01r1f5w30g38wshyftp,1,33.3,50.1,2022-11-06T15:02:02.622Z,2022-11-06T16:53:58Z,3899545985,140,23.1,3899545991,213,4.1,3899545983,56,Back,3899545987,141,27.6,3899545989,212,18.7,,,,,,,,,,8s3zfsb1yqt3trc1n9jcxiol,R. Walkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506331,5,1,1,0,7,4moe0x01r1f5w30g38wshyftp,1,30.4,33.3,2022-11-06T15:02:06.429Z,2022-11-06T15:02:11Z,3899546321,140,28.5,3899546327,212,34.6,3899546331,213,1.6,3899546317,56,Back,3899546335,1,,3899546325,141,84.1,,,,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506389,6,1,1,0,12,4moe0x01r1f5w30g38wshyftp,1,30.3,74.5,2022-11-06T15:02:11.390Z,2022-11-06T16:54:14Z,3899546571,213,4.7,3899546565,140,30.5,3899546563,56,Back,3899546567,141,31.9,3899546569,212,29.0,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506409,7,1,1,0,17,4moe0x01r1f5w30g38wshyftp,0,44.5,22.1,2022-11-06T15:02:15.901Z,2022-11-06T15:02:17Z,3899546671,1,,3899546663,140,76.3,3899546665,141,23.1,3899546659,155,,3899546669,213,0.0,3899546661,56,Center,3899546667,212,33.4,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506415,3,1,1,0,18,nuaf3wtujl8erbciumch6c65,0,20.2,71.4,2022-11-06T15:02:16.842Z,2022-11-06T15:02:18Z,3899546701,140,22.0,3899546699,56,Back,3899546697,3,,3899546707,213,0.3,3899546703,141,72.4,3899546705,212,2.0,,,,,,,62soqddjmkrj99mvi1wivj4k5,S. Schulte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
