id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/10/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2471870387,1,34,16,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-10-15T10:08:20.294Z,2022-10-15T14:38:17Z,3843437855,194,f4g9co8i52ygweie4jjnvja39,3843437847,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3843437853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843519151,197,8253,3843437851,130,4,3843437857,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843437845,30,"3loe8qn8nalk7liisl2hx891x, b8jaoqvq01ot0l9yp0b0btwid, dpwfd5fk2t1xl2sfxpuqjfe95, 6l7cq8gkjb8r4i50vsd4xoo2x, eyx4psuhprqtodl08iimdwb11, dqpv2janh4g4qkiqx7h7vs8gl, 6c9ed4z6hw7s5v8c9631algid, 23kah59nbx1m7ro3imaaevoph, f4g9co8i52ygweie4jjnvja39, 8ex4lsveeyet8r5aja1gjh1hx, elrnwzbk985f5j49tn9gg9rai, 49bajqj50h6lrbk4gt30eeodl, 9lt9pjnkuty7j6uwd5cvctwbt, 52w10pe7mkfv4twb2p2c5ugnp, 9hmgd3x5tekj4fnf0zju3i1ud, 42k8yri0cxumhta00clvgez11, 9e0vedknf3fgtc6ro1y8twixh, ch8ce5l6elqfogji42wyyedat, 9vgflgmrmvq8i95t3n70sur55, 1r2f06zhqa678zqwq034m0fkl",3843437849,59,"1, 24, 3, 8, 4, 6, 10, 14, 11, 28, 29, 2, 5, 7, 9, 16, 20, 21, 23, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471871771,1,34,16,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2022-10-15T10:12:11.821Z,2022-10-18T15:53:03Z,3843444281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843444273,59,"22, 25, 18, 16, 4, 14, 9, 17, 26, 7, 2, 8, 19, 24, 28, 29, 41",3843444271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3843520795,197,8545,3843444275,130,3,3843444279,194,7i2liztq9k72g2lnz5i91whcl,3843444277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3843444269,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471885475,2,32,1,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2022-10-15T11:01:20.094Z,2022-10-15T11:01:20Z,3843523401,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471885481,2,32,1,0,0,6bl19flj1eggw2gw7sya19bof,1,0,0,2022-10-15T11:01:20.094Z,2022-10-15T11:01:21Z,3843523423,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471885497,3,1,1,0,0,6mng5xcarvyip7ixoss7au245,1,50.3,49.8,2022-10-15T11:01:20.194Z,2022-10-15T11:49:47Z,3843523533,212,23.1,3843523531,141,58.9,3843523535,213,2.9,3843523537,279,S,3843523527,56,Back,3843523529,140,29.1,,,,,,,4663ukpnmrw6i3tm1fvzl7u1h,M. Kyōkawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471885525,4,1,1,0,3,6mng5xcarvyip7ixoss7au245,0,30.1,59.2,2022-10-15T11:01:24.045Z,2022-10-15T13:08:43Z,3843523669,56,Center,3843523667,155,,3843523671,140,67.0,3843523673,141,47.9,3843523675,212,39.5,3843523679,1,,3843523677,213,6.1,,,,a3rlansc0x5sw4hg75yhpanhm,S. Weidauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471923963,460,49,1,0,4,6bl19flj1eggw2gw7sya19bof,1,24.2,70.4,2022-10-15T11:01:24.094Z,2022-10-15T11:48:14Z,,,,,,,,,,,,,,,,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471885521,3,1,1,0,5,6bl19flj1eggw2gw7sya19bof,1,28.5,57.6,2022-10-15T11:01:25.376Z,2022-10-15T11:01:27Z,3843523655,213,6.0,3843523651,141,53.3,3843523653,212,12.0,3843523647,140,39.6,3843523645,56,Back,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471925555,463,61,1,0,7,6bl19flj1eggw2gw7sya19bof,1,44.7,45.2,2022-10-15T11:01:27.094Z,2022-10-15T11:50:21Z,3843718681,56,Back,,,,,,,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471885527,4,50,1,0,7,6bl19flj1eggw2gw7sya19bof,1,36,54.6,2022-10-15T11:01:27.120Z,2022-10-15T11:01:30Z,3843523785,233,5,3843523683,56,Back,3843523685,286,,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
