id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/10/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2517855555,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-10T17:04:58.290Z,2023-03-10T18:12:33Z,4085819649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085819645,59,"1, 8, 6, 25, 4, 3, 16, 31, 11, 12, 17, 9, 13, 14, 20, 23, 27, 35, 37, 44",4085819643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4085819641,30,"9gusyyfm5lj82mqzrmpho16tx, d9l67kneytb0mij099bneg1cl, 98q93f1kijhmnd79vkg83qitx, 9xbohfvww89ec7c1d97hkuj85, fpitimhwhx0wqkkrtuc10mvp, diy9eqdcrua61ao4goq5yges5, a5d0iik8dqj6oy803mvi4n1sl, c4tkrrhs6o8ii0wnmi5y66cwl, bwhwthiud4nqvdjy8rq1gcdsl, 692xxz6qlvbxhspozloeujt9l, 5uli2vvgaigz4yf05bwy81l2h, 1u7a9cb0kw1l1aplw3c1ka2tx, 1ofsz5y4wb4pt6xp0u06hc5pl, dhv9lixpbtd4b27qmfw7cxf1m, eyssu2jrc7qnzut1tx54twlm2, 70n6epbcr1l9dvzqrddsbax2h, 1wlzoku6j132t554imm0co99l, abp387e8q3413r6zu3w1ii2cq, 43ff1bhi5474qzac8fksxqz11, 1m85a65tvymk8wehikyv32e0a",4085819653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085819647,130,8,4086022517,197,8273,4085819651,194,a5d0iik8dqj6oy803mvi4n1sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517856995,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-03-10T17:07:41.725Z,2023-03-10T18:52:44Z,4085827651,130,6,4085827655,194,aemsodynsywxzi5m7czbenob9,4085827647,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4085827653,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4086062201,197,17496,4085827657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085827645,30,"biomno1rhjrnhw59fs2yisktm, 2g09uohghh7k9c8de566k2led, 536gqq71ria9n0bbncfzagru, c45vx4712w32k3ttlgoijkhuy, c6g4g3t6fi6pg14zdmw3uvasq, d11imdjqgfg7c0vo1te98rvv8, mx0xcrbamcrs77w7socdzv11, 4trepwlcclo2elj3epyrs0ep6, qirr699c3gjdqq420ssd9vit, 7xplwmgnz56mfkdwnjwep632s, aemsodynsywxzi5m7czbenob9, 380wlef6rk03khlb0t5elb04q, cwego71othceguyo85tw2m4iy, 2b6315hlohr62lm3xzz5qidey, b9gxo2rldtuz9mi8lzgnm0mxg, 5g1fqltglztt6p9j20iwshbvu, 4ka05s9qgwog73yx3dsyp1s7o, 3l3ieiqvyz79tzfkniys3ifl6",4085827649,59,"32, 14, 23, 8, 6, 5, 21, 10, 11, 20, 17, 7, 9, 19, 25, 28, 30, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897569,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-10T18:18:20.343Z,2023-03-10T18:18:20Z,4086041037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897609,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-03-10T18:18:20.343Z,2023-03-10T18:18:23Z,4086041265,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897611,3,1,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,50.1,50.1,2023-03-10T18:18:20.443Z,2023-03-10T18:18:23Z,4086041297,279,S,4086041295,213,3.3,4086041293,212,11.6,4086041289,140,39.2,4086041291,141,47.8,4086041287,56,Back,,,,,,,bwhwthiud4nqvdjy8rq1gcdsl,L. Schüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897643,4,1,1,0,3,bpx4ib85d65u9oyhglkt36k1b,1,39.5,53,2023-03-10T18:18:23.499Z,2023-03-10T18:18:27Z,4086041465,141,89.7,4086041463,140,33.7,4086041461,56,Back,4086041469,213,1.8,4086041467,212,25.7,,,,,,,,,,c4tkrrhs6o8ii0wnmi5y66cwl,G. Stanway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897659,5,1,1,0,7,bpx4ib85d65u9oyhglkt36k1b,1,38,80.9,2023-03-10T18:18:27.787Z,2023-03-10T18:18:29Z,4086041571,141,58.8,4086041567,56,Back,4086041575,213,4.1,4086041573,212,18.8,4086041569,140,27.3,,,,,,,,,,98q93f1kijhmnd79vkg83qitx,T. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897679,6,1,1,0,9,bpx4ib85d65u9oyhglkt36k1b,1,30,56.9,2023-03-10T18:18:29.859Z,2023-03-10T18:18:32Z,4086041665,56,Back,4086041669,141,29.1,4086041671,212,20.1,4086041667,140,36.5,4086041673,213,5.1,,,,,,,,,,diy9eqdcrua61ao4goq5yges5,S. Kumagai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897707,7,1,1,0,12,bpx4ib85d65u9oyhglkt36k1b,1,39.6,25.3,2023-03-10T18:18:32.723Z,2023-03-10T18:18:35Z,4086041827,212,23.9,4086041823,140,58.8,4086041825,141,6.5,4086041821,56,Right,4086041829,213,5.7,,,,,,,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517897729,8,1,1,0,14,bpx4ib85d65u9oyhglkt36k1b,1,58.3,8.6,2023-03-10T18:18:35.163Z,2023-03-10T18:18:38Z,4086041917,141,21.2,4086041913,56,Back,4086041915,140,41.0,4086041919,212,20.1,4086041921,213,2.7,,,,,,,,,,d9l67kneytb0mij099bneg1cl,M. Rall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
