id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value
2523295579,2,34,16,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-03-21T17:04:40.231Z,2023-03-21T18:00:21Z,4114621687,194,azitzbihzs5b3iv56nq4iszit,4114632799,197,8545,4114621667,59,"41, 15, 11, 2, 32, 23, 21, 14, 31, 28, 26, 4, 5, 18, 19, 20, 22, 25, 29",4114621669,130,2,4114621663,30,"do1uv3ohvyvodhcindxj76qy1, 1139rvy7ws5o77eq04wprf0tl, 42h5sz2axk69ifygo0wzuvr2t, 8etvu6b9z7sm2rg3wqkmchk9h, agqhiv0awfumj9c4sbq81hh7u, azitzbihzs5b3iv56nq4iszit, 8xphahi0vi6fnh8ou88zzb6j9, a3rlansc0x5sw4hg75yhpanhm, 9nc0572mgpafxbjnrk55emtt6, ctt0noqy18w96i73n9pahoz55, 3bg4ewc3n4ytybr96lc313ahh, e3gddzy59fp8lidsr83vpw12i, 4ennrl7as17fnvk5c3vhhg5qs, 6yoqpu952gnc6trdg6vpala6t, qygwawkthmtcn3sx4ptq0e8k, byrtspkep316747j5mj5lyei, 1tkgs09548p54arfjuufivk7o, dseqkqirdljgr63ov3461vhsl, ambjrl1ky848xbmdwsrsbjpey",4114621671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4114621673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4114621665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523295629,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-21T17:07:20.932Z,2023-03-21T18:03:29Z,4114621939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4114632819,197,12091,4114621937,30,"a10v8s11xcdsyspqnyhtfipjp, az6k6sihxqdq5mzsa7htvkmlm, 9kmt7flw7n65qmfe0euadfd1x, 9uo1lm8ntj5o5vq1jutuvtb6d, dtz4c9bzealdegjsgvdoac6ad, 6089nfwh31ha73pl7vlla75cl, f18o5qahrzbg0jrw8whefv7xl, 4y1m1y07xg9wwfnogsxtcj93p, 8fhfjo7zfz9u0xtn58qj9enrp, dhpmw4d7pjjow643u12b84dpm, 41ojypiz2yg51sriq9sfreh1x, 3ubn4p929c0tv77dehaon5f1m, aa257iqvul1ksok2v3ouoe86h, 3p5r6kr9afi2f4qqno6scknze, d6ga5ai1ytp6be5is0zks8jjd, 9farsri8j50ajgnhkyur3l97t, 35899uqibespufub1v01dwrmd, 4wuo4yhm9bmihr1ywi0g4pvqh, bf9vvcmhqqr78g8mw6n54xld6",4114621949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4114621943,130,2,4114621947,194,8fhfjo7zfz9u0xtn58qj9enrp,4114621941,59,"1, 25, 13, 10, 6, 17, 12, 7, 8, 29, 24, 3, 5, 11, 14, 18, 23, 27, 30",4114621945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297305,2,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-21T18:00:40.795Z,2023-03-21T18:00:40Z,4114634119,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297307,3,32,1,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-03-21T18:00:40.795Z,2023-03-21T18:00:41Z,4114634121,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297311,3,1,1,0,0,4e5523it4v7s6kkakelbj9si5,1,50.1,50.4,2023-03-21T18:00:40.895Z,2023-03-21T18:00:43Z,4114634133,212,15.3,4114634137,279,S,4114634127,56,Back,4114634129,140,36.4,4114634135,213,3.5,4114634131,141,42.8,,,,,,,8fhfjo7zfz9u0xtn58qj9enrp,M. Islacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297313,4,1,1,0,2,4e5523it4v7s6kkakelbj9si5,1,36.4,42.8,2023-03-21T18:00:43.135Z,2023-03-21T18:00:46Z,4114634147,212,20.4,4114634149,213,1.9,4114634143,140,29.3,4114634141,56,Back,4114634145,141,70.7,,,,,,,,,,9uo1lm8ntj5o5vq1jutuvtb6d,S. Beck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297319,5,1,1,0,5,4e5523it4v7s6kkakelbj9si5,0,28.7,75.5,2023-03-21T18:00:46.304Z,2023-03-21T18:00:49Z,4114634167,141,79.8,4114634163,56,Left,4114634169,212,40.5,4114634173,1,,4114634161,157,,4114634165,140,67.2,4114634171,213,0.1,,,,6089nfwh31ha73pl7vlla75cl,S. Puntigam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297317,4,61,1,0,8,6mng5xcarvyip7ixoss7au245,1,22.6,17.9,2023-03-21T18:00:49.005Z,2023-03-21T18:00:49Z,4114634157,56,Back,,,,,,,,,,,,,,,,,,,,,,1139rvy7ws5o77eq04wprf0tl,A. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297325,5,12,1,0,11,6mng5xcarvyip7ixoss7au245,1,21.5,10.7,2023-03-21T18:00:51.957Z,2023-03-21T18:00:53Z,4114634183,56,Back,4114634189,212,8.6,4114634187,141,0.0,4114634197,167,,4114634185,140,21.7,4114634191,213,4.7,,,,,,,azitzbihzs5b3iv56nq4iszit,T. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523297327,6,5,1,0,11,6mng5xcarvyip7ixoss7au245,0,22.8,-1.5,2023-03-21T18:00:52.579Z,2023-03-21T18:01:00Z,4114634229,233,6,4114634193,56,Back,4114634195,347,,,,,,,,,,,,,,,,,azitzbihzs5b3iv56nq4iszit,T. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
