id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2526022541,1,34,16,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-31T16:29:28.483Z,2023-03-31T17:20:46Z,4149872131,194,8fhfjo7zfz9u0xtn58qj9enrp,4149872123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4149872129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4149945843,197,12091,4149872127,130,2,4149872121,30,"a10v8s11xcdsyspqnyhtfipjp, f18o5qahrzbg0jrw8whefv7xl, 9kmt7flw7n65qmfe0euadfd1x, 4y1m1y07xg9wwfnogsxtcj93p, dtz4c9bzealdegjsgvdoac6ad, 6089nfwh31ha73pl7vlla75cl, az6k6sihxqdq5mzsa7htvkmlm, 9uo1lm8ntj5o5vq1jutuvtb6d, 8fhfjo7zfz9u0xtn58qj9enrp, dhpmw4d7pjjow643u12b84dpm, 41ojypiz2yg51sriq9sfreh1x, aa257iqvul1ksok2v3ouoe86h, 3p5r6kr9afi2f4qqno6scknze, 9farsri8j50ajgnhkyur3l97t, 35899uqibespufub1v01dwrmd, 4wuo4yhm9bmihr1ywi0g4pvqh, bf9vvcmhqqr78g8mw6n54xld6",4149872133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149872125,59,"1, 12, 13, 7, 6, 17, 25, 10, 8, 29, 24, 5, 11, 18, 23, 27, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023377,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-03-31T16:33:01.913Z,2023-03-31T17:20:52Z,4149946449,197,17496,4149876137,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4149876143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149876135,30,"biomno1rhjrnhw59fs2yisktm, 2g09uohghh7k9c8de566k2led, 536gqq71ria9n0bbncfzagru, 1tq2p5cd8gwndv33rrfl7zlxx, c45vx4712w32k3ttlgoijkhuy, d11imdjqgfg7c0vo1te98rvv8, mx0xcrbamcrs77w7socdzv11, 380wlef6rk03khlb0t5elb04q, 7xplwmgnz56mfkdwnjwep632s, ac6txr5931brb1tib9d92ok8a, aemsodynsywxzi5m7czbenob9, c6g4g3t6fi6pg14zdmw3uvasq, cwego71othceguyo85tw2m4iy, 4trepwlcclo2elj3epyrs0ep6, qirr699c3gjdqq420ssd9vit, 6snu37yc5c4kl9i3eg92ndams, 2b6315hlohr62lm3xzz5qidey, b9gxo2rldtuz9mi8lzgnm0mxg, 5g1fqltglztt6p9j20iwshbvu, 3l3ieiqvyz79tzfkniys3ifl6",4149876145,194,aemsodynsywxzi5m7czbenob9,4149876141,130,2,4149876139,59,"32, 14, 23, 22, 8, 5, 21, 7, 20, 47, 17, 6, 9, 10, 11, 13, 19, 25, 28, 33",4149876147,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039711,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2023-03-31T17:16:34.144Z,2023-03-31T17:16:34Z,4149956461,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039715,3,32,1,0,0,4e5523it4v7s6kkakelbj9si5,1,0,0,2023-03-31T17:16:34.144Z,2023-03-31T17:16:36Z,4149956477,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039731,3,1,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,50.3,50.1,2023-03-31T17:16:34.244Z,2023-03-31T17:16:38Z,4149956541,212,21.9,4149956539,141,35.8,4149956547,279,S,4149956537,140,31.6,4149956535,56,Back,4149956543,213,3.6,,,,,,,ac6txr5931brb1tib9d92ok8a,S. Vobian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039747,4,1,1,0,4,bax97wqmyvdu4xygi7wzcvdzd,1,30.4,34.5,2023-03-31T17:16:38.724Z,2023-03-31T17:16:41Z,4149956617,213,1.8,4149956615,212,24.8,4149956611,140,24.6,4149956609,56,Back,4149956613,141,69.9,,,,,,,,,,1tq2p5cd8gwndv33rrfl7zlxx,M. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039759,5,1,1,0,6,bax97wqmyvdu4xygi7wzcvdzd,0,24.7,74.5,2023-03-31T17:16:41.108Z,2023-03-31T17:16:43Z,4149956697,140,62.9,4149956703,213,6.3,4149956695,56,Center,4149956693,155,,4149956705,1,,4149956701,212,40.1,4149956699,141,72.6,,,,c45vx4712w32k3ttlgoijkhuy,V. Fürst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039779,4,1,1,0,9,4e5523it4v7s6kkakelbj9si5,1,39,26.4,2023-03-31T17:16:43.725Z,2023-03-31T17:16:44Z,4149956809,212,7.4,4149956803,56,Back,4149956805,140,45.3,4149956801,3,,4149956811,213,0.5,4149956807,141,31.3,,,,,,,dtz4c9bzealdegjsgvdoac6ad,M. Moorrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039781,5,49,1,0,10,4e5523it4v7s6kkakelbj9si5,1,44.6,31.6,2023-03-31T17:16:44.619Z,2023-03-31T17:16:44Z,,,,,,,,,,,,,,,,,,,,,,,,,4y1m1y07xg9wwfnogsxtcj93p,M. Wilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526039789,6,1,1,0,11,4e5523it4v7s6kkakelbj9si5,0,44.4,31.9,2023-03-31T17:16:45.290Z,2023-03-31T17:16:46Z,4149956847,213,2.2,4149956839,56,Back,4149956843,141,37.3,4149956845,212,4.5,4149956841,140,42.0,,,,,,,,,,4y1m1y07xg9wwfnogsxtcj93p,M. Wilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
