id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,assist,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2476094801,1,34,16,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-10-23T10:17:45.368Z,2022-10-23T10:57:53Z,3865750007,30,"5538ubmpq7ijg9s6fyt0qwglw, 6dr16qr33t4gjz70bv5bxc8dm, ikr5jm07viu4wblicjededt6, 8az7xzsavwdqyuhal2yxml10q, 57cbneelzdjmwvsk87sgq7omi, dxxo7gr1hcdzzum13rxotvk5x, dtj0nm0mjqz704pm3olqihf55, 6zmrvcurwjzt9y07c85s24r85, 6el60ixesyykp18873zddqve2, 6i71063juhqq2d35riwhr1uqx, 3ucjekvg77wnqsybahjae5iei, dr441rdowee2tvp2ufmp8itm2, epxe17rtw23fpslr1e6cxlffu, 5hdjbf8idy50wlf0d6qi3lk9h, ccwb5o1w1wuxfie257h1m3hn8, 8fvhkgu9pio9hcs0qhndw1239, c2lq7lei84ba4ft8hp8jdht04",3865750015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3865750009,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",3865750013,130,8,3865750011,59,"12, 19, 3, 6, 4, 18, 7, 21, 9, 17, 25, 5, 10, 13, 15, 23, 27",3865750019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865750017,194,dxxo7gr1hcdzzum13rxotvk5x,3865832611,197,17287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476095773,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-10-23T10:20:31.965Z,2022-10-23T11:22:55Z,3865835293,197,16948,3865754877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865754867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3865754869,59,"1, 22, 9, 17, 5, 31, 13, 7, 16, 18, 23, 4, 6, 8, 10, 11, 21, 27",3865754871,130,4,3865754873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3865754875,194,1oib97ihu6ofz1fvsvih0mnkl,3865754865,30,"cwotwuxqimldexy77lqdh2t3p, 1l4s1w66pir9xk79jp78bxnmx, 1abadnoiq5hbwpfzzyvho4vkl, epdlb32r151kz861mljb1rs9h, 1oib97ihu6ofz1fvsvih0mnkl, 25ord6k6oglqdzt77nrs19e5l, 8ifhj2h1m7rt84i4bxksnmgnp, 33nggo6w6e52yqmc2pa528xd5, 9u74jd7ak8uad6lnhnthawiqd, 1lafqq1ic48v5500r8b0uprdh, 6aym6t1mr1xzv5pxvbtbn6hgp, diztxc63xkwv1tofz5s1ixbzd, 2x6hdcwn2s78i5frzj4q2s2c5, aq30av6eea3gxh2rk7c0bzi09, efynp5qo9b9x0lh9b4ft0ic8a, 7qf5iaz6eqb39pelg69fm1y39, 46yjl6a3rr1djzc4qu6etlrai, 5s8fprpl188pkkzn3524vph7u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113215,2,32,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,0,0,2022-10-23T11:00:16.801Z,2022-10-23T11:00:16Z,3865837609,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113225,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-10-23T11:00:16.801Z,2022-10-23T11:00:18Z,3865837655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113237,3,1,1,0,0,2f7gua216miwsfd83rgjsn4ap,1,50.2,50.3,2022-10-23T11:00:16.901Z,2022-10-23T11:00:21Z,3865837719,141,41.0,3865837717,140,29.3,3865837715,56,Back,3865837723,213,3.4,3865837721,212,22.8,3865837725,279,S,,,,,,,6i71063juhqq2d35riwhr1uqx,A. Rieke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113263,4,1,1,0,4,2f7gua216miwsfd83rgjsn4ap,1,39,40.4,2022-10-23T11:00:21.343Z,2022-10-23T11:00:24Z,3865837833,155,,3865837835,56,Center,3865837847,213,0.7,3865837849,1,,3865837843,141,74.5,3865837841,140,64.3,3865837845,212,35.3,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113271,5,1,1,0,7,2f7gua216miwsfd83rgjsn4ap,1,65.1,75.1,2022-10-23T11:00:24.639Z,2022-10-23T11:00:27Z,3865837875,140,58.7,3865837873,56,Center,3865837881,213,3.0,3865837879,212,6.8,3865837877,141,76.3,,,,,,,,,,3ucjekvg77wnqsybahjae5iei,V. Endemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113277,6,50,1,0,10,2f7gua216miwsfd83rgjsn4ap,1,62.2,91,2022-10-23T11:00:26.943Z,2022-10-23T11:00:29Z,3865837903,286,,3865837997,233,3,3865837901,56,Left,,,,,,,,,,,,,,,,ikr5jm07viu4wblicjededt6,E. Touon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113291,3,7,1,0,10,eyecbfb1ur2104bhhwazhvrf,1,37.8,9,2022-10-23T11:00:26.944Z,2022-10-23T11:00:28Z,3865837981,233,6,3865837975,285,,3865837973,56,Back,3865837971,167,,,,,,,,,,,,,,1lafqq1ic48v5500r8b0uprdh,J. Hickelsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113293,4,5,1,0,11,eyecbfb1ur2104bhhwazhvrf,0,39.8,-1.2,2022-10-23T11:00:28.016Z,2022-10-23T11:07:07Z,3865837979,347,,3865837977,56,Back,3865838221,233,7,,,,,,,,,,,,,,,,1lafqq1ic48v5500r8b0uprdh,J. Hickelsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
