id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/12/value,qualifier/13/value,qualifier/9/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2464129329,1,34,16,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2022-09-25T10:20:30.553Z,2022-09-25T11:08:47Z,3802133441,130,8,3802133445,194,858r6lsckfhcu5wa373odqt0q,3802133447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3802201845,197,8545,3802133437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3802133435,30,"7qvhdchag7s42he71k28ctmtx, dseqkqirdljgr63ov3461vhsl, 1139rvy7ws5o77eq04wprf0tl, 28lczv0k4nlvpupwzf0ilcxd5, e3gddzy59fp8lidsr83vpw12i, 42h5sz2axk69ifygo0wzuvr2t, 3bg4ewc3n4ytybr96lc313ahh, 858r6lsckfhcu5wa373odqt0q, a3rlansc0x5sw4hg75yhpanhm, 7i2liztq9k72g2lnz5i91whcl, 4663ukpnmrw6i3tm1fvzl7u1h, 8etvu6b9z7sm2rg3wqkmchk9h, azqwt1eb6ozui2xml066e59n8, 3kofouuzii19d6w7mr7n9s2ui, 6yoqpu952gnc6trdg6vpala6t, qygwawkthmtcn3sx4ptq0e8k, 8xphahi0vi6fnh8ou88zzb6j9, 1tkgs09548p54arfjuufivk7o",3802133439,59,"30, 25, 15, 6, 4, 11, 26, 27, 14, 17, 7, 2, 9, 16, 18, 19, 21, 22",3802133443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464129561,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2022-09-25T10:21:17.562Z,2022-09-25T11:37:25Z,3802134613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3802134603,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",3802134605,59,"32, 21, 5, 22, 14, 8, 19, 7, 11, 20, 17, 1, 13, 25, 27, 30",3802134609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3802134601,30,"biomno1rhjrnhw59fs2yisktm, mx0xcrbamcrs77w7socdzv11, d11imdjqgfg7c0vo1te98rvv8, 1tq2p5cd8gwndv33rrfl7zlxx, 2g09uohghh7k9c8de566k2led, c45vx4712w32k3ttlgoijkhuy, 2b6315hlohr62lm3xzz5qidey, 380wlef6rk03khlb0t5elb04q, qirr699c3gjdqq420ssd9vit, eiolljhog47txsekok6zre1hw, aemsodynsywxzi5m7czbenob9, b4r90bsb2db3vlr03g8ymcbth, 6snu37yc5c4kl9i3eg92ndams, b9gxo2rldtuz9mi8lzgnm0mxg, qkcqv1empq487tv0aufyhfdg, 4ka05s9qgwog73yx3dsyp1s7o",3802134607,130,8,3802215571,197,17029,3802134611,194,aemsodynsywxzi5m7czbenob9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143195,2,32,1,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2022-09-25T11:02:11.374Z,2022-09-25T11:02:13Z,3802208875,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143193,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2022-09-25T11:02:11.374Z,2022-09-25T11:02:11Z,3802208871,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143209,3,1,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,50.2,49.9,2022-09-25T11:02:11.474Z,2022-09-25T11:02:14Z,3802208953,212,10.8,3802208957,279,S,3802208949,140,40.0,3802208951,141,48.1,3802208947,56,Back,3802208955,213,3.3,,,,,,,qirr699c3gjdqq420ssd9vit,D. Hoppius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143215,4,1,1,0,2,bax97wqmyvdu4xygi7wzcvdzd,0,40.7,47.9,2022-09-25T11:02:14.002Z,2022-09-25T11:52:37Z,3802208997,1,,3802208995,213,0.7,3802208991,141,83.8,3802208993,212,37.7,3802208987,56,Left,3802208985,155,,3802208989,140,68.0,,,,380wlef6rk03khlb0t5elb04q,M. Cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143233,3,49,1,0,5,6mng5xcarvyip7ixoss7au245,1,33.8,7.4,2022-09-25T11:02:16.498Z,2022-09-25T11:16:53Z,,,,,,,,,,,,,,,,,,,,,,,,,dseqkqirdljgr63ov3461vhsl,A. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143247,4,1,1,0,6,6mng5xcarvyip7ixoss7au245,0,32.1,5.7,2022-09-25T11:02:17.377Z,2022-09-25T11:16:54Z,3802209169,140,31.4,3802209215,286,,3802209211,233,5,3802209173,212,0.7,3802209167,56,Back,3802209209,236,,3802209171,141,5.9,3802209175,213,3.0,dseqkqirdljgr63ov3461vhsl,A. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143253,5,74,1,0,6,bax97wqmyvdu4xygi7wzcvdzd,1,68.1,93,2022-09-25T11:02:17.378Z,2022-09-25T11:08:54Z,3802209195,56,Left,3802209221,233,4,3802209197,285,,,,,,,,,,,,,,,,,aemsodynsywxzi5m7czbenob9,Y. Zielinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464143255,5,61,1,0,7,6mng5xcarvyip7ixoss7au245,1,31.9,5.9,2022-09-25T11:02:19.367Z,2022-09-25T11:16:56Z,3802209203,56,Back,,,,,,,,,,,,,,,,,,,,,,dseqkqirdljgr63ov3461vhsl,A. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
