id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/12/value,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2475240217,1,34,16,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-10-22T10:16:09.335Z,2022-10-22T11:02:39Z,3861238471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3861308373,197,8543,3861238473,59,"12, 2, 13, 4, 21, 16, 11, 9, 17, 7, 18, 8, 10, 20, 22, 27, 28, 33",3861238477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861238469,30,"1kv64bhvnb6bb2iva0cbot1t6, 32ofctw7kn3l8eucrhku63dg5, b4g5db74cenrnd0tr3ptxo89h, c2w5fyxoq2xw8xm6asrn17x7t, 5sycg0t0w11j4vm43arm93v1l, 6q0njimucm06r3x7enupxpl, dqaq4g6ls8bl56rpd3irjt6fp, 2ij21gq2d0xqcyho9t49glkvd, dzisqj9zjrxdxmqeu8kof95d6, 553b1ywtlhutb6uwv04dhhqdx, 5rcmpmxeny97slsu826vmwh61, ac6txr5931brb1tib9d92ok8a, 9ipu1pbzzf14ec8ebrqnq1k6i, 2btt5j9bqn7isihjvqgr427yt, cnvvojztptyxqfs8vd3fciok5, 8os606vx3apb3abv88vtbkb85, 33rw3w7m8xbv7ojfaih6radjo, dlhn57eu6datnx6sraqlal1w",3861238475,130,4,3861238481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861238479,194,dqaq4g6ls8bl56rpd3irjt6fp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475241061,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-10-22T10:18:40.242Z,2022-10-22T11:04:23Z,3861243139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861243135,59,"27, 2, 14, 20, 24, 26, 13, 6, 9, 18, 11, 1, 8, 16, 17, 22, 25, 29",3861243133,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3861243137,130,8,3861243143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861243131,30,"q4va8vnwzmwtdo6qymq4ywgl, 764yxrb6zqxke8l61qjd4o3qh, 46wf8el37rvruhacvvbv38z1m, 54psl26zc4rs8cjnahl0jel05, 1f2ltq7gcnimsdgixp8w36eax, 1aarhrn1ncv5mi54thh5d045w, dzwhmhd3jlg8yz0ijm6mz2ei1, eyqhxpni376pocsunribu1jv9, 3de90guq76ncq4iqhstw29u22, 9yzs0w3tjas15ic0o2b51q86h, 4h4v3c01l7hjkfnnz9ef8i5m1, 2ywmv0jjr4u8jgo8gnoisx0id, 9oq5f3fgf6g9vyc965o35127e, 8djtc44u653lmy03mnniax3l6, ed31f3of5iql0onh9uellvtnt, 2h5t74e8r147rzbett9on72sp, 2gty977zjk5dpr6o72ybepp90, 4fidubhquqmngl2s15ozqfip6",3861243141,194,eyqhxpni376pocsunribu1jv9,3861308463,197,9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255281,2,32,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-10-22T11:00:53.678Z,2022-10-22T11:00:54Z,3861312187,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255275,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2022-10-22T11:00:53.678Z,2022-10-22T11:00:53Z,3861312165,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255301,3,1,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,50.2,50.1,2022-10-22T11:00:53.778Z,2022-10-22T11:00:56Z,3861312289,279,S,3861312283,141,58.1,3861312279,56,Back,3861312287,213,2.8,3861312285,212,14.3,3861312281,140,37.6,,,,,,,4h4v3c01l7hjkfnnz9ef8i5m1,K. Kögel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255377,4,1,1,0,2,dpp6fex0mdxsxhdct2qf66x5n,1,37.6,58.1,2022-10-22T11:00:56.430Z,2022-10-22T11:01:03Z,3861312649,213,3.9,3861312647,212,19.4,3861312643,140,24.3,3861312645,141,38.3,3861312641,56,Back,,,,,,,,,,eyqhxpni376pocsunribu1jv9,E. Senß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255407,5,1,1,0,9,dpp6fex0mdxsxhdct2qf66x5n,1,24.3,38.3,2022-10-22T11:01:02.959Z,2022-10-22T11:01:06Z,3861312799,213,2.4,3861312795,141,56.1,3861312793,140,12.1,3861312797,212,17.6,3861312791,56,Back,,,,,,,,,,764yxrb6zqxke8l61qjd4o3qh,S. Ostermeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255493,6,1,1,0,12,dpp6fex0mdxsxhdct2qf66x5n,0,12.9,57.8,2022-10-22T11:01:05.919Z,2022-10-22T11:01:12Z,3861313159,157,,3861313161,56,Center,3861313167,212,76.5,3861313163,140,85.5,3861313165,141,67.8,3861313171,1,,3861313169,213,0.1,,,,q4va8vnwzmwtdo6qymq4ywgl,F. Repohl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255531,3,49,1,0,20,6yhza3xbfafj5c9897mbkbudn,1,12.6,29.4,2022-10-22T11:01:14.410Z,2022-10-22T11:12:46Z,,,,,,,,,,,,,,,,,,,,,,,,,1kv64bhvnb6bb2iva0cbot1t6,R. Borggräfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475255601,4,1,1,0,21,6yhza3xbfafj5c9897mbkbudn,1,12.1,31.6,2022-10-22T11:01:14.978Z,2022-10-22T11:12:45Z,3861313629,213,1.0,3861313625,141,60.3,3861313627,212,23.1,3861313623,140,23.9,3861313621,56,Back,,,,,,,,,,1kv64bhvnb6bb2iva0cbot1t6,R. Borggräfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
