id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/14/value,qualifier/15/value
2515934255,1,34,16,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-05T14:13:48.406Z,2023-03-05T15:03:26Z,4075570735,30,"bpwz6mj8utvxsd9mjyxcestii, 98q93f1kijhmnd79vkg83qitx, 1zkoai1sdm9bbx29fi76e38ph, 9xbohfvww89ec7c1d97hkuj85, fpitimhwhx0wqkkrtuc10mvp, diy9eqdcrua61ao4goq5yges5, d9l67kneytb0mij099bneg1cl, c4tkrrhs6o8ii0wnmi5y66cwl, bwhwthiud4nqvdjy8rq1gcdsl, 5uli2vvgaigz4yf05bwy81l2h, eyssu2jrc7qnzut1tx54twlm2, 9gusyyfm5lj82mqzrmpho16tx, 1u7a9cb0kw1l1aplw3c1ka2tx, 692xxz6qlvbxhspozloeujt9l, 1ofsz5y4wb4pt6xp0u06hc5pl, dhv9lixpbtd4b27qmfw7cxf1m, 70n6epbcr1l9dvzqrddsbax2h, 1wlzoku6j132t554imm0co99l, abp387e8q3413r6zu3w1ii2cq, 43ff1bhi5474qzac8fksxqz11",4075570737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075570739,59,"22, 6, 30, 25, 4, 3, 8, 31, 11, 17, 20, 1, 9, 12, 13, 14, 23, 27, 35, 37",4075851249,197,8273,4075570743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075570741,130,8,4075570745,194,9xbohfvww89ec7c1d97hkuj85,4075570747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515942173,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-05T14:18:44.730Z,2023-03-05T15:13:44Z,4075612459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075612451,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075612453,194,7ektyvpzu0yj1b9dm7yfkxh3p,4075851351,197,13485,4075612447,59,"1, 6, 11, 14, 5, 8, 18, 27, 21, 15, 22, 31, 10, 13, 20, 23, 24, 32, 37, 39",4075612449,130,12,4075612441,30,"31kgqm4bhyekwwhye2cflt979, 4f16klwhusyiwjej79nx4y76x, 6mj7z1yytw7jrbnbpu2mqyezu, 7cisqfcp1zysc12owj5j4zpx, 865nmkmx9qstpt90gc7bvp5ud, 31cikgu3amy77e8452p6rj816, 7ektyvpzu0yj1b9dm7yfkxh3p, u8p6vsrl3b7ndbj3cj5owlih, ddb1x770krfpb3tm4oie234a2, 8ruo0cyz6gvcp7yiks9fz1ed, cdzfyzjbmsg88l4r24mwx1ryt, bbmtozpiuyy7rtk7u87g5p79w, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, dsjuntinaobizkzy2c47npz3d, yfdg1l58kdyyuodyqjwhwbth, 2f4mu47m5t1lhn9sp4umhjtp0, eqfpy2v3q1fzy13317hwl8yc5, 9refy9w1tnwu5kt3heoo3x0yc, 2gkjrql07f7q9fqlzgdn81ogk",4075612445,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515988929,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-03-05T15:00:33.803Z,2023-03-05T15:00:35Z,4075863087,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515988921,2,32,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,0,0,2023-03-05T15:00:33.803Z,2023-03-05T15:00:33Z,4075863053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515988959,3,1,1,0,0,bpx4ib85d65u9oyhglkt36k1b,1,50,50,2023-03-05T15:00:33.903Z,2023-03-05T15:00:37Z,4075863237,279,S,4075863227,56,Back,4075863235,213,3.2,4075863233,212,12.8,4075863231,141,49.6,4075863229,140,37.8,,,,,,,bwhwthiud4nqvdjy8rq1gcdsl,L. Schüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989011,4,1,1,0,3,bpx4ib85d65u9oyhglkt36k1b,1,37.8,51.9,2023-03-05T15:00:37.190Z,2023-03-05T15:00:42Z,4075863477,212,14.4,4075863479,213,4.0,4075863473,140,28.7,4075863471,56,Back,4075863475,141,36.1,,,,,,,,,,9xbohfvww89ec7c1d97hkuj85,S. Zadrazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989019,5,1,1,0,8,bpx4ib85d65u9oyhglkt36k1b,1,28.7,36.1,2023-03-05T15:00:42.198Z,2023-03-05T15:00:43Z,4075863535,141,62.4,4075863533,140,26.7,4075863531,56,Back,4075863539,213,1.7,4075863537,212,18.0,,,,,,,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989029,6,1,1,0,9,bpx4ib85d65u9oyhglkt36k1b,1,26.7,62.4,2023-03-05T15:00:43.319Z,2023-03-05T15:00:45Z,4075863599,213,4.9,4075863597,212,17.9,4075863595,141,36.3,4075863591,56,Back,4075863593,140,29.2,,,,,,,,,,diy9eqdcrua61ao4goq5yges5,S. Kumagai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989053,7,1,1,0,11,bpx4ib85d65u9oyhglkt36k1b,1,29.2,36.3,2023-03-05T15:00:44.887Z,2023-03-05T15:00:47Z,4075863705,140,36.4,4075863711,213,5.3,4075863703,56,Back,4075863709,212,14.3,4075863707,141,18.5,,,,,,,,,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989071,8,1,1,0,13,bpx4ib85d65u9oyhglkt36k1b,0,36.4,18.5,2023-03-05T15:00:46.967Z,2023-03-05T15:00:49Z,4075863821,141,6.8,4075863823,212,22.9,4075863825,213,5.9,4075863815,155,,4075863819,140,56.9,4075863817,56,Right,,,,,,,d9l67kneytb0mij099bneg1cl,M. Rall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
