id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/14/value
2472913875,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-10-16T13:19:37.620Z,2022-10-16T14:14:00Z,3848954135,59,"30, 14, 27, 18, 5, 23, 7, 19, 15, 11, 13, 6, 8, 10, 20, 22, 24, 26, 33",3848954149,194,7ektyvpzu0yj1b9dm7yfkxh3p,3848954145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3849163701,197,13485,3848954141,130,2,3848954131,30,"cc32rolkcvyuul5t2uearz0mh, 7cisqfcp1zysc12owj5j4zpx, u8p6vsrl3b7ndbj3cj5owlih, 7ektyvpzu0yj1b9dm7yfkxh3p, 865nmkmx9qstpt90gc7bvp5ud, yfdg1l58kdyyuodyqjwhwbth, 8eo9ruenerbpab45xo9cei191, 874o1s057ddcizshsu10wu6t, 8ruo0cyz6gvcp7yiks9fz1ed, 6mj7z1yytw7jrbnbpu2mqyezu, 8s3zfsb1yqt3trc1n9jcxiol, 4f16klwhusyiwjej79nx4y76x, 31cikgu3amy77e8452p6rj816, 7mfl844y4zw1u07g3owaxyaga, dsjuntinaobizkzy2c47npz3d, cdzfyzjbmsg88l4r24mwx1ryt, 2f4mu47m5t1lhn9sp4umhjtp0, d5egroaxxqgc7dent1w6f2ve2, 6depg2unjr34rs4lq567qa5m1",3848954133,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3848954153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472917719,1,34,16,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2022-10-16T13:22:46.267Z,2022-10-16T14:22:19Z,3849166311,197,17029,3848973865,59,"32, 27, 25, 5, 14, 21, 8, 7, 20, 13, 11, 1, 9, 18, 19, 30",3848973869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3848973873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848973861,30,"biomno1rhjrnhw59fs2yisktm, qkcqv1empq487tv0aufyhfdg, b9gxo2rldtuz9mi8lzgnm0mxg, d11imdjqgfg7c0vo1te98rvv8, 2g09uohghh7k9c8de566k2led, mx0xcrbamcrs77w7socdzv11, c45vx4712w32k3ttlgoijkhuy, 380wlef6rk03khlb0t5elb04q, 7xplwmgnz56mfkdwnjwep632s, 6snu37yc5c4kl9i3eg92ndams, qirr699c3gjdqq420ssd9vit, b4r90bsb2db3vlr03g8ymcbth, cwego71othceguyo85tw2m4iy, 52kz98tyx3a6hppwyg3nzcf10, 2b6315hlohr62lm3xzz5qidey, 4ka05s9qgwog73yx3dsyp1s7o",3848973871,194,2g09uohghh7k9c8de566k2led,3848973863,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",3848973867,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957627,2,32,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,0,0,2022-10-16T14:01:32.262Z,2022-10-16T14:01:32Z,3849183645,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957637,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-10-16T14:01:32.262Z,2022-10-16T14:01:33Z,3849183687,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957649,3,1,1,0,0,bax97wqmyvdu4xygi7wzcvdzd,1,49.9,50,2022-10-16T14:01:32.362Z,2022-10-16T14:01:34Z,3849183757,279,S,3849183747,56,Back,3849183753,212,19.1,3849183751,141,52.5,3849183749,140,31.8,3849183755,213,3.1,,,,,,,6snu37yc5c4kl9i3eg92ndams,A. Leonhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957665,4,1,1,0,2,bax97wqmyvdu4xygi7wzcvdzd,0,40.5,51.6,2022-10-16T14:01:34.811Z,2022-10-16T14:50:03Z,3849183833,141,79.1,3849183829,56,Left,3849183837,213,0.5,3849183839,1,,3849183835,212,38.6,3849183831,140,72.7,3849183827,155,,,,,380wlef6rk03khlb0t5elb04q,M. Cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957723,3,1,1,0,5,4moe0x01r1f5w30g38wshyftp,1,24.9,27.7,2022-10-16T14:01:38.060Z,2022-10-16T14:47:38Z,3849184127,56,Back,3849184139,213,0.5,3849184135,141,37.3,3849184137,212,14.6,3849184133,140,37.3,3849184125,3,,,,,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957729,4,49,1,0,9,4moe0x01r1f5w30g38wshyftp,1,37.3,37.3,2022-10-16T14:01:42.010Z,2022-10-16T14:47:47Z,,,,,,,,,,,,,,,,,,,,,,,,,8s3zfsb1yqt3trc1n9jcxiol,R. Walkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957731,5,43,1,0,9,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-10-16T14:01:42.162Z,2022-10-16T14:01:47Z,3849184513,144,49,,,,,,,,,,,,,,,,,,,,,,874o1s057ddcizshsu10wu6t,S. Matheis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957745,6,1,1,0,10,4moe0x01r1f5w30g38wshyftp,1,37.3,37.3,2022-10-16T14:01:42.554Z,2022-10-16T14:47:50Z,3849184191,140,41.3,3849184197,213,5.3,3849184189,56,Back,3849184195,212,8.0,3849184193,141,27.3,,,,,,,,,,8s3zfsb1yqt3trc1n9jcxiol,R. Walkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
