id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/8/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2524816583,1,34,16,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-03-26T13:13:04.014Z,2023-03-26T14:06:03Z,4124850877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124962949,197,8545,4124850869,59,"41, 15, 11, 2, 32, 23, 26, 21, 31, 14, 18, 4, 5, 8, 19, 20, 22, 25, 29",4124850871,130,2,4124850875,194,azitzbihzs5b3iv56nq4iszit,4124850867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4124850873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4124850865,30,"do1uv3ohvyvodhcindxj76qy1, 1139rvy7ws5o77eq04wprf0tl, 42h5sz2axk69ifygo0wzuvr2t, 8etvu6b9z7sm2rg3wqkmchk9h, agqhiv0awfumj9c4sbq81hh7u, azitzbihzs5b3iv56nq4iszit, 3bg4ewc3n4ytybr96lc313ahh, 8xphahi0vi6fnh8ou88zzb6j9, 9nc0572mgpafxbjnrk55emtt6, a3rlansc0x5sw4hg75yhpanhm, 6yoqpu952gnc6trdg6vpala6t, e3gddzy59fp8lidsr83vpw12i, 4ennrl7as17fnvk5c3vhhg5qs, 2w63sbft76wqhb5w5kjoq2hux, qygwawkthmtcn3sx4ptq0e8k, byrtspkep316747j5mj5lyei, 1tkgs09548p54arfjuufivk7o, dseqkqirdljgr63ov3461vhsl, ambjrl1ky848xbmdwsrsbjpey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524817661,1,34,16,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-03-26T13:15:00.701Z,2023-03-26T13:55:05Z,4124954075,197,8750,4124856417,194,62soqddjmkrj99mvi1wivj4k5,4124856415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4124856411,59,"1, 22, 20, 19, 8, 16, 7, 17, 10, 14, 23, 2, 4, 5, 15, 18, 26, 31",4124856407,30,"49ur7byczvl0qkqn9y2qq73s9, dh4eziicycykt8h2zr0to5tuy, 8ovibbdbs49bwwwf3bbuij3hm, 6l7cn7fmomj88kfdyo9seopg5, bkbp6hl12kc3y8wohv9l3a66t, 62soqddjmkrj99mvi1wivj4k5, 1f2h3qvn7d1dv5wsv63bojazu, 28fi0st48wljpt3kyee510iga, 9e95p87136h6zjam3zu0d9yol, 2iaatg2gvp5w4j27ycreiqjt, 3p9ie3u7ej9o1wpzl4aonjtd6, 702asj69cc2fzzns98r7hp5p0, 1eoc1w0vz8jmz4i0mpg20fiay, 4ezh3co3xg75tx7b03cokenyt, 2ltzk74krenmfh5gzcjpc2k4q, axjakqkndyt2k8v2b0y97tw16, 34ixdan8uojz66mob82kafxpm, 8zk6kcs75hjevbu61h9n2fkr9",4124856413,130,8,4124856409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4124856419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838843,2,32,1,0,0,nuaf3wtujl8erbciumch6c65,1,0,0,2023-03-26T14:02:26.884Z,2023-03-26T14:02:28Z,4124967839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838839,2,32,1,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2023-03-26T14:02:26.884Z,2023-03-26T14:02:27Z,4124967823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838847,3,1,1,0,0,nuaf3wtujl8erbciumch6c65,1,50,49.9,2023-03-26T14:02:26.984Z,2023-03-26T14:52:09Z,4124967861,212,13.6,4124967865,279,S,4124967857,140,39.6,4124967859,141,61.8,4124967855,56,Back,4124967863,213,2.5,,,,,,,9e95p87136h6zjam3zu0d9yol,L. Josten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838881,4,1,1,0,2,nuaf3wtujl8erbciumch6c65,1,36.2,40.1,2023-03-26T14:02:29.864Z,2023-03-26T14:02:32Z,4124968001,140,26.3,4124967999,56,Back,4124968005,212,11.4,4124968007,213,3.6,4124968003,141,33.3,,,,,,,,,,28fi0st48wljpt3kyee510iga,N. Günnewig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838903,5,1,1,0,5,nuaf3wtujl8erbciumch6c65,1,26.3,37.7,2023-03-26T14:02:32.313Z,2023-03-26T14:02:35Z,4124968143,56,Back,4124968151,213,1.7,4124968149,212,17.3,4124968147,141,63.0,4124968145,140,24.2,,,,,,,,,,bkbp6hl12kc3y8wohv9l3a66t,L. Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838915,6,1,1,0,8,nuaf3wtujl8erbciumch6c65,1,25.2,67.9,2023-03-26T14:02:35.465Z,2023-03-26T14:02:37Z,4124968203,56,Back,4124968209,212,13.0,4124968207,141,85.1,4124968211,213,1.1,4124968205,140,30.5,,,,,,,,,,62soqddjmkrj99mvi1wivj4k5,S. Schulte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838937,7,1,1,0,10,nuaf3wtujl8erbciumch6c65,1,32.3,81.8,2023-03-26T14:02:37.449Z,2023-03-26T14:02:41Z,4124968327,140,28.3,4124968331,212,16.6,4124968333,213,4.5,4124968325,56,Back,4124968329,141,58.2,,,,,,,,,,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838969,8,1,1,0,14,nuaf3wtujl8erbciumch6c65,1,31.6,43.1,2023-03-26T14:02:41.176Z,2023-03-26T14:02:46Z,4124968495,141,17.0,4124968491,56,Back,4124968499,213,4.8,4124968493,140,33.4,4124968497,212,17.8,,,,,,,,,,62soqddjmkrj99mvi1wivj4k5,S. Schulte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524838971,9,1,1,0,19,nuaf3wtujl8erbciumch6c65,0,36.2,11.9,2023-03-26T14:02:46.120Z,2023-03-26T14:03:32Z,4124968519,213,6.2,4124968513,140,45.9,4124968509,155,,4124968511,56,Back,4124968515,141,11.3,4124968597,233,3,4124968517,212,10.2,,,,bkbp6hl12kc3y8wohv9l3a66t,L. Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
