id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/15/value,assist,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2524759477,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-03-26T10:18:38.859Z,2023-03-26T10:59:46Z,4124556701,30,"q4va8vnwzmwtdo6qymq4ywgl, c36h9olifkg6s63uktgf1puqd, 764yxrb6zqxke8l61qjd4o3qh, bf38nsprlsb7783sgyl1ezq3t, 1f2ltq7gcnimsdgixp8w36eax, 2lsz8g4mvgqvartyjfud90e6t, 4h4v3c01l7hjkfnnz9ef8i5m1, eyqhxpni376pocsunribu1jv9, ed31f3of5iql0onh9uellvtnt, 9yzs0w3tjas15ic0o2b51q86h, 1asefru50u06hyhmoa7d9qcx5, 2ywmv0jjr4u8jgo8gnoisx0id, 3de90guq76ncq4iqhstw29u22, 46wf8el37rvruhacvvbv38z1m, 2h5t74e8r147rzbett9on72sp, 2gty977zjk5dpr6o72ybepp90, 1aarhrn1ncv5mi54thh5d045w, bez9hd6po73pkved1bebbbdnt",4124556703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4124556705,59,"27, 4, 2, 15, 24, 3, 11, 6, 17, 18, 30, 1, 9, 14, 22, 25, 26, 31",4124556713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124556709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4124556711,194,eyqhxpni376pocsunribu1jv9,4124611277,197,12251,4124556707,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524760013,1,34,16,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2023-03-26T10:20:27.194Z,2023-03-26T11:07:42Z,4124559645,130,7,4124559643,59,"1, 2, 23, 4, 21, 16, 7, 10, 11, 9, 20, 26, 5, 13, 18, 19, 27",4124559641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4124611097,197,12369,4124559649,194,dqaq4g6ls8bl56rpd3irjt6fp,4124559647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4124559651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124559639,30,"ango7gke2apqzfzsugq6983it, 32ofctw7kn3l8eucrhku63dg5, e6a4lxx6og97jg9qv4lplfo4p, c2w5fyxoq2xw8xm6asrn17x7t, 5sycg0t0w11j4vm43arm93v1l, 6q0njimucm06r3x7enupxpl, 553b1ywtlhutb6uwv04dhhqdx, 9ipu1pbzzf14ec8ebrqnq1k6i, dqaq4g6ls8bl56rpd3irjt6fp, 2ij21gq2d0xqcyho9t49glkvd, 2btt5j9bqn7isihjvqgr427yt, 9477gkbyjyubkseqz2fq49y3t, 8aibvmivjl0icinhglit7ltqt, b4g5db74cenrnd0tr3ptxo89h, 5rcmpmxeny97slsu826vmwh61, 3tp6h18c5n2l2gy21hgervfca, 8os606vx3apb3abv88vtbkb85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770301,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-03-26T11:01:57.839Z,2023-03-26T12:22:05Z,4124614333,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770297,2,32,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2023-03-26T11:01:57.839Z,2023-03-26T11:01:57Z,4124614311,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770319,3,1,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,49.6,49.7,2023-03-26T11:01:58.380Z,2023-03-26T11:02:01Z,4124614441,140,30.2,4124614443,141,52.1,4124614445,212,20.4,4124614449,279,S,4124614439,56,Back,4124614447,213,3.1,,,,,,,dqaq4g6ls8bl56rpd3irjt6fp,H. Kayikçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770331,4,1,1,0,3,6yhza3xbfafj5c9897mbkbudn,0,33.5,43.7,2023-03-26T11:02:01.627Z,2023-03-26T11:02:04Z,4124614499,213,6.2,4124614495,141,37.3,4124614493,140,72.3,4124614491,56,Center,4124614489,155,,4124614497,212,41.0,4124614503,1,,,,,e6a4lxx6og97jg9qv4lplfo4p,M. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770345,3,1,1,0,9,dpp6fex0mdxsxhdct2qf66x5n,0,22.6,76.8,2023-03-26T11:02:07.095Z,2023-03-26T11:02:08Z,4124614559,140,40.0,4124614561,141,100.0,4124614555,3,,4124614563,212,25.0,4124614565,213,0.8,4124614557,56,Back,,,,,,,2lsz8g4mvgqvartyjfud90e6t,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770347,4,5,1,0,10,dpp6fex0mdxsxhdct2qf66x5n,0,39.7,101.9,2023-03-26T11:02:07.876Z,2023-03-26T11:02:11Z,4124614569,347,,4124614671,233,5,4124614567,56,Back,,,,,,,,,,,,,,,,2lsz8g4mvgqvartyjfud90e6t,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770365,5,5,1,0,10,6yhza3xbfafj5c9897mbkbudn,1,60.3,-1.9,2023-03-26T11:02:07.876Z,2023-03-26T11:46:42Z,4124614655,233,4,4124614647,56,Right,4124614649,347,,,,,,,,,,,,,,,,,c2w5fyxoq2xw8xm6asrn17x7t,M. Felde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524770393,6,1,1,0,15,6yhza3xbfafj5c9897mbkbudn,1,59.6,0,2023-03-26T11:02:13.439Z,2023-03-26T11:02:15Z,4124614777,141,8.6,4124614781,213,0.9,4124614771,107,,4124614773,56,Right,4124614775,140,64.6,4124614779,212,8.7,,,,,,,32ofctw7kn3l8eucrhku63dg5,L. Karl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
